,AAON
1992-12-16,0.09976299852132797
1992-12-17,0.11971600353717804
1992-12-18,0.11971600353717804
1992-12-21,0.09976299852132797
1992-12-22,0.11971600353717804
1992-12-23,0.09976299852132797
1992-12-24,0.12969200313091278
1992-12-28,0.12969200313091278
1992-12-29,0.12969200313091278
1992-12-30,0.12969200313091278
1992-12-31,0.13966800272464752
1993-01-04,0.14964500069618225
1993-01-05,0.14964500069618225
1993-01-06,0.13966800272464752
1993-01-07,0.14964500069618225
1993-01-08,0.16959699988365173
1993-01-11,0.159621000289917
1993-01-12,0.159621000289917
1993-01-13,0.159621000289917
1993-01-14,0.159621000289917
1993-01-15,0.14964500069618225
1993-01-18,0.14964500069618225
1993-01-19,0.14964500069618225
1993-01-20,0.14964500069618225
1993-01-21,0.14964500069618225
1993-01-22,0.16959699988365173
1993-01-25,0.16959699988365173
1993-01-26,0.17957399785518646
1993-01-27,0.159621000289917
1993-01-28,0.16959699988365173
1993-01-29,0.16959699988365173
1993-02-01,0.16959699988365173
1993-02-02,0.16959699988365173
1993-02-03,0.16959699988365173
1993-02-04,0.16959699988365173
1993-02-05,0.12969200313091278
1993-02-08,0.16959699988365173
1993-02-09,0.159621000289917
1993-02-10,0.159621000289917
1993-02-11,0.16959699988365173
1993-02-12,0.17957399785518646
1993-02-16,0.1895499974489212
1993-02-17,0.17957399785518646
1993-02-18,0.17957399785518646
1993-02-19,0.1895499974489212
1993-02-22,0.19952599704265594
1993-02-23,0.17957399785518646
1993-02-24,0.1895499974489212
1993-02-25,0.1895499974489212
1993-02-26,0.17957399785518646
1993-03-01,0.21947899460792542
1993-03-02,0.1895499974489212
1993-03-03,0.1895499974489212
1993-03-04,0.19952599704265594
1993-03-05,0.19952599704265594
1993-03-08,0.21947899460792542
1993-03-09,0.1895499974489212
1993-03-10,0.17957399785518646
1993-03-11,0.17957399785518646
1993-03-12,0.16959699988365173
1993-03-15,0.16959699988365173
1993-03-16,0.19952599704265594
1993-03-17,0.2394309937953949
1993-03-18,0.19952599704265594
1993-03-19,0.2394309937953949
1993-03-22,0.19952599704265594
1993-03-23,0.19952599704265594
1993-03-24,0.21947899460792542
1993-03-25,0.22945499420166016
1993-03-26,0.2394309937953949
1993-03-29,0.21947899460792542
1993-03-30,0.2394309937953949
1993-03-31,0.2394309937953949
1993-04-01,0.2394309937953949
1993-04-02,0.2394309937953949
1993-04-05,0.2394309937953949
1993-04-06,0.2394309937953949
1993-04-07,0.21947899460792542
1993-04-08,0.2394309937953949
1993-04-12,0.319242000579834
1993-04-13,0.319242000579834
1993-04-14,0.319242000579834
1993-04-15,0.3491710126399994
1993-04-16,0.33919399976730347
1993-04-19,0.30926498770713806
1993-04-20,0.30926498770713806
1993-04-21,0.319242000579834
1993-04-22,0.3292180001735687
1993-04-23,0.3292180001735687
1993-04-26,0.319242000579834
1993-04-27,0.319242000579834
1993-04-28,0.3292180001735687
1993-04-29,0.319242000579834
1993-04-30,0.319242000579834
1993-05-03,0.30926498770713806
1993-05-04,0.319242000579834
1993-05-05,0.33919399976730347
1993-05-06,0.38907599449157715
1993-05-07,0.36912301182746887
1993-05-10,0.33919399976730347
1993-05-11,0.35914701223373413
1993-05-12,0.33919399976730347
1993-05-13,0.319242000579834
1993-05-14,0.319242000579834
1993-05-17,0.319242000579834
1993-05-18,0.3292180001735687
1993-05-19,0.3790999948978424
1993-05-20,0.4090290069580078
1993-05-21,0.41900500655174255
1993-05-24,0.4090290069580078
1993-05-25,0.4289810061454773
1993-05-26,0.43895700573921204
1993-05-27,0.43895700573921204
1993-05-28,0.44893398880958557
1993-06-01,0.4289810061454773
1993-06-02,0.44893398880958557
1993-06-03,0.4289810061454773
1993-06-04,0.43895700573921204
1993-06-07,0.46888598799705505
1993-06-08,0.38907599449157715
1993-06-09,0.4289810061454773
1993-06-10,0.4090290069580078
1993-06-11,0.4090290069580078
1993-06-14,0.3990519940853119
1993-06-15,0.3990519940853119
1993-06-16,0.3990519940853119
1993-06-17,0.38907599449157715
1993-06-18,0.4090290069580078
1993-06-21,0.33919399976730347
1993-06-22,0.3790999948978424
1993-06-23,0.35914701223373413
1993-06-24,0.3790999948978424
1993-06-25,0.3790999948978424
1993-06-28,0.36912301182746887
1993-06-29,0.3990519940853119
1993-06-30,0.3790999948978424
1993-07-01,0.3790999948978424
1993-07-02,0.36912301182746887
1993-07-06,0.3790999948978424
1993-07-07,0.3990519940853119
1993-07-08,0.4090290069580078
1993-07-09,0.43895700573921204
1993-07-12,0.4289810061454773
1993-07-13,0.4289810061454773
1993-07-14,0.43895700573921204
1993-07-15,0.43895700573921204
1993-07-16,0.4289810061454773
1993-07-19,0.43895700573921204
1993-07-20,0.3790999948978424
1993-07-21,0.33919399976730347
1993-07-22,0.3990519940853119
1993-07-23,0.4090290069580078
1993-07-26,0.44893398880958557
1993-07-27,0.4589099884033203
1993-07-28,0.43895700573921204
1993-07-29,0.4589099884033203
1993-07-30,0.46888598799705505
1993-08-02,0.4589099884033203
1993-08-03,0.4589099884033203
1993-08-04,0.43895700573921204
1993-08-05,0.41900500655174255
1993-08-06,0.4589099884033203
1993-08-09,0.41900500655174255
1993-08-10,0.44893398880958557
1993-08-11,0.4589099884033203
1993-08-12,0.46888598799705505
1993-08-13,0.4589099884033203
1993-08-16,0.49881500005722046
1993-08-17,0.508791983127594
1993-08-18,0.49881500005722046
1993-08-19,0.49881500005722046
1993-08-20,0.5387210249900818
1993-08-23,0.5586730241775513
1993-08-24,0.5985779762268066
1993-08-25,0.6185309886932373
