,BFST
2018-04-23,27.0
2018-04-24,27.510000228881836
2018-04-25,27.510000228881836
2018-04-26,26.5
2018-04-27,26.059999465942383
2018-04-30,26.075000762939453
2018-05-01,26.0
2018-05-02,25.75
2018-05-03,25.239999771118164
2018-05-04,24.989999771118164
2018-05-07,25.0
2018-05-08,25.0
2018-05-09,24.969999313354492
2018-05-10,25.0
2018-05-11,24.649999618530273
2018-05-14,25.0
2018-05-15,24.850000381469727
2018-05-16,24.3799991607666
2018-05-17,24.350000381469727
2018-05-18,24.389999389648438
2018-05-21,24.389999389648438
2018-05-22,24.479999542236328
2018-05-23,23.989999771118164
2018-05-24,23.5
2018-05-25,23.399999618530273
2018-05-29,23.350000381469727
2018-05-30,23.489999771118164
2018-05-31,23.420000076293945
2018-06-01,23.920000076293945
2018-06-04,24.270000457763672
2018-06-05,24.719999313354492
2018-06-06,24.93000030517578
2018-06-07,24.549999237060547
2018-06-08,24.530000686645508
2018-06-11,24.850000381469727
2018-06-12,24.610000610351562
2018-06-13,25.040000915527344
2018-06-14,25.09000015258789
2018-06-15,25.190000534057617
2018-06-18,26.1299991607666
2018-06-19,25.809999465942383
2018-06-20,26.299999237060547
2018-06-21,26.139999389648438
2018-06-22,26.719999313354492
2018-06-25,26.530000686645508
2018-06-26,26.0
2018-06-27,26.600000381469727
2018-06-28,26.68000030517578
2018-06-29,26.350000381469727
2018-07-02,25.799999237060547
2018-07-03,25.68000030517578
2018-07-05,26.25
2018-07-06,25.149999618530273
2018-07-09,25.399999618530273
2018-07-10,25.100000381469727
2018-07-11,25.0
2018-07-12,25.219999313354492
2018-07-13,25.469999313354492
2018-07-16,25.149999618530273
2018-07-17,25.56999969482422
2018-07-18,25.93000030517578
2018-07-19,26.079999923706055
2018-07-20,26.100000381469727
2018-07-23,26.280000686645508
2018-07-24,26.020000457763672
2018-07-25,25.75
2018-07-26,25.920000076293945
2018-07-27,25.729999542236328
2018-07-30,26.0
2018-07-31,25.850000381469727
2018-08-01,25.5
2018-08-02,25.579999923706055
2018-08-03,25.299999237060547
2018-08-06,25.1299991607666
2018-08-07,25.219999313354492
2018-08-08,25.270000457763672
2018-08-09,25.360000610351562
2018-08-10,25.190000534057617
2018-08-13,25.25
2018-08-14,25.280000686645508
2018-08-15,25.309999465942383
2018-08-16,25.59000015258789
2018-08-17,25.510000228881836
2018-08-20,25.649999618530273
2018-08-21,25.75
2018-08-22,25.84000015258789
2018-08-23,25.989999771118164
2018-08-24,25.979999542236328
2018-08-27,25.579999923706055
2018-08-28,25.540000915527344
2018-08-29,25.8700008392334
2018-08-30,25.950000762939453
2018-08-31,25.8799991607666
2018-09-04,26.040000915527344
2018-09-05,25.899999618530273
2018-09-06,25.690000534057617
2018-09-07,25.729999542236328
2018-09-10,26.399999618530273
2018-09-11,26.739999771118164
2018-09-12,26.540000915527344
2018-09-13,26.350000381469727
2018-09-14,26.770000457763672
2018-09-17,26.850000381469727
2018-09-18,26.8700008392334
2018-09-19,26.950000762939453
2018-09-20,27.360000610351562
2018-09-21,26.459999084472656
2018-09-24,26.549999237060547
2018-09-25,25.020000457763672
2018-09-26,25.979999542236328
2018-09-27,26.059999465942383
2018-09-28,26.549999237060547
2018-10-01,26.25
2018-10-02,26.030000686645508
2018-10-03,26.079999923706055
2018-10-04,26.040000915527344
2018-10-05,26.049999237060547
2018-10-08,26.010000228881836
2018-10-09,26.6200008392334
2018-10-10,26.040000915527344
2018-10-11,25.959999084472656
2018-10-12,26.09000015258789
2018-10-15,25.719999313354492
2018-10-16,25.440000534057617
2018-10-17,25.93000030517578
2018-10-18,25.860000610351562
2018-10-19,25.219999313354492
2018-10-22,25.31999969482422
2018-10-23,25.239999771118164
2018-10-24,25.1299991607666
2018-10-25,25.219999313354492
2018-10-26,25.81999969482422
2018-10-29,26.079999923706055
2018-10-30,26.299999237060547
2018-10-31,26.3700008392334
2018-11-01,26.729999542236328
2018-11-02,26.0
2018-11-05,25.530000686645508
2018-11-06,26.1299991607666
2018-11-07,25.829999923706055
2018-11-08,26.149999618530273
2018-11-09,25.979999542236328
2018-11-12,25.65999984741211
2018-11-13,25.420000076293945
2018-11-14,25.700000762939453
2018-11-15,25.309999465942383
2018-11-16,25.479999542236328
2018-11-19,25.010000228881836
2018-11-20,24.6200008392334
2018-11-21,25.350000381469727
2018-11-23,25.350000381469727
2018-11-26,25.1299991607666
2018-11-27,24.950000762939453
2018-11-28,26.25
2018-11-29,26.219999313354492
2018-11-30,25.290000915527344
2018-12-03,25.8700008392334
2018-12-04,23.59000015258789
2018-12-06,23.440000534057617
2018-12-07,23.399999618530273
2018-12-10,23.469999313354492
2018-12-11,21.489999771118164
2018-12-12,22.75
2018-12-13,23.68000030517578
2018-12-14,24.600000381469727
2018-12-17,23.649999618530273
2018-12-18,24.149999618530273
2018-12-19,23.979999542236328
2018-12-20,24.399999618530273
2018-12-21,24.06999969482422
2018-12-24,24.5
2018-12-26,24.940000534057617
2018-12-27,24.56999969482422
2018-12-28,23.829999923706055
2018-12-31,24.229999542236328
2019-01-02,24.0
2019-01-03,23.780000686645508
2019-01-04,23.90999984741211
