,CPLP
2007-03-30,187.25
2007-04-02,185.77999877929688
2007-04-03,184.8000030517578
2007-04-04,183.39999389648438
2007-04-05,183.25999450683594
2007-04-09,183.39999389648438
2007-04-10,183.39999389648438
2007-04-11,184.24000549316406
2007-04-12,183.88999938964844
2007-04-13,183.39999389648438
2007-04-16,183.0500030517578
2007-04-17,182.27999877929688
2007-04-18,183.25999450683594
2007-04-19,183.25999450683594
2007-04-20,181.02000427246094
2007-04-23,182.0
2007-04-24,182.97999572753906
2007-04-25,184.10000610351562
2007-04-26,183.19000244140625
2007-04-27,184.02999877929688
2007-04-30,183.19000244140625
2007-05-01,184.8699951171875
2007-05-02,182.97999572753906
2007-05-03,182.0
2007-05-04,181.86000061035156
2007-05-07,187.74000549316406
2007-05-08,184.8000030517578
2007-05-09,185.2899932861328
2007-05-10,186.1999969482422
2007-05-11,184.8000030517578
2007-05-14,185.99000549316406
2007-05-15,186.05999755859375
2007-05-16,184.8000030517578
2007-05-17,185.57000732421875
2007-05-18,185.14999389648438
2007-05-21,184.4499969482422
2007-05-22,182.35000610351562
2007-05-23,180.9499969482422
2007-05-24,181.7899932861328
2007-05-25,180.60000610351562
2007-05-29,180.11000061035156
2007-05-30,179.89999389648438
2007-05-31,178.5
2007-06-01,178.85000610351562
2007-06-04,179.1300048828125
2007-06-05,178.57000732421875
2007-06-06,177.94000244140625
2007-06-07,174.5800018310547
2007-06-08,172.89999389648438
2007-06-11,172.97000122070312
2007-06-12,175.2100067138672
2007-06-13,174.3000030517578
2007-06-14,176.75
2007-06-15,179.89999389648438
2007-06-18,188.3000030517578
2007-06-19,187.52999877929688
2007-06-20,186.75999450683594
2007-06-21,192.7100067138672
2007-06-22,199.85000610351562
2007-06-25,199.5
2007-06-26,196.0
2007-06-27,196.0
2007-06-28,197.5399932861328
2007-06-29,199.63999938964844
2007-07-02,200.97000122070312
2007-07-03,201.80999755859375
2007-07-05,202.64999389648438
2007-07-06,202.44000244140625
2007-07-09,199.5
2007-07-10,202.5800018310547
2007-07-11,208.60000610351562
2007-07-12,214.8300018310547
2007-07-13,216.64999389648438
2007-07-16,218.75
2007-07-17,220.22000122070312
2007-07-18,220.5
2007-07-19,221.75999450683594
2007-07-20,222.25
2007-07-23,221.41000366210938
2007-07-24,221.1999969482422
2007-07-25,219.8000030517578
2007-07-26,218.19000244140625
2007-07-27,220.22000122070312
2007-07-30,216.3000030517578
2007-07-31,226.30999755859375
2007-08-01,208.4600067138672
2007-08-02,201.32000732421875
2007-08-03,198.30999755859375
2007-08-06,194.11000061035156
2007-08-07,197.47000122070312
2007-08-08,198.8000030517578
2007-08-09,198.1699981689453
2007-08-10,199.36000061035156
2007-08-13,197.75
2007-08-14,196.27999877929688
2007-08-15,191.8699951171875
2007-08-16,178.42999267578125
2007-08-17,180.17999267578125
2007-08-20,178.5
2007-08-21,182.27999877929688
2007-08-22,190.47000122070312
2007-08-23,194.9499969482422
2007-08-24,195.3000030517578
2007-08-27,196.0
2007-08-28,201.25
2007-08-29,198.8000030517578
2007-08-30,199.36000061035156
2007-08-31,202.7899932861328
2007-09-04,195.5800018310547
2007-09-05,197.9600067138672
2007-09-06,188.50999450683594
2007-09-07,190.39999389648438
2007-09-10,187.25
2007-09-11,181.44000244140625
2007-09-12,177.72999572753906
2007-09-13,178.5
2007-09-14,181.08999633789062
2007-09-17,184.02999877929688
2007-09-18,182.97999572753906
2007-09-19,182.83999633789062
2007-09-20,181.50999450683594
2007-09-21,182.35000610351562
2007-09-24,178.57000732421875
2007-09-25,175.35000610351562
2007-09-26,172.1999969482422
2007-09-27,174.02000427246094
2007-09-28,172.8300018310547
2007-10-01,174.86000061035156
2007-10-02,168.0
2007-10-03,164.63999938964844
2007-10-04,163.3800048828125
2007-10-05,166.25
2007-10-08,170.02999877929688
2007-10-09,172.27000427246094
2007-10-10,176.39999389648438
2007-10-11,179.6199951171875
2007-10-12,182.0
2007-10-15,178.14999389648438
2007-10-16,178.5
2007-10-17,180.74000549316406
2007-10-18,184.52000427246094
2007-10-19,187.32000732421875
2007-10-22,187.11000061035156
2007-10-23,184.8000030517578
2007-10-24,181.7899932861328
2007-10-25,181.5800018310547
2007-10-26,180.25
2007-10-29,184.10000610351562
2007-10-30,183.9600067138672
2007-10-31,188.3699951171875
2007-11-01,190.75
2007-11-02,185.77999877929688
2007-11-05,182.97999572753906
2007-11-06,180.8800048828125
2007-11-07,177.72999572753906
2007-11-08,168.13999938964844
2007-11-09,163.10000610351562
2007-11-12,161.35000610351562
2007-11-13,161.0
2007-11-14,159.8800048828125
2007-11-15,161.91000366210938
2007-11-16,157.5
2007-11-19,157.2899932861328
2007-11-20,155.1199951171875
2007-11-21,152.11000061035156
2007-11-23,158.69000244140625
2007-11-26,157.0800018310547
2007-11-27,153.16000366210938
2007-11-28,162.3300018310547
2007-11-29,175.0
2007-11-30,173.0399932861328
2007-12-03,171.00999450683594
2007-12-04,163.8000030517578
2007-12-05,164.14999389648438
2007-12-06,157.77999877929688
2007-12-07,155.39999389648438
2007-12-10,156.02999877929688
2007-12-11,153.50999450683594
2007-12-12,153.50999450683594
2007-12-13,154.0
2007-12-14,154.91000366210938
2007-12-17,155.75
2007-12-18,149.4499969482422
2007-12-19,149.66000366210938
2007-12-20,150.7100067138672
2007-12-21,161.77000427246094
2007-12-24,171.00999450683594
2007-12-26,170.10000610351562
2007-12-27,168.6999969482422
2007-12-28,167.86000061035156
2007-12-31,173.32000732421875
2008-01-02,159.38999938964844
2008-01-03,162.61000061035156
2008-01-04,154.07000732421875
2008-01-07,152.11000061035156
2008-01-08,148.82000732421875
2008-01-09,148.0500030517578
2008-01-10,148.3300018310547
2008-01-11,147.97999572753906
2008-01-14,145.0399932861328
2008-01-15,138.60000610351562
2008-01-16,138.17999267578125
2008-01-17,135.8000030517578
2008-01-18,136.14999389648438
2008-01-22,131.32000732421875
2008-01-23,133.27999877929688
2008-01-24,138.32000732421875
2008-01-25,139.22999572753906
2008-01-28,143.2899932861328
2008-01-29,141.0500030517578
2008-01-30,143.5
2008-01-31,143.5
2008-02-01,140.6300048828125
2008-02-04,140.2100067138672
2008-02-05,142.1699981689453
2008-02-06,141.75
2008-02-07,139.72000122070312
2008-02-08,139.02000427246094
2008-02-11,135.4499969482422
2008-02-12,139.64999389648438
2008-02-13,139.92999267578125
2008-02-14,138.6699981689453
2008-02-15,139.86000061035156
2008-02-19,139.3000030517578
2008-02-20,139.7899932861328
2008-02-21,139.3000030517578
2008-02-22,137.8300018310547
2008-02-25,139.64999389648438
2008-02-26,143.5
2008-02-27,141.82000732421875
2008-02-28,141.75
2008-02-29,141.39999389648438
2008-03-03,138.52999877929688
2008-03-04,139.3000030517578
2008-03-05,136.63999938964844
2008-03-06,136.5
2008-03-07,134.9600067138672
2008-03-10,133.35000610351562
2008-03-11,126.41999816894531
2008-03-12,128.02999877929688
2008-03-13,125.08999633789062
2008-03-14,124.52999877929688
2008-03-17,116.19999694824219
2008-03-18,119.0
2008-03-19,116.12999725341797
2008-03-20,118.30000305175781
2008-03-24,119.13999938964844
2008-03-25,118.37000274658203
2008-03-26,128.94000244140625
2008-03-27,129.22000122070312
2008-03-28,126.9800033569336
2008-03-31,130.5500030517578
2008-04-01,132.64999389648438
2008-04-02,132.3000030517578
2008-04-03,134.0500030517578
2008-04-04,137.27000427246094
2008-04-07,140.49000549316406
2008-04-08,142.10000610351562
2008-04-09,138.60000610351562
2008-04-10,138.6699981689453
2008-04-11,136.14999389648438
2008-04-14,132.3699951171875
2008-04-15,130.89999389648438
2008-04-16,141.0500030517578
2008-04-17,137.47999572753906
2008-04-18,140.0
2008-04-21,139.3699951171875
2008-04-22,137.6199951171875
2008-04-23,139.16000366210938
2008-04-24,142.02999877929688
2008-04-25,141.25999450683594
2008-04-28,142.94000244140625
2008-04-29,140.55999755859375
2008-04-30,140.0
2008-05-01,143.9199981689453
2008-05-02,145.25
2008-05-05,140.6999969482422
2008-05-06,144.75999450683594
2008-05-07,140.49000549316406
2008-05-08,143.5
2008-05-09,138.52999877929688
2008-05-12,140.6300048828125
2008-05-13,141.47000122070312
2008-05-14,148.61000061035156
2008-05-15,152.80999755859375
2008-05-16,152.60000610351562
2008-05-19,150.85000610351562
2008-05-20,141.61000061035156
2008-05-21,143.63999938964844
2008-05-22,149.30999755859375
2008-05-23,146.72000122070312
2008-05-27,146.08999633789062
2008-05-28,142.10000610351562
2008-05-29,141.47000122070312
2008-05-30,142.24000549316406
2008-06-02,140.4199981689453
2008-06-03,141.39999389648438
2008-06-04,143.14999389648438
2008-06-05,142.8000030517578
2008-06-06,139.86000061035156
2008-06-09,139.44000244140625
2008-06-10,137.97000122070312
2008-06-11,137.5500030517578
2008-06-12,138.38999938964844
2008-06-13,137.27000427246094
2008-06-16,137.1999969482422
2008-06-17,138.0399932861328
2008-06-18,139.44000244140625
2008-06-19,137.41000366210938
2008-06-20,137.1999969482422
2008-06-23,140.6300048828125
2008-06-24,137.41000366210938
2008-06-25,136.22000122070312
2008-06-26,134.47000122070312
2008-06-27,133.35000610351562
2008-06-30,138.8800048828125
2008-07-01,138.9499969482422
2008-07-02,133.91000366210938
2008-07-03,132.02000427246094
2008-07-07,133.2100067138672
2008-07-08,120.88999938964844
2008-07-09,129.5
2008-07-10,127.26000213623047
2008-07-11,116.62000274658203
2008-07-14,123.62000274658203
2008-07-15,122.70999908447266
2008-07-16,121.87000274658203
2008-07-17,117.94999694824219
2008-07-18,123.69000244140625
2008-07-21,123.33999633789062
2008-07-22,122.8499984741211
2008-07-23,117.94999694824219
2008-07-24,120.75
2008-07-25,115.01000213623047
2008-07-28,114.7300033569336
2008-07-29,115.08000183105469
2008-07-30,115.5
2008-07-31,119.06999969482422
2008-08-01,120.47000122070312
2008-08-04,119.20999908447266
2008-08-05,112.69999694824219
2008-08-06,112.0
2008-08-07,115.1500015258789
2008-08-08,111.72000122070312
2008-08-11,112.69999694824219
2008-08-12,112.7699966430664
2008-08-13,114.37999725341797
2008-08-14,113.47000122070312
2008-08-15,116.4800033569336
2008-08-18,114.0999984741211
2008-08-19,109.19999694824219
2008-08-20,107.94000244140625
2008-08-21,110.31999969482422
2008-08-22,110.25
2008-08-25,105.13999938964844
2008-08-26,105.20999908447266
2008-08-27,109.97000122070312
2008-08-28,109.83000183105469
2008-08-29,109.05999755859375
2008-09-02,108.5
2008-09-03,110.04000091552734
2008-09-04,104.58000183105469
2008-09-05,101.8499984741211
2008-09-08,103.87999725341797
2008-09-09,98.13999938964844
2008-09-10,98.0
2008-09-11,95.33999633789062
2008-09-12,100.44999694824219
2008-09-15,94.77999877929688
2008-09-16,91.06999969482422
2008-09-17,87.43000030517578
2008-09-18,86.0999984741211
2008-09-19,92.81999969482422
2008-09-22,89.11000061035156
2008-09-23,89.04000091552734
2008-09-24,90.30000305175781
2008-09-25,89.11000061035156
2008-09-26,85.75
2008-09-29,73.08000183105469
2008-09-30,76.6500015258789
2008-10-01,76.93000030517578
2008-10-02,69.08999633789062
2008-10-03,68.5999984741211
2008-10-06,60.54999923706055
2008-10-07,61.66999816894531
2008-10-08,55.58000183105469
2008-10-09,54.25
2008-10-10,50.04999923706055
2008-10-13,59.91999816894531
2008-10-14,68.25
2008-10-15,69.0199966430664
2008-10-16,61.11000061035156
2008-10-17,59.5
2008-10-20,68.38999938964844
2008-10-21,70.27999877929688
2008-10-22,65.66000366210938
2008-10-23,66.8499984741211
2008-10-24,64.47000122070312
2008-10-27,57.119998931884766
2008-10-28,56.77000045776367
2008-10-29,59.150001525878906
2008-10-30,69.16000366210938
2008-10-31,79.58999633789062
2008-11-03,78.88999938964844
2008-11-04,82.94999694824219
2008-11-05,77.13999938964844
2008-11-06,74.33999633789062
2008-11-07,67.69000244140625
2008-11-10,69.30000305175781
2008-11-11,60.47999954223633
2008-11-12,58.310001373291016
2008-11-13,56.209999084472656
2008-11-14,52.220001220703125
2008-11-17,55.15999984741211
2008-11-18,52.43000030517578
2008-11-19,46.83000183105469
2008-11-20,39.900001525878906
2008-11-21,42.0
2008-11-24,49.90999984741211
2008-11-25,49.630001068115234
2008-11-26,59.779998779296875
2008-11-28,60.27000045776367
2008-12-01,54.529998779296875
2008-12-02,50.61000061035156
2008-12-03,49.0
2008-12-04,48.720001220703125
2008-12-05,49.0
2008-12-08,52.0099983215332
2008-12-09,56.0
2008-12-10,54.880001068115234
2008-12-11,53.54999923706055
2008-12-12,52.43000030517578
2008-12-15,53.27000045776367
2008-12-16,53.900001525878906
2008-12-17,49.90999984741211
2008-12-18,47.95000076293945
2008-12-19,45.56999969482422
2008-12-22,45.220001220703125
2008-12-23,44.099998474121094
2008-12-24,46.900001525878906
2008-12-26,46.689998626708984
2008-12-29,47.459999084472656
2008-12-30,48.29999923706055
2008-12-31,54.599998474121094
2009-01-02,61.18000030517578
2009-01-05,60.060001373291016
2009-01-06,67.97000122070312
2009-01-07,66.5
2009-01-08,73.01000213623047
2009-01-09,71.88999938964844
2009-01-12,71.33000183105469
2009-01-13,69.16000366210938
2009-01-14,68.25
2009-01-15,63.349998474121094
2009-01-16,67.19999694824219
2009-01-20,63.70000076293945
2009-01-21,62.790000915527344
2009-01-22,57.61000061035156
2009-01-23,59.5
2009-01-26,63.349998474121094
2009-01-27,64.33000183105469
2009-01-28,65.37999725341797
2009-01-29,62.29999923706055
2009-01-30,66.8499984741211
2009-02-02,69.6500015258789
2009-02-03,70.7699966430664
2009-02-04,72.37999725341797
2009-02-05,74.2699966430664
2009-02-06,65.37999725341797
2009-02-09,66.8499984741211
2009-02-10,64.26000213623047
2009-02-11,64.19000244140625
2009-02-12,64.47000122070312
2009-02-13,63.279998779296875
2009-02-17,55.720001220703125
2009-02-18,52.849998474121094
2009-02-19,53.7599983215332
2009-02-20,51.16999816894531
2009-02-23,46.130001068115234
2009-02-24,48.720001220703125
2009-02-25,46.900001525878906
2009-02-26,46.060001373291016
2009-02-27,47.459999084472656
2009-03-02,44.380001068115234
2009-03-03,40.31999969482422
2009-03-04,41.02000045776367
2009-03-05,38.709999084472656
2009-03-06,36.61000061035156
2009-03-09,37.45000076293945
2009-03-10,39.7599983215332
2009-03-11,42.349998474121094
2009-03-12,43.470001220703125
2009-03-13,43.75
2009-03-16,44.310001373291016
2009-03-17,45.290000915527344
2009-03-18,44.939998626708984
2009-03-19,49.97999954223633
2009-03-20,48.86000061035156
2009-03-23,49.90999984741211
2009-03-24,49.0
2009-03-25,46.619998931884766
2009-03-26,48.5099983215332
2009-03-27,46.689998626708984
2009-03-30,46.060001373291016
2009-03-31,48.29999923706055
2009-04-01,47.599998474121094
2009-04-02,47.810001373291016
2009-04-03,50.400001525878906
2009-04-06,48.09000015258789
2009-04-07,47.25
2009-04-08,48.15999984741211
2009-04-09,48.720001220703125
2009-04-13,49.349998474121094
2009-04-14,49.0
2009-04-15,50.540000915527344
2009-04-16,52.5
2009-04-17,54.25
2009-04-20,49.90999984741211
2009-04-21,49.77000045776367
2009-04-22,51.2400016784668
2009-04-23,52.43000030517578
2009-04-24,57.33000183105469
2009-04-27,56.209999084472656
2009-04-28,55.720001220703125
2009-04-29,62.09000015258789
