,EPSN
2007-11-15,3.930000066757202
2007-11-16,3.7100000381469727
2007-11-19,3.7100000381469727
2007-11-20,3.7200000286102295
2007-11-21,3.7200000286102295
2007-11-23,3.7200000286102295
2007-11-26,3.7200000286102295
2007-11-27,3.5299999713897705
2007-11-28,3.5299999713897705
2007-11-29,3.5299999713897705
2007-11-30,3.490000009536743
2007-12-03,3.490000009536743
2007-12-04,3.490000009536743
2007-12-05,3.490000009536743
2007-12-06,3.2300000190734863
2007-12-07,3.25
2007-12-10,3.240000009536743
2007-12-11,3.240000009536743
2007-12-12,3.190000057220459
2007-12-13,3.190000057220459
2007-12-14,3.109999895095825
2007-12-17,3.0899999141693115
2007-12-18,2.990000009536743
2007-12-19,3.0
2007-12-20,3.0
2007-12-21,3.0199999809265137
2007-12-24,3.0199999809265137
2007-12-26,3.0199999809265137
2007-12-27,3.059999942779541
2007-12-28,3.059999942779541
2007-12-31,2.9000000953674316
2008-01-02,2.9000000953674316
2008-01-03,3.049999952316284
2008-01-04,3.0299999713897705
2008-01-07,3.240000009536743
2008-01-08,3.240000009536743
2008-01-09,3.140000104904175
2008-01-10,3.0799999237060547
2008-01-11,3.0799999237060547
2008-01-14,3.109999895095825
2008-01-15,3.059999942779541
2008-01-16,2.9800000190734863
2008-01-17,3.119999885559082
2008-01-18,2.940000057220459
2008-01-22,2.3499999046325684
2008-01-23,2.3399999141693115
2008-01-24,2.4700000286102295
2008-01-25,2.5899999141693115
2008-01-28,2.5999999046325684
2008-01-29,2.390000104904175
2008-01-30,2.5399999618530273
2008-01-31,2.299999952316284
2008-02-01,2.299999952316284
2008-02-04,2.2799999713897705
2008-02-05,2.25
2008-02-06,2.25
2008-02-07,2.25
2008-02-08,2.25
2008-02-11,3.4600000381469727
2008-02-12,3.4600000381469727
2008-02-13,3.009999990463257
2008-02-14,2.7200000286102295
2008-02-15,2.7200000286102295
2008-02-19,2.819999933242798
2008-02-20,2.819999933242798
2008-02-21,2.930000066757202
2008-02-22,2.7300000190734863
2008-02-25,2.7300000190734863
2008-02-26,2.7300000190734863
2008-02-27,2.9600000381469727
2008-02-28,2.9600000381469727
2008-02-29,2.9600000381469727
2008-03-03,2.9600000381469727
2008-03-04,2.9600000381469727
2008-03-05,2.7899999618530273
2008-03-06,2.7899999618530273
2008-03-07,2.890000104904175
2008-03-10,2.890000104904175
2008-03-11,2.890000104904175
2008-03-12,2.890000104904175
2008-03-13,2.890000104904175
2008-03-14,2.890000104904175
2008-03-17,2.890000104904175
2008-03-18,2.2300000190734863
2008-03-19,2.2300000190734863
2008-03-20,1.9600000381469727
2008-03-24,1.9600000381469727
2008-03-25,1.9600000381469727
2008-03-26,2.0
2008-03-27,2.1700000762939453
2008-03-28,2.1700000762939453
2008-03-31,1.9900000095367432
2008-04-01,2.509999990463257
2008-04-02,2.509999990463257
2008-04-03,3.2100000381469727
2008-04-04,3.2100000381469727
2008-04-07,3.2100000381469727
2008-04-08,2.869999885559082
2008-04-09,2.869999885559082
2008-04-10,2.940000057220459
2008-04-11,2.940000057220459
2008-04-14,2.8399999141693115
2008-04-15,3.119999885559082
2008-04-16,3.119999885559082
2008-04-17,3.0299999713897705
2008-04-18,2.8399999141693115
2008-04-21,2.640000104904175
2008-04-22,2.640000104904175
2008-04-23,2.640000104904175
2008-04-24,2.819999933242798
2008-04-25,2.819999933242798
2008-04-28,2.819999933242798
2008-04-29,2.819999933242798
2008-04-30,2.819999933242798
2008-05-01,2.890000104904175
2008-05-02,2.809999942779541
2008-05-05,2.809999942779541
2008-05-06,2.7200000286102295
2008-05-07,2.7200000286102295
2008-05-08,3.069999933242798
2008-05-09,3.680000066757202
2008-05-12,3.680000066757202
2008-05-13,3.5299999713897705
2008-05-14,3.799999952316284
2008-05-15,4.210000038146973
2008-05-16,4.599999904632568
2008-05-19,4.599999904632568
2008-05-20,5.139999866485596
2008-05-21,4.96999979019165
2008-05-22,4.5
2008-05-23,4.769999980926514
2008-05-27,4.78000020980835
2008-05-28,5.53000020980835
2008-05-29,5.320000171661377
2008-05-30,5.349999904632568
2008-06-02,5.53000020980835
2008-06-03,5.760000228881836
2008-06-04,6.050000190734863
2008-06-05,6.179999828338623
2008-06-06,6.170000076293945
2008-06-09,6.119999885559082
2008-06-10,5.739999771118164
