,AXNX
2018-10-31,14.979999542236328
2018-11-01,14.5
2018-11-02,15.069999694824219
2018-11-05,14.75
2018-11-06,14.899999618530273
2018-11-07,15.630000114440918
2018-11-08,15.0
2018-11-09,14.84000015258789
2018-11-12,15.010000228881836
2018-11-13,15.5
2018-11-14,15.140000343322754
2018-11-15,15.149999618530273
2018-11-16,15.050000190734863
2018-11-19,15.199999809265137
2018-11-20,14.0
2018-11-21,14.729999542236328
2018-11-23,14.920000076293945
2018-11-26,14.989999771118164
2018-11-27,14.819999694824219
2018-11-28,14.09000015258789
2018-11-29,13.399999618530273
2018-11-30,13.199999809265137
2018-12-03,14.010000228881836
2018-12-04,14.34000015258789
2018-12-06,14.800000190734863
2018-12-07,15.170000076293945
2018-12-10,16.100000381469727
2018-12-11,15.479999542236328
2018-12-12,16.43000030517578
2018-12-13,15.960000038146973
2018-12-14,16.299999237060547
2018-12-17,15.460000038146973
2018-12-18,15.550000190734863
2018-12-19,14.989999771118164
2018-12-20,14.149999618530273
2018-12-21,13.890000343322754
2018-12-24,13.710000038146973
2018-12-26,14.270000457763672
2018-12-27,15.149999618530273
2018-12-28,14.5600004196167
2018-12-31,15.109999656677246
2019-01-02,14.15999984741211
2019-01-03,13.520000457763672
2019-01-04,14.729999542236328
2019-01-07,14.34000015258789
2019-01-08,13.319999694824219
2019-01-09,14.489999771118164
2019-01-10,14.6899995803833
2019-01-11,14.350000381469727
2019-01-14,14.949999809265137
2019-01-15,14.989999771118164
2019-01-16,14.949999809265137
2019-01-17,15.0600004196167
2019-01-18,15.180000305175781
2019-01-22,14.850000381469727
2019-01-23,14.720000267028809
2019-01-24,14.84000015258789
2019-01-25,14.989999771118164
2019-01-28,14.350000381469727
2019-01-29,14.270000457763672
2019-01-30,14.1899995803833
2019-01-31,14.600000381469727
2019-02-01,14.8100004196167
2019-02-04,15.180000305175781
2019-02-05,14.649999618530273
2019-02-06,14.90999984741211
2019-02-07,14.800000190734863
2019-02-08,14.899999618530273
2019-02-11,14.5600004196167
2019-02-12,15.720000267028809
2019-02-13,15.699999809265137
2019-02-14,15.649999618530273
2019-02-15,16.440000534057617
2019-02-19,18.0
2019-02-20,21.1299991607666
2019-02-21,22.5
2019-02-22,21.5
2019-02-25,21.450000762939453
2019-02-26,21.34000015258789
2019-02-27,20.850000381469727
2019-02-28,21.260000228881836
2019-03-01,21.75
2019-03-04,21.440000534057617
2019-03-05,20.75
2019-03-06,19.90999984741211
2019-03-07,20.469999313354492
2019-03-08,20.530000686645508
2019-03-11,21.420000076293945
2019-03-12,20.6200008392334
2019-03-13,22.0
2019-03-14,21.5
2019-03-15,22.600000381469727
2019-03-18,21.84000015258789
2019-03-19,22.280000686645508
2019-03-20,23.540000915527344
2019-03-21,24.350000381469727
2019-03-22,23.239999771118164
2019-03-25,22.989999771118164
2019-03-26,23.809999465942383
2019-03-27,22.940000534057617
2019-03-28,23.709999084472656
2019-03-29,23.950000762939453
2019-04-01,23.329999923706055
2019-04-02,23.6299991607666
2019-04-03,23.15999984741211
2019-04-04,21.600000381469727
2019-04-05,21.520000457763672
2019-04-08,21.040000915527344
2019-04-09,21.670000076293945
2019-04-10,21.959999084472656
2019-04-11,20.8700008392334
2019-04-12,20.799999237060547
2019-04-15,20.09000015258789
2019-04-16,19.399999618530273
2019-04-17,18.540000915527344
2019-04-18,18.989999771118164
2019-04-22,19.229999542236328
2019-04-23,19.809999465942383
2019-04-24,19.969999313354492
2019-04-25,20.290000915527344
2019-04-26,21.809999465942383
2019-04-29,21.010000228881836
2019-04-30,20.200000762939453
2019-05-01,21.43000030517578
2019-05-02,21.860000610351562
2019-05-03,22.489999771118164
2019-05-06,23.200000762939453
2019-05-07,23.600000381469727
2019-05-08,24.25
2019-05-09,28.969999313354492
2019-05-10,29.950000762939453
2019-05-13,29.700000762939453
2019-05-14,31.440000534057617
2019-05-15,31.729999542236328
2019-05-16,30.149999618530273
2019-05-17,30.239999771118164
2019-05-20,30.979999542236328
2019-05-21,31.280000686645508
2019-05-22,31.06999969482422
2019-05-23,30.270000457763672
2019-05-24,31.600000381469727
2019-05-28,33.599998474121094
2019-05-29,32.65999984741211
2019-05-30,32.91999816894531
2019-05-31,32.86000061035156
2019-06-03,32.970001220703125
2019-06-04,33.13999938964844
2019-06-05,31.420000076293945
2019-06-06,31.170000076293945
2019-06-07,31.549999237060547
2019-06-10,32.400001525878906
2019-06-11,31.739999771118164
2019-06-12,31.799999237060547
2019-06-13,34.209999084472656
2019-06-14,34.599998474121094
2019-06-17,35.93000030517578
2019-06-18,35.369998931884766
2019-06-19,36.02000045776367
2019-06-20,36.970001220703125
2019-06-21,37.900001525878906
2019-06-24,37.040000915527344
2019-06-25,37.209999084472656
2019-06-26,36.84000015258789
2019-06-27,37.150001525878906
2019-06-28,40.970001220703125
2019-07-01,42.40999984741211
2019-07-02,40.79999923706055
2019-07-03,41.0
2019-07-05,40.79999923706055
2019-07-08,40.02000045776367
2019-07-09,40.11000061035156
2019-07-10,40.029998779296875
2019-07-11,40.09000015258789
2019-07-12,40.189998626708984
2019-07-15,40.15999984741211
2019-07-16,38.52000045776367
2019-07-17,38.40999984741211
2019-07-18,38.5099983215332
2019-07-19,37.72999954223633
2019-07-22,37.880001068115234
2019-07-23,37.9900016784668
2019-07-24,37.9900016784668
2019-07-25,37.290000915527344
