,FCCY
1999-03-15,3.623953104019165
1999-03-16,4.21245813369751
1999-03-17,3.840770959854126
1999-03-18,3.778822898864746
1999-03-19,3.8717451095581055
1999-03-22,3.8717451095581055
1999-03-23,3.8717451095581055
1999-03-24,3.8717451095581055
1999-03-25,3.8717451095581055
1999-03-26,3.8717451095581055
1999-03-29,3.8717451095581055
1999-03-30,3.840770959854126
1999-03-31,4.21245813369751
1999-04-01,4.21245813369751
1999-04-05,3.840770959854126
1999-04-06,3.840770959854126
1999-04-07,3.840770959854126
1999-04-08,3.840770959854126
1999-04-09,3.840770959854126
1999-04-12,3.902719020843506
1999-04-13,4.026614189147949
1999-04-14,4.026614189147949
1999-04-15,4.026614189147949
1999-04-16,4.026614189147949
1999-04-19,4.21245813369751
1999-04-20,4.21245813369751
1999-04-21,4.21245813369751
1999-04-22,4.21245813369751
1999-04-23,3.9646670818328857
1999-04-26,4.21245813369751
1999-04-27,4.21245813369751
1999-04-28,4.21245813369751
1999-04-29,4.21245813369751
1999-04-30,4.21245813369751
1999-05-03,4.21245813369751
1999-05-04,4.21245813369751
1999-05-05,4.21245813369751
1999-05-06,4.21245813369751
1999-05-07,4.21245813369751
1999-05-10,3.469083070755005
1999-05-11,3.469083070755005
1999-05-12,3.840770959854126
1999-05-13,3.9646670818328857
1999-05-14,3.9646670818328857
1999-05-17,3.9646670818328857
1999-05-18,3.9646670818328857
1999-05-19,3.9646670818328857
1999-05-20,3.9646670818328857
1999-05-21,3.9646670818328857
1999-05-24,3.902719020843506
1999-05-25,3.902719020843506
1999-05-26,3.902719020843506
1999-05-27,3.902719020843506
1999-05-28,3.902719020843506
1999-06-01,3.7168750762939453
1999-06-02,3.7168750762939453
1999-06-03,3.7168750762939453
1999-06-04,3.7168750762939453
1999-06-07,3.7168750762939453
1999-06-08,3.7168750762939453
1999-06-09,3.7168750762939453
1999-06-10,3.7168750762939453
1999-06-11,3.7168750762939453
1999-06-14,3.7168750762939453
1999-06-15,3.7168750762939453
1999-06-16,3.7168750762939453
1999-06-17,3.840770959854126
1999-06-18,3.840770959854126
1999-06-21,3.840770959854126
1999-06-22,3.840770959854126
1999-06-23,3.840770959854126
1999-06-24,4.115664958953857
1999-06-25,3.9646670818328857
1999-06-28,4.150509834289551
1999-06-29,4.150509834289551
1999-06-30,4.150509834289551
1999-07-01,4.026614189147949
1999-07-02,4.026614189147949
1999-07-06,4.026614189147949
1999-07-07,4.026614189147949
1999-07-08,4.026614189147949
1999-07-09,4.026614189147949
1999-07-12,4.026614189147949
1999-07-13,4.026614189147949
1999-07-14,4.150509834289551
1999-07-15,4.08856201171875
1999-07-16,4.08856201171875
1999-07-19,4.646093845367432
1999-07-20,4.646093845367432
1999-07-21,4.646093845367432
1999-07-22,4.646093845367432
1999-07-23,4.646093845367432
1999-07-26,4.646093845367432
1999-07-27,4.646093845367432
1999-07-28,4.646093845367432
1999-07-29,4.646093845367432
1999-07-30,4.646093845367432
1999-08-02,4.646093845367432
1999-08-03,4.646093845367432
1999-08-04,4.646093845367432
1999-08-05,4.646093845367432
1999-08-06,4.646093845367432
1999-08-09,4.646093845367432
1999-08-10,4.646093845367432
1999-08-11,4.21245813369751
1999-08-12,4.21245813369751
1999-08-13,4.336353778839111
1999-08-16,4.336353778839111
1999-08-17,4.336353778839111
1999-08-18,4.336353778839111
1999-08-19,4.336353778839111
1999-08-20,4.336353778839111
1999-08-23,4.336353778839111
1999-08-24,4.336353778839111
1999-08-25,4.336353778839111
1999-08-26,4.336353778839111
1999-08-27,4.336353778839111
1999-08-30,4.584146022796631
1999-08-31,4.584146022796631
1999-09-01,4.584146022796631
1999-09-02,4.584146022796631
1999-09-03,4.460249900817871
1999-09-07,4.460249900817871
1999-09-08,4.336353778839111
1999-09-09,4.52219820022583
1999-09-10,4.52219820022583
1999-09-13,4.52219820022583
1999-09-14,4.52219820022583
1999-09-15,4.52219820022583
1999-09-16,4.52219820022583
1999-09-17,4.52219820022583
1999-09-20,4.52219820022583
1999-09-21,4.52219820022583
1999-09-22,4.831936836242676
1999-09-23,4.831936836242676
1999-09-24,4.336353778839111
1999-09-27,4.336353778839111
1999-09-28,4.336353778839111
1999-09-29,4.336353778839111
1999-09-30,4.336353778839111
1999-10-01,4.336353778839111
1999-10-04,4.336353778839111
1999-10-05,4.52219820022583
1999-10-06,4.52219820022583
