,AXLA
2019-05-09,13.800000190734863
2019-05-10,13.920000076293945
2019-05-13,13.949999809265137
2019-05-14,14.09000015258789
2019-05-15,13.75
2019-05-16,13.869999885559082
2019-05-17,13.800000190734863
2019-05-20,14.0600004196167
2019-05-21,14.399999618530273
2019-05-22,14.279999732971191
2019-05-23,14.0
2019-05-24,14.180000305175781
2019-05-28,14.199999809265137
2019-05-29,13.710000038146973
2019-05-30,14.199999809265137
2019-05-31,14.270000457763672
2019-06-03,14.770000457763672
2019-06-04,14.949999809265137
2019-06-05,14.920000076293945
2019-06-06,14.399999618530273
2019-06-07,14.170000076293945
2019-06-10,13.180000305175781
2019-06-11,12.869999885559082
2019-06-12,12.619999885559082
2019-06-13,12.819999694824219
2019-06-14,10.960000038146973
2019-06-17,9.949999809265137
2019-06-18,9.819999694824219
2019-06-19,10.100000381469727
2019-06-20,10.079999923706055
2019-06-21,9.949999809265137
2019-06-24,9.930000305175781
2019-06-25,9.199999809265137
2019-06-26,8.510000228881836
2019-06-27,9.119999885559082
2019-06-28,9.3100004196167
2019-07-01,8.699999809265137
2019-07-02,8.75
2019-07-03,9.039999961853027
2019-07-05,9.260000228881836
2019-07-08,8.789999961853027
2019-07-09,8.149999618530273
2019-07-10,8.3100004196167
2019-07-11,8.210000038146973
2019-07-12,7.889999866485596
2019-07-15,7.900000095367432
2019-07-16,7.880000114440918
2019-07-17,7.769999980926514
2019-07-18,8.109999656677246
2019-07-19,7.710000038146973
2019-07-22,7.360000133514404
2019-07-23,7.519999980926514
2019-07-24,7.320000171661377
2019-07-25,7.480000019073486
2019-07-26,8.079999923706055
2019-07-29,8.279999732971191
2019-07-30,8.210000038146973
2019-07-31,8.479999542236328
2019-08-01,7.070000171661377
2019-08-02,7.420000076293945
2019-08-05,7.079999923706055
2019-08-06,7.75
2019-08-07,7.5
2019-08-08,7.559999942779541
2019-08-09,7.260000228881836
2019-08-12,7.0
2019-08-13,7.679999828338623
2019-08-14,7.940000057220459
2019-08-15,7.599999904632568
2019-08-16,7.909999847412109
2019-08-19,7.940000057220459
2019-08-20,7.920000076293945
2019-08-21,8.109999656677246
2019-08-22,7.909999847412109
2019-08-23,7.789999961853027
2019-08-26,7.900000095367432
2019-08-27,7.815000057220459
2019-08-28,7.730000019073486
2019-08-29,7.159999847412109
2019-08-30,6.929999828338623
2019-09-03,7.0
2019-09-04,7.239999771118164
2019-09-05,6.900000095367432
2019-09-06,7.199999809265137
2019-09-09,7.199999809265137
2019-09-10,7.099999904632568
2019-09-11,6.849999904632568
2019-09-12,6.900000095367432
2019-09-13,6.760000228881836
2019-09-16,6.769999980926514
2019-09-17,6.400000095367432
2019-09-18,6.190000057220459
2019-09-19,6.199999809265137
2019-09-20,6.289999961853027
2019-09-23,5.949999809265137
2019-09-24,5.46999979019165
2019-09-25,5.400000095367432
2019-09-26,5.309999942779541
2019-09-27,5.25
2019-09-30,5.659999847412109
2019-10-01,5.320000171661377
2019-10-02,5.300000190734863
2019-10-03,5.644999980926514
2019-10-04,5.300000190734863
2019-10-07,5.099999904632568
2019-10-08,5.300000190734863
2019-10-09,5.409999847412109
2019-10-10,5.519999980926514
2019-10-11,5.650000095367432
2019-10-14,5.480000019073486
2019-10-15,5.75
2019-10-16,5.230000019073486
2019-10-17,5.239999771118164
2019-10-18,5.150000095367432
2019-10-21,5.25
2019-10-22,5.25
2019-10-23,5.25
2019-10-24,5.25
2019-10-25,5.0
2019-10-28,5.0
2019-10-29,4.900000095367432
2019-10-30,5.0
2019-10-31,5.289999961853027
2019-11-01,5.550000190734863
2019-11-04,5.0
2019-11-05,5.900000095367432
2019-11-06,5.099999904632568
2019-11-07,4.760000228881836
2019-11-08,4.5
2019-11-11,4.21999979019165
2019-11-12,3.950000047683716
2019-11-13,3.8299999237060547
2019-11-14,3.5799999237060547
2019-11-15,3.5
2019-11-18,3.0799999237060547
2019-11-19,3.380000114440918
2019-11-20,3.559999942779541
2019-11-21,3.3499999046325684
2019-11-22,3.430000066757202
2019-11-25,3.430000066757202
2019-11-26,3.5799999237060547
2019-11-27,3.9700000286102295
2019-11-29,4.0
2019-12-02,4.360000133514404
2019-12-03,4.699999809265137
2019-12-04,4.619999885559082
2019-12-05,4.489999771118164
2019-12-06,3.5899999141693115
2019-12-09,3.5
2019-12-10,3.490000009536743
2019-12-11,3.5350000858306885
2019-12-12,3.549999952316284
2019-12-13,3.4800000190734863
2019-12-16,3.359999895095825
2019-12-17,3.4100000858306885
2019-12-18,3.4000000953674316
2019-12-19,3.390000104904175
2019-12-20,3.4100000858306885
2019-12-23,3.450000047683716
2019-12-24,3.559999942779541
2019-12-26,4.099999904632568
2019-12-27,3.8299999237060547
2019-12-30,3.700000047683716
2019-12-31,4.010000228881836
2020-01-02,4.119999885559082
2020-01-03,3.9200000762939453
2020-01-06,3.9700000286102295
2020-01-07,4.090000152587891
2020-01-08,4.579999923706055
2020-01-09,4.980000019073486
2020-01-10,4.989999771118164
2020-01-13,4.900000095367432
2020-01-14,4.670000076293945
2020-01-15,4.570000171661377
2020-01-16,4.880000114440918
2020-01-17,4.980000019073486
2020-01-21,5.059999942779541
2020-01-22,5.079999923706055
2020-01-23,5.079999923706055
2020-01-24,5.090000152587891
2020-01-27,5.239999771118164
2020-01-28,5.210000038146973
2020-01-29,5.070000171661377
2020-01-30,4.849999904632568
2020-01-31,4.840000152587891
2020-02-03,4.849999904632568
2020-02-04,4.75
2020-02-05,4.840000152587891
2020-02-06,4.909999847412109
2020-02-07,4.849999904632568
2020-02-10,4.710000038146973
2020-02-11,4.659999847412109
2020-02-12,4.71999979019165
2020-02-13,4.679999828338623
2020-02-14,4.639999866485596
2020-02-18,4.610000133514404
2020-02-19,4.619999885559082
2020-02-20,4.75
2020-02-21,4.949999809265137
2020-02-24,4.599999904632568
2020-02-25,4.539999961853027
2020-02-26,3.7300000190734863
2020-02-27,3.630000114440918
