,EEIQ
2021-03-24,8.0
2021-03-25,4.0
2021-03-26,15.5
2021-03-29,18.540000915527344
2021-03-30,11.949999809265137
2021-03-31,12.5
2021-04-01,11.90999984741211
2021-04-05,8.800000190734863
2021-04-06,8.510000228881836
2021-04-07,7.579999923706055
2021-04-08,7.989999771118164
2021-04-09,7.679999828338623
2021-04-12,6.53000020980835
2021-04-13,6.070000171661377
2021-04-14,5.78000020980835
2021-04-15,6.599999904632568
2021-04-16,6.179999828338623
2021-04-19,5.889999866485596
2021-04-20,5.28000020980835
2021-04-21,5.420000076293945
2021-04-22,5.28000020980835
2021-04-23,5.300000190734863
2021-04-26,5.699999809265137
2021-04-27,6.909999847412109
2021-04-28,6.320000171661377
2021-04-29,6.46999979019165
2021-04-30,6.190000057220459
2021-05-03,6.409999847412109
2021-05-04,5.929999828338623
2021-05-05,5.869999885559082
2021-05-06,5.480000019073486
2021-05-07,5.429999828338623
2021-05-10,5.21999979019165
2021-05-11,5.269999980926514
2021-05-12,5.079999923706055
2021-05-13,4.929999828338623
2021-05-14,5.03000020980835
