,BFI
2018-03-26,9.680000305175781
2018-03-27,9.75
2018-03-28,9.789999961853027
2018-03-29,9.690999984741211
2018-04-02,9.680000305175781
2018-04-03,9.699999809265137
2018-04-04,9.699999809265137
2018-04-05,9.699999809265137
2018-04-06,9.880000114440918
2018-04-09,9.699999809265137
2018-04-10,9.6899995803833
2018-04-11,9.6899995803833
2018-04-12,9.680000305175781
2018-04-13,9.680000305175781
2018-04-16,9.680000305175781
2018-04-17,9.680000305175781
2018-04-18,9.680000305175781
2018-04-19,9.680000305175781
2018-04-20,9.680000305175781
2018-04-23,9.680000305175781
2018-04-24,9.680000305175781
2018-04-25,9.680000305175781
2018-04-26,9.6899995803833
2018-04-27,9.6899995803833
2018-04-30,9.680000305175781
2018-05-01,9.699999809265137
2018-05-02,9.710000038146973
2018-05-03,9.710000038146973
2018-05-04,9.75
2018-05-07,9.6899995803833
2018-05-08,9.6899995803833
2018-05-09,9.6899995803833
2018-05-10,9.6899995803833
2018-05-11,9.6899995803833
2018-05-14,9.720000267028809
2018-05-15,9.720000267028809
2018-05-16,9.720000267028809
2018-05-17,9.694000244140625
2018-05-18,9.694000244140625
2018-05-21,9.694000244140625
2018-05-22,9.694000244140625
2018-05-23,9.694000244140625
2018-05-24,9.6899995803833
2018-05-25,9.6899995803833
2018-05-29,9.6899995803833
2018-05-30,9.699999809265137
2018-05-31,9.710000038146973
2018-06-01,9.710000038146973
2018-06-04,9.710000038146973
2018-06-05,9.720000267028809
2018-06-06,9.720000267028809
2018-06-07,9.699999809265137
2018-06-08,9.699999809265137
2018-06-11,9.699999809265137
2018-06-12,9.699999809265137
2018-06-13,9.699999809265137
2018-06-14,9.699999809265137
2018-06-15,9.699999809265137
2018-06-18,9.699999809265137
2018-06-19,9.699999809265137
2018-06-20,9.699999809265137
2018-06-21,9.699999809265137
2018-06-22,9.699999809265137
2018-06-25,9.699999809265137
2018-06-26,9.699999809265137
2018-06-27,9.699999809265137
2018-06-28,9.699999809265137
2018-06-29,9.699999809265137
2018-07-02,9.699999809265137
2018-07-03,9.729999542236328
2018-07-05,9.729999542236328
2018-07-06,9.729999542236328
2018-07-09,9.729999542236328
2018-07-10,9.760000228881836
2018-07-11,9.760000228881836
2018-07-12,9.760000228881836
2018-07-13,9.760000228881836
2018-07-16,9.760000228881836
2018-07-17,9.760000228881836
2018-07-18,9.760000228881836
2018-07-19,9.760000228881836
2018-07-20,9.760000228881836
2018-07-23,9.760000228881836
2018-07-24,9.760000228881836
2018-07-25,9.760000228881836
2018-07-26,9.739999771118164
2018-07-27,9.739999771118164
2018-07-30,9.739999771118164
2018-07-31,9.770000457763672
2018-08-01,9.770000457763672
2018-08-02,9.770000457763672
2018-08-03,9.770000457763672
