,BPOPM
2008-11-19,19.0
2008-11-20,19.739999771118164
2008-11-21,19.0
2008-11-24,19.0
2008-11-25,19.010000228881836
2008-11-26,19.010000228881836
2008-11-28,19.010000228881836
2008-12-01,20.0
2008-12-02,19.040000915527344
2008-12-03,19.040000915527344
2008-12-04,19.040000915527344
2008-12-05,20.0
2008-12-08,20.0
2008-12-09,19.5
2008-12-10,20.0
2008-12-11,20.0
2008-12-12,20.0
2008-12-15,19.010000228881836
2008-12-16,19.010000228881836
2008-12-17,19.0
2008-12-18,19.989999771118164
2008-12-19,19.989999771118164
2008-12-22,19.5
2008-12-23,20.5
2008-12-24,20.5
2008-12-26,20.5
2008-12-29,20.5
2008-12-30,20.5
2008-12-31,20.989999771118164
2009-01-02,20.989999771118164
2009-01-05,20.989999771118164
2009-01-06,20.989999771118164
2009-01-07,21.0
2009-01-08,21.0
2009-01-09,21.0
2009-01-12,21.0
2009-01-13,21.0
2009-01-14,21.0
2009-01-15,21.0
2009-01-16,21.0
2009-01-20,20.0
2009-01-21,20.0
2009-01-22,20.0
2009-01-23,18.739999771118164
2009-01-26,18.0
2009-01-27,18.0
2009-01-28,18.0
2009-01-29,18.0
2009-01-30,18.0
2009-02-02,18.0
2009-02-03,17.75
2009-02-04,17.719999313354492
2009-02-05,17.739999771118164
2009-02-06,17.75
2009-02-09,17.75
2009-02-10,17.75
2009-02-11,17.75
2009-02-12,17.5
2009-02-13,16.0
2009-02-17,16.0
2009-02-18,13.039999961853027
2009-02-19,10.140000343322754
2009-02-20,9.149999618530273
2009-02-23,6.019999980926514
2009-02-24,7.25
2009-02-25,8.050000190734863
2009-02-26,8.800000190734863
2009-02-27,10.0
2009-03-02,10.0
2009-03-03,10.0
2009-03-04,10.050000190734863
2009-03-05,10.100000381469727
2009-03-06,13.0
2009-03-09,13.260000228881836
2009-03-10,13.260000228881836
2009-03-11,12.5
2009-03-12,13.0
2009-03-13,13.0
2009-03-16,13.0
2009-03-17,13.0
2009-03-18,13.0
2009-03-19,12.369999885559082
2009-03-20,13.0
2009-03-23,11.600000381469727
2009-03-24,12.399999618530273
2009-03-25,12.399999618530273
2009-03-26,12.100000381469727
2009-03-27,12.199999809265137
2009-03-30,11.569999694824219
2009-03-31,10.199999809265137
2009-04-01,10.40999984741211
2009-04-02,11.5
2009-04-03,12.0
2009-04-06,12.0
2009-04-07,12.0
2009-04-08,12.5
2009-04-09,12.199999809265137
2009-04-13,12.199999809265137
2009-04-14,13.0
2009-04-15,13.5
2009-04-16,13.0
2009-04-17,13.5
2009-04-20,13.760000228881836
2009-04-21,15.0
2009-04-22,13.5
2009-04-23,13.5
2009-04-24,12.140000343322754
2009-04-27,13.430000305175781
2009-04-28,12.300000190734863
2009-04-29,12.300000190734863
2009-04-30,12.300000190734863
2009-05-01,13.0
2009-05-04,13.0
2009-05-05,13.0
2009-05-06,13.0
2009-05-07,13.0
2009-05-08,13.100000381469727
2009-05-11,13.369999885559082
2009-05-12,13.0
2009-05-13,13.0
2009-05-14,12.649999618530273
2009-05-15,12.649999618530273
2009-05-18,12.649999618530273
2009-05-19,12.649999618530273
2009-05-20,12.800000190734863
2009-05-21,12.800000190734863
2009-05-22,12.800000190734863
2009-05-26,12.800000190734863
2009-05-27,12.699999809265137
2009-05-28,13.399999618530273
2009-05-29,13.029999732971191
2009-06-01,13.149999618530273
2009-06-02,13.149999618530273
2009-06-03,13.149999618530273
2009-06-04,13.149999618530273
2009-06-05,13.149999618530273
2009-06-08,13.25
2009-06-09,14.489999771118164
2009-06-10,15.600000381469727
2009-06-11,15.25
2009-06-12,15.210000038146973
2009-06-15,16.100000381469727
2009-06-16,16.0
2009-06-17,15.5
2009-06-18,15.399999618530273
2009-06-19,15.5
2009-06-22,15.039999961853027
2009-06-23,14.800000190734863
2009-06-24,14.199999809265137
2009-06-25,13.899999618530273
2009-06-26,13.899999618530273
2009-06-29,17.0
2009-06-30,16.299999237060547
2009-07-01,16.399999618530273
2009-07-02,15.5
2009-07-06,15.119999885559082
2009-07-07,14.579999923706055
2009-07-08,13.149999618530273
2009-07-09,12.899999618530273
2009-07-10,12.180000305175781
2009-07-13,12.0
