,BCACW
2021-02-22,2.619999885559082
2021-02-23,3.4000000953674316
2021-02-24,3.0
2021-02-25,2.8399999141693115
2021-02-26,2.4860000610351562
2021-03-01,2.299999952316284
2021-03-02,2.0299999713897705
2021-03-03,2.119999885559082
2021-03-04,2.0999999046325684
2021-03-05,1.8700000047683716
2021-03-08,1.8300000429153442
2021-03-09,1.75
2021-03-10,1.7599999904632568
2021-03-11,1.590000033378601
2021-03-12,1.5099999904632568
2021-03-15,1.8919999599456787
2021-03-16,1.8980000019073486
2021-03-17,1.850000023841858
2021-03-18,1.9199999570846558
2021-03-19,2.049999952316284
2021-03-22,1.9900000095367432
2021-03-23,1.9500000476837158
2021-03-24,1.659999966621399
2021-03-25,1.5
2021-03-26,1.649999976158142
2021-03-29,1.850000023841858
2021-03-30,1.6699999570846558
2021-03-31,1.690000057220459
2021-04-01,1.6100000143051147
2021-04-05,1.878999948501587
2021-04-06,1.7699999809265137
2021-04-07,1.7000000476837158
2021-04-08,1.649999976158142
2021-04-09,1.6399999856948853
2021-04-12,1.5499999523162842
2021-04-13,1.5
2021-04-14,1.7400000095367432
2021-04-15,1.5800000429153442
2021-04-16,1.5199999809265137
2021-04-19,1.3899999856948853
2021-04-20,1.5099999904632568
2021-04-21,1.5
2021-04-22,1.5499999523162842
2021-04-23,1.6200000047683716
2021-04-26,1.5
2021-04-27,1.6399999856948853
2021-04-28,1.6100000143051147
2021-04-29,1.6859999895095825
2021-04-30,1.5740000009536743
2021-05-03,1.5299999713897705
2021-05-04,1.5
2021-05-05,1.5
2021-05-06,1.409999966621399
2021-05-07,1.465000033378601
2021-05-10,1.5
2021-05-11,1.4900000095367432
2021-05-12,1.4500000476837158
2021-05-13,1.4500000476837158
2021-05-14,1.850000023841858
