,DHHCU
2021-01-26,10.800000190734863
2021-01-27,10.600000381469727
2021-01-28,10.859999656677246
2021-01-29,10.850000381469727
2021-02-01,11.149999618530273
2021-02-02,11.229999542236328
2021-02-03,11.199999809265137
2021-02-04,11.229999542236328
2021-02-05,10.970000267028809
2021-02-08,10.920000076293945
2021-02-09,10.899999618530273
2021-02-10,11.0
2021-02-11,11.010000228881836
2021-02-12,10.800000190734863
2021-02-16,10.899999618530273
2021-02-17,10.699999809265137
2021-02-18,10.800000190734863
2021-02-19,10.760000228881836
2021-02-22,10.779999732971191
2021-02-23,10.800000190734863
2021-02-24,10.675000190734863
2021-02-25,10.5600004196167
2021-02-26,10.5
2021-03-01,10.5
2021-03-02,10.276000022888184
2021-03-03,10.260000228881836
2021-03-04,10.149999618530273
2021-03-05,10.239999771118164
2021-03-08,10.380000114440918
2021-03-09,10.199999809265137
2021-03-10,10.199999809265137
2021-03-11,10.279999732971191
2021-03-12,10.15999984741211
2021-03-15,10.149999618530273
2021-03-16,10.029999732971191
2021-03-17,10.029999732971191
2021-03-18,10.010000228881836
2021-03-19,10.020000457763672
2021-03-22,9.960000038146973
2021-03-23,9.859999656677246
2021-03-24,9.829999923706055
2021-03-25,9.829999923706055
2021-03-26,9.9399995803833
2021-03-29,9.989999771118164
2021-03-30,9.960000038146973
2021-03-31,9.90999984741211
2021-04-01,9.989999771118164
2021-04-05,10.029999732971191
2021-04-06,10.069999694824219
2021-04-07,10.119999885559082
2021-04-08,10.130000114440918
2021-04-09,10.140000343322754
2021-04-12,10.239999771118164
2021-04-13,10.050000190734863
2021-04-14,10.039999961853027
2021-04-15,10.149999618530273
2021-04-16,10.017000198364258
2021-04-19,10.069999694824219
2021-04-20,10.069999694824219
2021-04-21,10.0
2021-04-22,9.989999771118164
2021-04-23,9.930000305175781
2021-04-26,9.979999542236328
2021-04-27,10.0
2021-04-28,10.050000190734863
2021-04-29,10.050000190734863
2021-04-30,10.039999961853027
2021-05-03,10.0
2021-05-04,10.010000228881836
2021-05-05,10.0
2021-05-06,9.970000267028809
2021-05-07,10.0
2021-05-10,10.0
2021-05-11,9.989999771118164
2021-05-12,10.0
2021-05-13,9.975000381469727
2021-05-14,10.0
