,BOLT
2021-02-05,32.150001525878906
2021-02-08,32.599998474121094
2021-02-09,33.900001525878906
2021-02-10,34.540000915527344
2021-02-11,34.5099983215332
2021-02-12,33.310001373291016
2021-02-16,33.0
2021-02-17,32.20000076293945
2021-02-18,32.0
2021-02-19,33.04999923706055
2021-02-22,32.70000076293945
2021-02-23,28.18000030517578
2021-02-24,27.5
2021-02-25,28.040000915527344
2021-02-26,26.700000762939453
2021-03-01,30.0
2021-03-02,31.65999984741211
2021-03-03,32.16999816894531
2021-03-04,28.780000686645508
2021-03-05,30.030000686645508
2021-03-08,31.6200008392334
2021-03-09,35.689998626708984
2021-03-10,35.619998931884766
2021-03-11,37.470001220703125
2021-03-12,39.099998474121094
2021-03-15,38.900001525878906
2021-03-16,39.34000015258789
2021-03-17,39.93000030517578
2021-03-18,38.61000061035156
2021-03-19,37.459999084472656
2021-03-22,33.38999938964844
2021-03-23,31.770000457763672
2021-03-24,29.299999237060547
2021-03-25,28.280000686645508
2021-03-26,26.3799991607666
2021-03-29,25.860000610351562
2021-03-30,27.8700008392334
2021-03-31,32.90999984741211
2021-04-01,31.459999084472656
2021-04-05,30.170000076293945
2021-04-06,28.040000915527344
2021-04-07,24.979999542236328
2021-04-08,23.65999984741211
2021-04-09,23.190000534057617
2021-04-12,21.84000015258789
2021-04-13,21.969999313354492
2021-04-14,23.959999084472656
2021-04-15,24.329999923706055
2021-04-16,22.360000610351562
2021-04-19,24.299999237060547
2021-04-20,24.34000015258789
2021-04-21,24.010000228881836
2021-04-22,24.1200008392334
2021-04-23,24.739999771118164
2021-04-26,27.440000534057617
2021-04-27,25.329999923706055
2021-04-28,26.010000228881836
2021-04-29,24.200000762939453
2021-04-30,22.360000610351562
2021-05-03,24.6299991607666
2021-05-04,24.25
2021-05-05,24.15999984741211
2021-05-06,23.3700008392334
2021-05-07,22.850000381469727
2021-05-10,21.940000534057617
2021-05-11,19.959999084472656
2021-05-12,19.190000534057617
2021-05-13,18.329999923706055
2021-05-14,18.790000915527344
