,CVLG
1994-10-28,19.5
1994-10-31,19.0
1994-11-01,18.875
1994-11-02,18.625
1994-11-03,18.875
1994-11-04,19.0
1994-11-07,18.625
1994-11-08,18.375
1994-11-09,18.4375
1994-11-10,18.375
1994-11-11,18.5
1994-11-14,19.25
1994-11-15,20.0
1994-11-16,20.5
1994-11-17,19.75
1994-11-18,19.75
1994-11-21,19.375
1994-11-22,19.0
1994-11-23,17.75
1994-11-25,17.75
1994-11-28,18.125
1994-11-29,17.5
1994-11-30,17.25
1994-12-01,17.25
1994-12-02,17.25
1994-12-05,18.0
1994-12-06,18.0
1994-12-07,17.5
1994-12-08,16.0
1994-12-09,16.25
1994-12-12,16.5
1994-12-13,16.25
1994-12-14,16.5
1994-12-15,16.75
1994-12-16,16.75
1994-12-19,17.25
1994-12-20,17.75
1994-12-21,17.5
1994-12-22,18.75
1994-12-23,19.25
1994-12-27,20.5
1994-12-28,20.125
1994-12-29,19.75
1994-12-30,19.5
1995-01-03,19.5
1995-01-04,19.25
1995-01-05,19.0
1995-01-06,19.0
1995-01-09,19.0
1995-01-10,19.5
1995-01-11,19.0
1995-01-12,19.375
1995-01-13,18.5
1995-01-16,18.0
1995-01-17,18.75
1995-01-18,18.5
1995-01-19,18.75
1995-01-20,18.625
1995-01-23,18.25
1995-01-24,18.0
1995-01-25,18.0
1995-01-26,17.75
1995-01-27,17.75
1995-01-30,17.75
1995-01-31,17.75
1995-02-01,17.75
1995-02-02,17.75
1995-02-03,18.5
1995-02-06,19.0
1995-02-07,18.75
1995-02-08,19.75
1995-02-09,19.25
1995-02-10,19.25
1995-02-13,19.0625
1995-02-14,19.5
1995-02-15,19.0
1995-02-16,19.0
1995-02-17,19.0
1995-02-21,19.0
1995-02-22,19.25
1995-02-23,19.5
1995-02-24,19.5
1995-02-27,19.0
1995-02-28,19.0
1995-03-01,19.0
1995-03-02,19.0
1995-03-03,19.0625
1995-03-06,18.25
1995-03-07,17.5
1995-03-08,17.0
1995-03-09,16.5
1995-03-10,16.0
1995-03-13,15.25
1995-03-14,15.5
1995-03-15,15.625
1995-03-16,15.25
1995-03-17,15.0
1995-03-20,15.0
1995-03-21,14.5
1995-03-22,14.125
1995-03-23,14.0
1995-03-24,14.75
1995-03-27,15.5
1995-03-28,15.75
1995-03-29,15.5
1995-03-30,16.0
1995-03-31,16.25
1995-04-03,16.75
1995-04-04,16.25
1995-04-05,16.75
1995-04-06,16.25
1995-04-07,16.25
1995-04-10,16.25
1995-04-11,15.75
1995-04-12,15.75
1995-04-13,15.75
1995-04-17,15.5
1995-04-18,15.5
1995-04-19,15.5
1995-04-20,15.5
1995-04-21,15.5
1995-04-24,15.5
1995-04-25,15.0
1995-04-26,14.5
1995-04-27,15.25
1995-04-28,15.25
1995-05-01,14.5
1995-05-02,14.5
1995-05-03,14.5
1995-05-04,14.25
1995-05-05,14.25
1995-05-08,14.75
1995-05-09,14.75
1995-05-10,15.0
1995-05-11,15.0
1995-05-12,15.0
1995-05-15,15.0
1995-05-16,15.125
1995-05-17,15.0
1995-05-18,15.0
1995-05-19,15.0
1995-05-22,15.0
1995-05-23,15.0
1995-05-24,15.125
1995-05-25,14.75
1995-05-26,15.0
1995-05-30,14.75
1995-05-31,15.0
1995-06-01,15.0
1995-06-02,14.5
1995-06-05,14.625
1995-06-06,14.125
