,ACACW
2020-12-18,2.1600000858306885
2020-12-21,2.1500000953674316
2020-12-22,2.2880001068115234
2020-12-23,1.8899999856948853
2020-12-24,1.9199999570846558
2020-12-28,2.0199999809265137
2020-12-29,2.200000047683716
2020-12-30,2.130000114440918
2020-12-31,2.130000114440918
2021-01-04,2.0799999237060547
2021-01-05,2.1110000610351562
2021-01-06,2.299999952316284
2021-01-07,2.2799999713897705
2021-01-08,2.200000047683716
2021-01-11,2.1500000953674316
2021-01-12,2.25
2021-01-13,2.2100000381469727
2021-01-14,2.490000009536743
2021-01-15,2.3550000190734863
2021-01-19,2.2100000381469727
2021-01-20,2.25
2021-01-21,2.380000114440918
2021-01-22,2.240000009536743
2021-01-25,2.319999933242798
2021-01-26,2.25600004196167
2021-01-27,2.799999952316284
2021-01-28,2.75
2021-01-29,2.4200000762939453
2021-02-01,2.5350000858306885
2021-02-02,2.7200000286102295
2021-02-03,2.625
2021-02-04,2.569999933242798
2021-02-05,2.5299999713897705
2021-02-08,2.809999942779541
2021-02-09,2.880000114440918
2021-02-10,2.75
2021-02-11,2.7300000190734863
2021-02-12,2.6559998989105225
2021-02-16,2.5899999141693115
2021-02-17,2.759999990463257
2021-02-18,2.799999952316284
2021-02-19,2.880000114440918
2021-02-22,2.8550000190734863
2021-02-23,2.390000104904175
2021-02-24,2.0
2021-02-25,2.1050000190734863
2021-02-26,2.0950000286102295
2021-03-01,2.0
2021-03-02,2.180000066757202
2021-03-03,2.2100000381469727
2021-03-04,1.899999976158142
2021-03-05,1.690000057220459
2021-03-08,1.6799999475479126
2021-03-09,1.75
2021-03-10,1.899999976158142
2021-03-11,2.309999942779541
2021-03-12,2.130000114440918
2021-03-15,1.9700000286102295
2021-03-16,1.8799999952316284
2021-03-17,1.8300000429153442
2021-03-18,1.8899999856948853
2021-03-19,1.840000033378601
2021-03-22,1.8899999856948853
2021-03-23,1.7000000476837158
2021-03-24,1.600000023841858
2021-03-25,1.4800000190734863
2021-03-26,1.75
2021-03-29,1.75
2021-03-30,1.600000023841858
2021-03-31,1.5199999809265137
2021-04-01,1.600000023841858
2021-04-05,1.6200000047683716
2021-04-06,1.600000023841858
2021-04-07,1.649999976158142
2021-04-08,1.7599999904632568
2021-04-09,1.6299999952316284
2021-04-12,1.6100000143051147
2021-04-13,1.5299999713897705
2021-04-14,1.3899999856948853
2021-04-15,1.4700000286102295
2021-04-16,1.4500000476837158
2021-04-19,1.4299999475479126
2021-04-20,1.440000057220459
2021-04-21,1.7000000476837158
2021-04-22,1.7300000190734863
2021-04-23,1.7000000476837158
2021-04-26,1.7000000476837158
2021-04-27,1.7000000476837158
2021-04-28,1.940000057220459
2021-04-29,1.840000033378601
2021-04-30,1.899999976158142
2021-05-03,1.8350000381469727
2021-05-04,1.8450000286102295
2021-05-05,1.899999976158142
2021-05-06,1.7899999618530273
2021-05-07,1.725000023841858
2021-05-10,1.7000000476837158
2021-05-11,1.7000000476837158
2021-05-12,1.75
2021-05-13,1.6699999570846558
2021-05-14,1.7000000476837158
