,CNFR
2015-08-13,10.600000381469727
2015-08-14,10.5
2015-08-17,10.5
2015-08-18,10.5
2015-08-19,10.470000267028809
2015-08-20,10.399999618530273
2015-08-21,10.420000076293945
2015-08-24,10.239999771118164
2015-08-25,10.350000381469727
2015-08-26,10.449999809265137
2015-08-27,10.251999855041504
2015-08-28,10.395000457763672
2015-08-31,9.949999809265137
2015-09-01,9.949999809265137
2015-09-02,10.119999885559082
2015-09-03,10.239999771118164
2015-09-04,10.109999656677246
2015-09-08,10.010000228881836
2015-09-09,9.869999885559082
2015-09-10,9.809000015258789
2015-09-11,9.979999542236328
2015-09-14,10.359999656677246
2015-09-15,10.0
2015-09-16,9.84000015258789
2015-09-17,10.0
2015-09-18,10.029999732971191
2015-09-21,9.760000228881836
2015-09-22,9.75
2015-09-23,9.8100004196167
2015-09-24,9.812000274658203
2015-09-25,9.90999984741211
2015-09-28,10.109999656677246
2015-09-29,9.829999923706055
2015-09-30,9.75
2015-10-01,9.65999984741211
2015-10-02,9.270000457763672
2015-10-05,9.949999809265137
2015-10-06,9.899999618530273
2015-10-07,9.779999732971191
2015-10-08,9.75
2015-10-09,9.800000190734863
2015-10-12,9.34000015258789
2015-10-13,9.0
2015-10-14,8.970000267028809
2015-10-15,9.0
2015-10-16,9.140000343322754
2015-10-19,9.34000015258789
2015-10-20,9.399999618530273
2015-10-21,9.449999809265137
2015-10-22,9.699999809265137
2015-10-23,9.699999809265137
2015-10-26,9.65999984741211
2015-10-27,9.390000343322754
2015-10-28,9.625
2015-10-29,9.600000381469727
2015-10-30,9.5600004196167
2015-11-02,9.5600004196167
2015-11-03,9.539999961853027
2015-11-04,9.350000381469727
2015-11-05,9.100000381469727
2015-11-06,9.380000114440918
2015-11-09,9.210000038146973
2015-11-10,9.59000015258789
2015-11-11,9.350000381469727
2015-11-12,9.25
2015-11-13,9.194999694824219
2015-11-16,9.1899995803833
2015-11-17,9.244999885559082
2015-11-18,9.130000114440918
2015-11-19,9.140000343322754
2015-11-20,9.100000381469727
2015-11-23,9.100000381469727
2015-11-24,9.274999618530273
2015-11-25,9.779999732971191
2015-11-27,10.09000015258789
2015-11-30,9.789999961853027
2015-12-01,9.680000305175781
2015-12-02,9.430000305175781
2015-12-03,9.420000076293945
2015-12-04,9.779999732971191
2015-12-07,9.9399995803833
2015-12-08,9.670000076293945
2015-12-09,9.569999694824219
2015-12-10,9.829999923706055
2015-12-11,9.479999542236328
2015-12-14,9.8100004196167
2015-12-15,9.819999694824219
2015-12-16,9.635000228881836
2015-12-17,9.770000457763672
2015-12-18,9.25
2015-12-21,8.9399995803833
2015-12-22,9.449999809265137
2015-12-23,9.470000267028809
2015-12-24,9.130000114440918
2015-12-28,9.020000457763672
2015-12-29,9.220000267028809
2015-12-30,9.140000343322754
2015-12-31,9.270000457763672
2016-01-04,9.220000267028809
2016-01-05,9.15999984741211
2016-01-06,9.079999923706055
2016-01-07,8.760000228881836
2016-01-08,8.600000381469727
2016-01-11,8.430000305175781
2016-01-12,8.25
2016-01-13,8.25
2016-01-14,8.260000228881836
2016-01-15,8.170000076293945
2016-01-19,7.559999942779541
2016-01-20,7.5
2016-01-21,7.739999771118164
2016-01-22,8.229999542236328
2016-01-25,8.109999656677246
2016-01-26,7.820000171661377
2016-01-27,7.78000020980835
2016-01-28,7.71999979019165
2016-01-29,7.710000038146973
2016-02-01,7.78000020980835
2016-02-02,8.0
2016-02-03,8.079999923706055
2016-02-04,7.739999771118164
2016-02-05,7.800000190734863
2016-02-08,7.53000020980835
2016-02-09,7.840000152587891
2016-02-10,7.840000152587891
2016-02-11,6.570000171661377
2016-02-12,6.539999961853027
2016-02-16,6.369999885559082
2016-02-17,6.400000095367432
2016-02-18,6.46999979019165
2016-02-19,6.429999828338623
2016-02-22,6.349999904632568
2016-02-23,6.070000171661377
2016-02-24,6.21999979019165
2016-02-25,6.28000020980835
2016-02-26,6.039999961853027
2016-02-29,6.25
2016-03-01,6.53000020980835
2016-03-02,6.954999923706055
2016-03-03,6.820000171661377
2016-03-04,6.920000076293945
2016-03-07,6.570000171661377
2016-03-08,6.510000228881836
2016-03-09,6.360000133514404
2016-03-10,6.300000190734863
2016-03-11,6.309999942779541
2016-03-14,6.840000152587891
2016-03-15,6.739999771118164
2016-03-16,6.940000057220459
2016-03-17,6.909999847412109
2016-03-18,6.949999809265137
2016-03-21,6.690000057220459
2016-03-22,6.559999942779541
2016-03-23,6.840000152587891
2016-03-24,7.179999828338623
2016-03-28,7.039999961853027
2016-03-29,6.570000171661377
2016-03-30,6.829999923706055
2016-03-31,6.53000020980835
2016-04-01,6.570000171661377
2016-04-04,6.78000020980835
2016-04-05,6.71999979019165
2016-04-06,6.699999809265137
2016-04-07,6.800000190734863
2016-04-08,6.670000076293945
2016-04-11,6.789999961853027
2016-04-12,6.630000114440918
2016-04-13,6.789999961853027
2016-04-14,6.960000038146973
2016-04-15,6.630000114440918
2016-04-18,6.710000038146973
2016-04-19,6.610000133514404
2016-04-20,6.840000152587891
2016-04-21,6.619999885559082
2016-04-22,6.510000228881836
2016-04-25,6.599999904632568
2016-04-26,6.699999809265137
2016-04-27,7.0
2016-04-28,6.809999942779541
2016-04-29,6.78000020980835
2016-05-02,6.510000228881836
2016-05-03,6.510000228881836
2016-05-04,6.849999904632568
2016-05-05,6.920000076293945
2016-05-06,6.519999980926514
2016-05-09,6.670000076293945
2016-05-10,6.585000038146973
2016-05-11,6.800000190734863
2016-05-12,6.510000228881836
2016-05-13,6.599999904632568
2016-05-16,6.550000190734863
2016-05-17,6.269999980926514
2016-05-18,6.550000190734863
2016-05-19,6.409999847412109
2016-05-20,6.550000190734863
2016-05-23,6.619999885559082
2016-05-24,6.760000228881836
2016-05-25,6.559999942779541
2016-05-26,6.639999866485596
2016-05-27,6.429999828338623
2016-05-31,6.659999847412109
2016-06-01,6.639999866485596
2016-06-02,6.429999828338623
2016-06-03,6.389999866485596
2016-06-06,6.329999923706055
2016-06-07,6.28000020980835
2016-06-08,6.329999923706055
2016-06-09,6.519999980926514
2016-06-10,6.559999942779541
2016-06-13,6.659999847412109
2016-06-14,6.78000020980835
2016-06-15,6.480000019073486
2016-06-16,6.429999828338623
2016-06-17,6.5
2016-06-20,6.5
2016-06-21,6.539999961853027
2016-06-22,6.539999961853027
2016-06-23,6.5
2016-06-24,6.5
2016-06-27,6.630000114440918
2016-06-28,6.659999847412109
2016-06-29,6.760000228881836
2016-06-30,6.940000057220459
2016-07-01,7.650000095367432
2016-07-05,7.659999847412109
2016-07-06,7.829999923706055
2016-07-07,7.550000190734863
2016-07-08,7.28000020980835
2016-07-11,7.659999847412109
2016-07-12,7.489999771118164
2016-07-13,7.230000019073486
2016-07-14,7.230000019073486
2016-07-15,7.150000095367432
2016-07-18,7.239999771118164
2016-07-19,7.510000228881836
2016-07-20,7.269999980926514
2016-07-21,7.289999961853027
2016-07-22,7.260000228881836
2016-07-25,7.460000038146973
2016-07-26,7.5
2016-07-27,7.559999942779541
2016-07-28,7.599999904632568
2016-07-29,8.239999771118164
2016-08-01,8.220000267028809
2016-08-02,8.140000343322754
2016-08-03,8.010000228881836
2016-08-04,7.489999771118164
2016-08-05,7.650000095367432
2016-08-08,7.5
2016-08-09,7.769999980926514
2016-08-10,7.949999809265137
2016-08-11,8.0
2016-08-12,7.570000171661377
2016-08-15,7.650000095367432
2016-08-16,7.929999828338623
2016-08-17,8.09000015258789
2016-08-18,7.869999885559082
2016-08-19,7.929999828338623
2016-08-22,7.900000095367432
2016-08-23,7.900000095367432
2016-08-24,7.800000190734863
2016-08-25,7.460000038146973
2016-08-26,7.501999855041504
2016-08-29,7.199999809265137
2016-08-30,7.300000190734863
2016-08-31,7.579999923706055
2016-09-01,7.46999979019165
2016-09-02,7.900000095367432
2016-09-06,7.96999979019165
2016-09-07,8.079999923706055
2016-09-08,7.860000133514404
2016-09-09,7.619999885559082
2016-09-12,8.399999618530273
2016-09-13,8.510000228881836
2016-09-14,8.59000015258789
2016-09-15,8.170000076293945
2016-09-16,8.289999961853027
2016-09-19,8.079999923706055
