,CFIVU
2020-12-23,10.25
2020-12-24,10.277999877929688
2020-12-28,10.376999855041504
2020-12-29,10.357000350952148
2020-12-30,10.319999694824219
2020-12-31,10.289999961853027
2021-01-04,10.3100004196167
2021-01-05,10.34000015258789
2021-01-06,10.300000190734863
2021-01-07,10.3100004196167
2021-01-08,10.399999618530273
2021-01-11,10.399999618530273
2021-01-12,10.460000038146973
2021-01-13,10.539999961853027
2021-01-14,10.729999542236328
2021-01-15,10.779999732971191
2021-01-19,10.880000114440918
2021-01-20,10.699999809265137
2021-01-21,10.829999923706055
2021-01-22,10.920000076293945
2021-01-25,10.920000076293945
2021-01-26,10.729999542236328
2021-01-27,10.699999809265137
2021-01-28,10.720000267028809
2021-01-29,10.710000038146973
2021-02-01,10.699999809265137
2021-02-02,10.800000190734863
2021-02-03,10.779999732971191
2021-02-04,10.829999923706055
2021-02-05,10.829999923706055
2021-02-08,10.843999862670898
2021-02-09,10.84000015258789
2021-02-10,10.829999923706055
2021-02-11,10.819999694824219
2021-02-12,10.760000228881836
2021-02-16,10.9399995803833
2021-02-17,10.989999771118164
2021-02-18,11.1899995803833
2021-02-19,11.050000190734863
2021-02-22,10.979999542236328
2021-02-23,10.9399995803833
2021-02-24,10.899999618530273
2021-02-25,10.699999809265137
2021-02-26,10.59000015258789
2021-03-01,10.609999656677246
2021-03-02,10.3100004196167
2021-03-03,10.25
2021-03-04,10.180000305175781
2021-03-05,10.270000457763672
2021-03-08,10.279999732971191
2021-03-09,10.229999542236328
2021-03-10,10.199999809265137
2021-03-11,10.25
2021-03-12,10.289999961853027
2021-03-15,10.260000228881836
2021-03-16,10.1899995803833
2021-03-17,10.15999984741211
2021-03-18,10.149999618530273
2021-03-19,10.149999618530273
2021-03-22,10.1899995803833
2021-03-23,10.039999961853027
2021-03-24,9.989999771118164
2021-03-25,9.989999771118164
2021-03-26,10.0600004196167
2021-03-29,10.09000015258789
2021-03-30,10.050000190734863
2021-03-31,10.029999732971191
2021-04-01,10.039999961853027
2021-04-05,10.0600004196167
2021-04-06,10.100000381469727
2021-04-07,10.100000381469727
2021-04-08,10.140000343322754
2021-04-09,10.180000305175781
2021-04-12,10.1899995803833
2021-04-13,10.220000267028809
2021-04-14,10.199999809265137
2021-04-15,10.170000076293945
2021-04-16,10.09000015258789
2021-04-19,10.079999923706055
2021-04-20,10.0600004196167
2021-04-21,10.09000015258789
2021-04-22,10.079999923706055
2021-04-23,10.09000015258789
2021-04-26,10.079999923706055
2021-04-27,10.079999923706055
2021-04-28,10.09000015258789
2021-04-29,10.100000381469727
2021-04-30,10.109999656677246
2021-05-03,10.109999656677246
2021-05-04,10.09000015258789
2021-05-05,10.050000190734863
2021-05-06,10.130000114440918
2021-05-07,10.140000343322754
2021-05-10,10.100000381469727
2021-05-11,10.020000457763672
2021-05-12,10.010000228881836
2021-05-13,10.010000228881836
2021-05-14,9.989999771118164
