,PG
1970-03-25,1.703125
1970-03-26,1.703125
1970-03-30,1.683593988418579
1970-03-31,1.703125
1970-04-01,1.7265629768371582
1970-04-02,1.71875
1970-04-03,1.71875
1970-04-06,1.7128909826278687
1970-04-07,1.7167969942092896
1970-04-08,1.7089840173721313
1970-04-09,1.703125
1970-04-10,1.691406011581421
1970-04-13,1.671875
1970-04-14,1.671875
1970-04-15,1.660156011581421
1970-04-16,1.6347659826278687
1970-04-17,1.675781011581421
1970-04-20,1.6640629768371582
1970-04-21,1.6425780057907104
1970-04-22,1.625
1970-04-23,1.59375
1970-04-24,1.6015629768371582
1970-04-27,1.5546879768371582
1970-04-28,1.5644530057907104
1970-04-29,1.578125
1970-04-30,1.5566409826278687
1970-05-01,1.5390629768371582
1970-05-04,1.5
1970-05-05,1.46875
1970-05-06,1.4765629768371582
1970-05-07,1.519531011581421
1970-05-08,1.488281011581421
1970-05-11,1.472656011581421
1970-05-12,1.4511719942092896
1970-05-13,1.441406011581421
1970-05-14,1.4375
1970-05-15,1.5058590173721313
1970-05-18,1.503906011581421
1970-05-19,1.4453129768371582
1970-05-20,1.40625
1970-05-21,1.386718988418579
1970-05-22,1.34375
1970-05-25,1.296875
1970-05-26,1.2578129768371582
1970-05-27,1.3828129768371582
1970-05-28,1.4609379768371582
1970-05-29,1.53125
1970-06-01,1.5234379768371582
1970-06-02,1.5078129768371582
1970-06-03,1.511718988418579
1970-06-04,1.515625
1970-06-05,1.484375
1970-06-08,1.4921879768371582
1970-06-09,1.484375
1970-06-10,1.46875
1970-06-11,1.421875
1970-06-12,1.457031011581421
1970-06-15,1.4765629768371582
1970-06-16,1.53125
1970-06-17,1.515625
1970-06-18,1.5546879768371582
1970-06-19,1.5859379768371582
1970-06-22,1.550781011581421
1970-06-23,1.5546879768371582
1970-06-24,1.546875
1970-06-25,1.5390629768371582
1970-06-26,1.4921879768371582
1970-06-29,1.46875
1970-06-30,1.46875
1970-07-01,1.503906011581421
1970-07-02,1.503906011581421
1970-07-06,1.5234379768371582
1970-07-07,1.5078129768371582
1970-07-08,1.5546879768371582
1970-07-09,1.546875
1970-07-10,1.53125
1970-07-13,1.5390629768371582
