,CYTHW
2020-12-18,1.5
2020-12-21,1.850000023841858
2020-12-22,1.4600000381469727
2020-12-23,1.3509999513626099
2020-12-24,1.4739999771118164
2020-12-28,1.2799999713897705
2020-12-29,1.100000023841858
2020-12-30,1.4900000095367432
2020-12-31,1.0800000429153442
2021-01-04,1.180999994277954
2021-01-05,1.3300000429153442
2021-01-06,1.2999999523162842
2021-01-07,1.2999999523162842
2021-01-08,1.2999999523162842
2021-01-11,1.4700000286102295
2021-01-12,1.1699999570846558
2021-01-13,1.399999976158142
2021-01-14,1.559999942779541
2021-01-15,1.7000000476837158
2021-01-19,1.6699999570846558
2021-01-20,1.7000000476837158
2021-01-21,1.809999942779541
2021-01-22,2.0
2021-01-25,1.899999976158142
2021-01-26,1.7999999523162842
2021-01-27,2.0
2021-01-28,1.850000023841858
2021-01-29,1.690000057220459
2021-02-01,1.690000057220459
2021-02-02,2.200000047683716
2021-02-03,3.25
2021-02-04,7.75
2021-02-05,5.550000190734863
2021-02-08,6.199999809265137
2021-02-09,8.149999618530273
2021-02-10,6.590000152587891
2021-02-11,5.96999979019165
2021-02-12,6.489999771118164
2021-02-16,5.440000057220459
2021-02-17,4.800000190734863
2021-02-18,4.800000190734863
2021-02-19,4.260000228881836
2021-02-22,4.5
2021-02-23,3.299999952316284
2021-02-24,3.9749999046325684
2021-02-25,3.5
2021-02-26,3.299999952316284
2021-03-01,3.309999942779541
2021-03-02,3.240000009536743
2021-03-03,3.5450000762939453
2021-03-04,3.0999999046325684
2021-03-05,2.8499999046325684
2021-03-08,3.0
2021-03-09,5.349999904632568
2021-03-10,4.599999904632568
2021-03-11,4.539999961853027
2021-03-12,6.0
2021-03-15,5.989999771118164
2021-03-16,7.715000152587891
2021-03-17,7.53000020980835
2021-03-18,6.5
2021-03-19,6.96999979019165
2021-03-22,7.0
2021-03-23,7.0
2021-03-24,6.03000020980835
2021-03-25,4.389999866485596
2021-03-26,3.9800000190734863
2021-03-29,3.0999999046325684
2021-03-30,3.5999999046325684
2021-03-31,3.75
2021-04-01,3.950000047683716
2021-04-05,3.6500000953674316
2021-04-06,3.6500000953674316
2021-04-07,3.009999990463257
2021-04-08,3.069999933242798
2021-04-09,2.799999952316284
2021-04-12,2.7100000381469727
2021-04-13,2.5899999141693115
2021-04-14,2.700000047683716
2021-04-15,2.5899999141693115
2021-04-16,2.3499999046325684
2021-04-19,2.380000114440918
2021-04-20,2.555000066757202
2021-04-21,2.950000047683716
2021-04-22,2.7300000190734863
2021-04-23,2.4100000858306885
2021-04-26,2.5299999713897705
2021-04-27,2.5299999713897705
2021-04-28,3.299999952316284
2021-04-29,3.25
2021-04-30,4.0
2021-05-03,4.070000171661377
2021-05-04,3.5899999141693115
2021-05-05,3.5899999141693115
2021-05-06,3.680000066757202
2021-05-07,3.309999942779541
2021-05-10,3.309999942779541
2021-05-11,2.680000066757202
2021-05-12,3.009999990463257
2021-05-13,3.0299999713897705
2021-05-14,2.5999999046325684
