,CMIIU
2021-02-23,12.300000190734863
2021-02-24,13.449999809265137
2021-02-25,13.399999618530273
2021-02-26,13.5
2021-03-01,13.649999618530273
2021-03-02,13.449999809265137
2021-03-03,12.260000228881836
2021-03-04,12.25
2021-03-05,12.220000267028809
2021-03-08,12.100000381469727
2021-03-09,12.300000190734863
2021-03-10,13.510000228881836
2021-03-11,13.140000343322754
2021-03-12,13.100000381469727
2021-03-15,12.210000038146973
2021-03-16,12.539999961853027
2021-03-17,12.369999885559082
2021-03-18,12.130000114440918
2021-03-19,12.279999732971191
2021-03-22,12.031000137329102
2021-03-23,11.890000343322754
2021-03-24,11.579999923706055
2021-03-25,11.260000228881836
2021-03-26,11.640000343322754
2021-03-29,12.619999885559082
2021-03-30,12.699999809265137
2021-03-31,12.800000190734863
2021-04-01,14.119999885559082
2021-04-05,13.960000038146973
2021-04-06,13.449999809265137
2021-04-07,13.3100004196167
2021-04-08,13.050000190734863
2021-04-09,12.979999542236328
2021-04-12,12.920000076293945
2021-04-13,13.170000076293945
2021-04-14,13.65999984741211
2021-04-15,13.5
2021-04-16,13.670000076293945
2021-04-19,13.460000038146973
2021-04-20,13.520000457763672
2021-04-21,13.6899995803833
2021-04-22,13.640000343322754
2021-04-23,13.630000114440918
2021-04-26,13.729999542236328
2021-04-27,13.609999656677246
2021-04-28,13.770000457763672
2021-04-29,13.869999885559082
2021-04-30,13.569999694824219
2021-05-03,13.229999542236328
2021-05-04,13.489999771118164
2021-05-05,13.670000076293945
2021-05-06,12.770000457763672
2021-05-07,13.25
2021-05-10,11.970000267028809
2021-05-11,11.75
2021-05-12,11.399999618530273
2021-05-13,11.539999961853027
2021-05-14,11.75
