,CMBM
2019-06-26,9.699999809265137
2019-06-27,9.5
2019-06-28,9.59000015258789
2019-07-01,9.699999809265137
2019-07-02,9.649999618530273
2019-07-03,9.479999542236328
2019-07-05,9.470000267028809
2019-07-08,9.119999885559082
2019-07-09,9.1899995803833
2019-07-10,8.9399995803833
2019-07-11,9.3100004196167
2019-07-12,9.350000381469727
2019-07-15,9.9399995803833
2019-07-16,9.970000267028809
2019-07-17,9.869999885559082
2019-07-18,10.199999809265137
2019-07-19,10.449999809265137
2019-07-22,9.930000305175781
2019-07-23,9.949999809265137
2019-07-24,9.779999732971191
2019-07-25,10.25
2019-07-26,9.979999542236328
2019-07-29,9.770000457763672
2019-07-30,9.6899995803833
2019-07-31,9.609999656677246
2019-08-01,9.640000343322754
2019-08-02,9.699999809265137
2019-08-05,9.40999984741211
2019-08-06,9.430000305175781
2019-08-07,9.34000015258789
2019-08-08,9.300000190734863
2019-08-09,8.880000114440918
2019-08-12,8.600000381469727
2019-08-13,8.510000228881836
2019-08-14,9.140000343322754
2019-08-15,9.0
2019-08-16,8.979999542236328
2019-08-19,8.6899995803833
2019-08-20,8.850000381469727
2019-08-21,9.0
2019-08-22,9.199999809265137
2019-08-23,8.920000076293945
2019-08-26,9.039999961853027
2019-08-27,9.539999961853027
2019-08-28,9.4399995803833
2019-08-29,9.390000343322754
2019-08-30,8.989999771118164
2019-09-03,8.779999732971191
2019-09-04,9.399999618530273
2019-09-05,9.329999923706055
2019-09-06,9.5
2019-09-09,10.699999809265137
2019-09-10,9.380000114440918
2019-09-11,10.020000457763672
2019-09-12,11.069999694824219
2019-09-13,10.880000114440918
2019-09-16,10.420000076293945
2019-09-17,10.90999984741211
2019-09-18,10.5
2019-09-19,10.75
2019-09-20,9.8100004196167
2019-09-23,9.5600004196167
2019-09-24,9.380000114440918
2019-09-25,9.960000038146973
2019-09-26,9.75
2019-09-27,9.520000457763672
2019-09-30,9.699999809265137
2019-10-01,9.350000381469727
2019-10-02,9.180000305175781
2019-10-03,9.180000305175781
2019-10-04,9.239999771118164
2019-10-07,9.130000114440918
2019-10-08,8.859999656677246
2019-10-09,8.850000381469727
2019-10-10,8.270000457763672
2019-10-11,8.359999656677246
2019-10-14,8.319999694824219
2019-10-15,8.619999885559082
2019-10-16,8.6899995803833
2019-10-17,8.770000457763672
2019-10-18,8.630000114440918
2019-10-21,8.869999885559082
2019-10-22,8.640000343322754
2019-10-23,8.739999771118164
2019-10-24,8.800000190734863
2019-10-25,8.819999694824219
2019-10-28,8.720000267028809
2019-10-29,8.850000381469727
2019-10-30,8.829999923706055
2019-10-31,8.760000228881836
2019-11-01,8.670000076293945
2019-11-04,8.449999809265137
2019-11-05,8.680000305175781
2019-11-06,8.6899995803833
2019-11-07,8.640000343322754
2019-11-08,7.260000228881836
2019-11-11,7.730000019073486
2019-11-12,7.360000133514404
2019-11-13,7.119999885559082
2019-11-14,6.920000076293945
2019-11-15,7.170000076293945
2019-11-18,7.150000095367432
2019-11-19,7.099999904632568
2019-11-20,6.980000019073486
2019-11-21,6.869999885559082
2019-11-22,6.659999847412109
2019-11-25,7.210000038146973
2019-11-26,6.699999809265137
2019-11-27,7.130000114440918
2019-11-29,7.25
2019-12-02,7.349999904632568
2019-12-03,7.010000228881836
2019-12-04,6.769999980926514
2019-12-05,6.610000133514404
2019-12-06,5.980000019073486
2019-12-09,6.010000228881836
2019-12-10,5.980000019073486
2019-12-11,5.769999980926514
2019-12-12,6.110000133514404
2019-12-13,6.210000038146973
2019-12-16,6.170000076293945
2019-12-17,6.329999923706055
2019-12-18,6.340000152587891
2019-12-19,6.480000019073486
2019-12-20,6.909999847412109
2019-12-23,7.710000038146973
2019-12-24,8.0
2019-12-26,7.760000228881836
2019-12-27,7.849999904632568
2019-12-30,7.860000133514404
2019-12-31,8.739999771118164
2020-01-02,9.0
2020-01-03,8.8100004196167
2020-01-06,8.829999923706055
2020-01-07,8.930000305175781
2020-01-08,9.109999656677246
2020-01-09,8.90999984741211
2020-01-10,9.15999984741211
2020-01-13,9.069999694824219
2020-01-14,9.039999961853027
2020-01-15,8.979999542236328
2020-01-16,8.8100004196167
2020-01-17,8.539999961853027
2020-01-21,8.529999732971191
2020-01-22,8.40999984741211
2020-01-23,8.4399995803833
2020-01-24,8.140000343322754
2020-01-27,8.050000190734863
2020-01-28,7.78000020980835
2020-01-29,7.260000228881836
2020-01-30,6.739999771118164
2020-01-31,6.909999847412109
2020-02-03,7.019999980926514
2020-02-04,7.21999979019165
2020-02-05,7.159999847412109
2020-02-06,7.28000020980835
2020-02-07,7.079999923706055
2020-02-10,7.150000095367432
2020-02-11,6.650000095367432
2020-02-12,6.199999809265137
2020-02-13,6.260000228881836
2020-02-14,6.170000076293945
2020-02-18,6.260000228881836
2020-02-19,6.409999847412109
2020-02-20,6.440000057220459
2020-02-21,6.519999980926514
2020-02-24,6.28000020980835
2020-02-25,6.199999809265137
2020-02-26,6.130000114440918
2020-02-27,6.179999828338623
2020-02-28,6.25
2020-03-02,6.130000114440918
2020-03-03,6.039999961853027
2020-03-04,6.0
2020-03-05,5.860000133514404
2020-03-06,5.679999828338623
2020-03-09,5.170000076293945
2020-03-10,4.860000133514404
2020-03-11,4.659999847412109
2020-03-12,4.239999771118164
2020-03-13,4.5
2020-03-16,3.9100000858306885
2020-03-17,4.480000019073486
2020-03-18,4.53000020980835
2020-03-19,5.28000020980835
2020-03-20,5.099999904632568
2020-03-23,5.360000133514404
2020-03-24,5.449999809265137
2020-03-25,5.010000228881836
2020-03-26,5.260000228881836
2020-03-27,5.0
2020-03-30,5.050000190734863
2020-03-31,5.599999904632568
2020-04-01,4.96999979019165
2020-04-02,5.239999771118164
2020-04-03,6.0
2020-04-06,6.269999980926514
2020-04-07,6.010000228881836
2020-04-08,6.150000095367432
2020-04-09,5.920000076293945
2020-04-13,5.820000171661377
2020-04-14,5.920000076293945
2020-04-15,5.849999904632568
2020-04-16,5.710000038146973
2020-04-17,5.690000057220459
2020-04-20,5.679999828338623
2020-04-21,5.369999885559082
2020-04-22,5.800000190734863
2020-04-23,5.619999885559082
2020-04-24,5.570000171661377
2020-04-27,5.880000114440918
2020-04-28,5.599999904632568
2020-04-29,6.050000190734863
2020-04-30,5.730000019073486
2020-05-01,5.269999980926514
2020-05-04,5.260000228881836
2020-05-05,5.159999847412109
2020-05-06,5.360000133514404
2020-05-07,5.179999828338623
2020-05-08,5.590000152587891
2020-05-11,5.5
2020-05-12,5.130000114440918
2020-05-13,4.519999980926514
2020-05-14,4.269999980926514
2020-05-15,4.110000133514404
2020-05-18,4.610000133514404
2020-05-19,4.269999980926514
2020-05-20,4.150000095367432
2020-05-21,4.0
2020-05-22,4.050000190734863
2020-05-26,4.139999866485596
2020-05-27,4.0
2020-05-28,4.260000228881836
2020-05-29,4.380000114440918
2020-06-01,4.440000057220459
2020-06-02,5.489999771118164
2020-06-03,5.150000095367432
2020-06-04,5.409999847412109
2020-06-05,5.639999866485596
2020-06-08,5.650000095367432
2020-06-09,5.550000190734863
2020-06-10,5.800000190734863
2020-06-11,5.550000190734863
2020-06-12,5.809999942779541
2020-06-15,5.929999828338623
