,CDXS
2010-04-22,13.260000228881836
2010-04-23,14.039999961853027
2010-04-26,14.449999809265137
2010-04-27,14.300000190734863
2010-04-28,13.880000114440918
2010-04-29,13.5
2010-04-30,13.619999885559082
2010-05-03,14.109999656677246
2010-05-04,13.699999809265137
2010-05-05,13.399999618530273
2010-05-06,13.109999656677246
2010-05-07,13.199999809265137
2010-05-10,13.760000228881836
2010-05-11,13.630000114440918
2010-05-12,13.039999961853027
2010-05-13,13.020000457763672
2010-05-14,13.029999732971191
2010-05-17,13.029999732971191
2010-05-18,13.0
2010-05-19,12.779999732971191
2010-05-20,12.90999984741211
2010-05-21,13.0
2010-05-24,12.930000305175781
2010-05-25,12.640000343322754
2010-05-26,11.399999618530273
2010-05-27,10.880000114440918
2010-05-28,10.34000015258789
2010-06-01,10.800000190734863
2010-06-02,10.579999923706055
2010-06-03,10.720000267028809
2010-06-04,10.640000343322754
2010-06-07,9.84000015258789
2010-06-08,9.970000267028809
2010-06-09,9.789999961853027
2010-06-10,10.029999732971191
2010-06-11,10.010000228881836
2010-06-14,10.029999732971191
2010-06-15,10.149999618530273
2010-06-16,10.5600004196167
2010-06-17,10.279999732971191
2010-06-18,9.5
2010-06-21,10.40999984741211
2010-06-22,10.25
2010-06-23,9.979999542236328
2010-06-24,10.079999923706055
2010-06-25,9.0
2010-06-28,8.899999618530273
2010-06-29,8.6899995803833
2010-06-30,8.760000228881836
2010-07-01,8.5
2010-07-02,7.869999885559082
2010-07-06,7.25
2010-07-07,7.110000133514404
2010-07-08,7.239999771118164
2010-07-09,7.400000095367432
2010-07-12,7.320000171661377
2010-07-13,8.4399995803833
2010-07-14,9.699999809265137
2010-07-15,9.649999618530273
2010-07-16,9.65999984741211
2010-07-19,9.6899995803833
2010-07-20,9.619999885559082
2010-07-21,9.770000457763672
2010-07-22,9.489999771118164
2010-07-23,9.420000076293945
2010-07-26,9.529999732971191
2010-07-27,9.300000190734863
2010-07-28,9.079999923706055
2010-07-29,9.0
2010-07-30,8.949999809265137
2010-08-02,8.619999885559082
2010-08-03,8.329999923706055
2010-08-04,8.34000015258789
2010-08-05,8.34000015258789
2010-08-06,7.989999771118164
2010-08-09,7.880000114440918
2010-08-10,8.0
2010-08-11,7.579999923706055
2010-08-12,7.940000057220459
2010-08-13,7.78000020980835
2010-08-16,7.980000019073486
2010-08-17,8.449999809265137
2010-08-18,8.09000015258789
2010-08-19,7.75
2010-08-20,7.5
2010-08-23,7.760000228881836
2010-08-24,7.53000020980835
2010-08-25,7.46999979019165
2010-08-26,7.519999980926514
2010-08-27,7.809999942779541
2010-08-30,7.900000095367432
2010-08-31,8.109999656677246
2010-09-01,8.489999771118164
2010-09-02,8.329999923706055
2010-09-03,8.380000114440918
2010-09-07,8.109999656677246
2010-09-08,8.390000343322754
2010-09-09,8.15999984741211
2010-09-10,8.100000381469727
2010-09-13,8.25
2010-09-14,8.109999656677246
2010-09-15,8.359999656677246
2010-09-16,8.420000076293945
2010-09-17,9.010000228881836
2010-09-20,8.970000267028809
2010-09-21,9.270000457763672
2010-09-22,9.09000015258789
2010-09-23,8.960000038146973
2010-09-24,9.390000343322754
2010-09-27,9.479999542236328
2010-09-28,9.449999809265137
2010-09-29,9.520000457763672
2010-09-30,9.600000381469727
2010-10-01,9.800000190734863
2010-10-04,10.510000228881836
2010-10-05,11.0600004196167
2010-10-06,11.020000457763672
2010-10-07,11.630000114440918
2010-10-08,11.609999656677246
2010-10-11,11.25
2010-10-12,11.539999961853027
2010-10-13,11.220000267028809
2010-10-14,11.229999542236328
2010-10-15,11.130000114440918
2010-10-18,10.75
2010-10-19,9.989999771118164
2010-10-20,10.0600004196167
2010-10-21,9.779999732971191
2010-10-22,9.90999984741211
2010-10-25,9.9399995803833
2010-10-26,9.880000114440918
2010-10-27,9.239999771118164
2010-10-28,8.869999885559082
2010-10-29,10.239999771118164
2010-11-01,10.949999809265137
2010-11-02,11.149999618530273
2010-11-03,10.829999923706055
2010-11-04,10.460000038146973
2010-11-05,9.949999809265137
2010-11-08,10.289999961853027
2010-11-09,10.100000381469727
2010-11-10,10.289999961853027
2010-11-11,10.75
2010-11-12,10.380000114440918
2010-11-15,9.550000190734863
2010-11-16,9.640000343322754
2010-11-17,9.569999694824219
2010-11-18,10.100000381469727
2010-11-19,10.09000015258789
2010-11-22,10.199999809265137
2010-11-23,9.510000228881836
2010-11-24,9.779999732971191
2010-11-26,9.569999694824219
2010-11-29,9.930000305175781
2010-11-30,9.420000076293945
2010-12-01,9.8100004196167
2010-12-02,10.140000343322754
2010-12-03,10.0
2010-12-06,9.989999771118164
2010-12-07,9.989999771118164
2010-12-08,9.930000305175781
2010-12-09,9.819999694824219
2010-12-10,9.880000114440918
2010-12-13,9.829999923706055
2010-12-14,9.75
2010-12-15,9.739999771118164
2010-12-16,9.699999809265137
2010-12-17,10.069999694824219
2010-12-20,10.579999923706055
2010-12-21,10.630000114440918
2010-12-22,10.760000228881836
2010-12-23,10.75
2010-12-27,10.760000228881836
2010-12-28,10.710000038146973
2010-12-29,10.630000114440918
2010-12-30,10.579999923706055
2010-12-31,10.600000381469727
2011-01-03,10.520000457763672
2011-01-04,10.3100004196167
2011-01-05,10.600000381469727
2011-01-06,10.180000305175781
2011-01-07,9.869999885559082
2011-01-10,9.960000038146973
2011-01-11,10.079999923706055
2011-01-12,10.380000114440918
2011-01-13,10.640000343322754
2011-01-14,10.739999771118164
2011-01-18,10.75
2011-01-19,10.359999656677246
2011-01-20,10.020000457763672
2011-01-21,9.8100004196167
2011-01-24,9.329999923706055
2011-01-25,9.210000038146973
2011-01-26,9.149999618530273
2011-01-27,9.3100004196167
2011-01-28,9.170000076293945
2011-01-31,9.029999732971191
2011-02-01,9.029999732971191
2011-02-02,9.449999809265137
2011-02-03,9.149999618530273
2011-02-04,10.699999809265137
2011-02-07,10.579999923706055
2011-02-08,10.630000114440918
2011-02-09,10.600000381469727
2011-02-10,10.59000015258789
2011-02-11,10.4399995803833
2011-02-14,10.470000267028809
2011-02-15,10.420000076293945
2011-02-16,10.460000038146973
2011-02-17,10.630000114440918
2011-02-18,10.5
2011-02-22,10.399999618530273
2011-02-23,10.550000190734863
2011-02-24,10.390000343322754
2011-02-25,10.609999656677246
2011-02-28,10.65999984741211
2011-03-01,10.739999771118164
2011-03-02,10.630000114440918
2011-03-03,10.75
2011-03-04,10.59000015258789
2011-03-07,10.25
2011-03-08,10.510000228881836
2011-03-09,10.75
2011-03-10,10.65999984741211
2011-03-11,10.920000076293945
2011-03-14,10.630000114440918
2011-03-15,10.550000190734863
2011-03-16,10.520000457763672
2011-03-17,10.550000190734863
2011-03-18,10.989999771118164
2011-03-21,11.010000228881836
2011-03-22,10.869999885559082
2011-03-23,11.0
2011-03-24,10.989999771118164
2011-03-25,11.0
2011-03-28,10.90999984741211
2011-03-29,11.180000305175781
2011-03-30,11.59000015258789
2011-03-31,11.819999694824219
2011-04-01,12.1899995803833
2011-04-04,11.729999542236328
2011-04-05,11.789999961853027
2011-04-06,11.899999618530273
2011-04-07,11.979999542236328
2011-04-08,11.600000381469727
2011-04-11,11.329999923706055
2011-04-12,10.989999771118164
2011-04-13,10.630000114440918
2011-04-14,10.40999984741211
2011-04-15,10.399999618530273
2011-04-18,10.050000190734863
2011-04-19,10.0
2011-04-20,10.09000015258789
2011-04-21,10.220000267028809
2011-04-25,10.5600004196167
2011-04-26,10.569999694824219
2011-04-27,10.40999984741211
2011-04-28,10.460000038146973
2011-04-29,10.489999771118164
2011-05-02,10.199999809265137
2011-05-03,10.260000228881836
2011-05-04,10.359999656677246
2011-05-05,10.0600004196167
2011-05-06,9.600000381469727
2011-05-09,9.5
2011-05-10,9.539999961853027
2011-05-11,9.25
2011-05-12,9.6899995803833
2011-05-13,9.550000190734863
2011-05-16,9.199999809265137
2011-05-17,8.979999542236328
2011-05-18,8.850000381469727
2011-05-19,9.010000228881836
2011-05-20,10.069999694824219
2011-05-23,9.949999809265137
2011-05-24,10.210000038146973
2011-05-25,10.350000381469727
2011-05-26,10.760000228881836
2011-05-27,10.890000343322754
2011-05-31,10.949999809265137
2011-06-01,10.380000114440918
2011-06-02,10.40999984741211
2011-06-03,10.630000114440918
2011-06-06,10.359999656677246
2011-06-07,10.579999923706055
2011-06-08,10.510000228881836
2011-06-09,10.489999771118164
2011-06-10,10.430000305175781
2011-06-13,10.539999961853027
2011-06-14,10.489999771118164
2011-06-15,10.40999984741211
2011-06-16,10.479999542236328
2011-06-17,10.479999542236328
2011-06-20,9.4399995803833
2011-06-21,9.369999885559082
2011-06-22,9.4399995803833
2011-06-23,9.4399995803833
2011-06-24,9.510000228881836
2011-06-27,9.680000305175781
2011-06-28,9.59000015258789
2011-06-29,9.239999771118164
2011-06-30,9.630000114440918
2011-07-01,9.829999923706055
2011-07-05,9.819999694824219
2011-07-06,9.949999809265137
2011-07-07,10.239999771118164
2011-07-08,9.979999542236328
2011-07-11,9.729999542236328
2011-07-12,9.479999542236328
2011-07-13,9.520000457763672
2011-07-14,9.279999732971191
2011-07-15,9.260000228881836
2011-07-18,8.989999771118164
2011-07-19,9.25
