,AQWA
2021-04-12,15.326000213623047
2021-04-13,15.295999526977539
2021-04-14,15.350000381469727
2021-04-15,15.454999923706055
2021-04-16,15.59000015258789
2021-04-19,15.572999954223633
2021-04-20,15.545000076293945
2021-04-21,15.654999732971191
2021-04-22,15.770000457763672
2021-04-23,15.725000381469727
2021-04-26,15.614999771118164
2021-04-27,15.491000175476074
2021-04-28,15.539999961853027
2021-04-29,15.576000213623047
2021-04-30,15.527999877929688
2021-05-03,15.631999969482422
2021-05-04,15.65999984741211
2021-05-05,15.649999618530273
2021-05-06,15.763999938964844
2021-05-07,15.890000343322754
2021-05-10,15.932999610900879
2021-05-11,15.75
2021-05-12,15.350000381469727
2021-05-13,15.670000076293945
2021-05-14,15.866999626159668
