,UTG
2004-11-10,18.5
2004-11-11,18.489999771118164
2004-11-12,18.649999618530273
2004-11-15,18.6299991607666
2004-11-16,18.489999771118164
2004-11-17,18.520000457763672
2004-11-18,18.440000534057617
2004-11-19,18.31999969482422
2004-11-22,18.010000228881836
2004-11-23,18.299999237060547
2004-11-24,18.510000228881836
2004-11-26,18.469999313354492
2004-11-29,18.709999084472656
2004-11-30,18.520000457763672
2004-12-01,18.360000610351562
2004-12-02,18.34000015258789
2004-12-03,18.40999984741211
2004-12-06,18.350000381469727
2004-12-07,18.280000686645508
2004-12-08,18.290000915527344
2004-12-09,18.350000381469727
2004-12-10,18.68000030517578
2004-12-13,18.360000610351562
2004-12-14,18.389999389648438
2004-12-15,18.5
2004-12-16,18.350000381469727
2004-12-17,18.329999923706055
2004-12-20,18.469999313354492
2004-12-21,18.700000762939453
2004-12-22,19.979999542236328
2004-12-23,19.639999389648438
2004-12-27,19.459999084472656
2004-12-28,19.350000381469727
2004-12-29,19.540000915527344
2004-12-30,19.639999389648438
2004-12-31,19.899999618530273
2005-01-03,19.8700008392334
2005-01-04,19.799999237060547
2005-01-05,19.770000457763672
2005-01-06,19.6299991607666
2005-01-07,19.3700008392334
2005-01-10,19.56999969482422
2005-01-11,19.559999465942383
2005-01-12,19.700000762939453
2005-01-13,19.90999984741211
2005-01-14,19.65999984741211
2005-01-18,19.8700008392334
2005-01-19,19.790000915527344
2005-01-20,19.520000457763672
2005-01-21,19.5
2005-01-24,19.579999923706055
2005-01-25,19.549999237060547
2005-01-26,19.649999618530273
2005-01-27,19.700000762939453
2005-01-28,19.899999618530273
2005-01-31,19.649999618530273
2005-02-01,19.760000228881836
2005-02-02,19.90999984741211
2005-02-03,19.6299991607666
2005-02-04,19.950000762939453
2005-02-07,19.780000686645508
2005-02-08,19.899999618530273
2005-02-09,20.059999465942383
2005-02-10,20.229999542236328
2005-02-11,20.1299991607666
2005-02-14,19.950000762939453
2005-02-15,19.969999313354492
2005-02-16,19.979999542236328
2005-02-17,20.049999237060547
2005-02-18,20.0
2005-02-22,19.93000030517578
2005-02-23,19.899999618530273
2005-02-24,19.889999389648438
2005-02-25,19.959999084472656
2005-02-28,20.0
2005-03-01,20.100000381469727
2005-03-02,20.079999923706055
2005-03-03,20.299999237060547
2005-03-04,20.200000762939453
2005-03-07,20.149999618530273
2005-03-08,20.1299991607666
2005-03-09,20.229999542236328
2005-03-10,20.0
2005-03-11,19.469999313354492
2005-03-14,19.600000381469727
