,BIMI
2006-10-18,8.25
2006-10-19,7.574999809265137
2006-10-20,7.574999809265137
2006-10-23,5.625
2006-10-24,5.625
2006-10-25,5.625
2006-10-26,5.625
2006-10-27,5.625
2006-10-30,5.625
2006-10-31,5.625
2006-11-01,5.625
2006-11-02,4.5
2006-11-03,4.5
2006-11-06,4.5
2006-11-07,4.5
2006-11-08,4.5
2006-11-09,3.825000047683716
2006-11-10,3.825000047683716
2006-11-13,3.825000047683716
2006-11-14,3.825000047683716
2006-11-15,3.825000047683716
2006-11-16,3.825000047683716
2006-11-17,3.825000047683716
2006-11-20,3.825000047683716
2006-11-21,3.825000047683716
2006-11-22,3.825000047683716
2006-11-24,3.825000047683716
2006-11-27,3.825000047683716
2006-11-28,3.825000047683716
2006-11-29,3.825000047683716
2006-11-30,3.825000047683716
2006-12-01,3.825000047683716
2006-12-04,3.825000047683716
2006-12-05,3.825000047683716
2006-12-06,3.825000047683716
2006-12-07,3.825000047683716
2006-12-08,3.825000047683716
2006-12-11,3.825000047683716
2006-12-12,3.825000047683716
2006-12-13,3.825000047683716
2006-12-14,3.825000047683716
2006-12-15,3.825000047683716
2006-12-18,6.0
2006-12-19,6.0
2006-12-20,6.0
2006-12-21,6.0
2006-12-22,6.0
2006-12-26,6.0
2006-12-27,6.0
2006-12-28,6.0
2006-12-29,3.825000047683716
2007-01-03,3.825000047683716
2007-01-04,3.825000047683716
2007-01-05,3.825000047683716
2007-01-08,3.825000047683716
2007-01-09,3.825000047683716
2007-01-10,3.825000047683716
2007-01-11,3.825000047683716
2007-01-12,3.825000047683716
2007-01-16,3.825000047683716
2007-01-17,3.825000047683716
2007-01-18,3.825000047683716
2007-01-19,3.825000047683716
2007-01-22,3.825000047683716
2007-01-23,3.825000047683716
2007-01-24,3.825000047683716
2007-01-25,3.825000047683716
2007-01-26,3.825000047683716
2007-01-29,3.825000047683716
2007-01-30,3.825000047683716
2007-01-31,3.825000047683716
2007-02-01,3.825000047683716
2007-02-02,3.825000047683716
2007-02-05,3.825000047683716
2007-02-06,3.825000047683716
2007-02-07,3.825000047683716
2007-02-08,3.825000047683716
2007-02-09,3.825000047683716
2007-02-12,3.825000047683716
2007-02-13,3.825000047683716
2007-02-14,3.825000047683716
2007-02-15,3.825000047683716
2007-02-16,3.825000047683716
2007-02-20,3.825000047683716
2007-02-21,3.825000047683716
2007-02-22,3.825000047683716
2007-02-23,3.825000047683716
2007-02-26,3.825000047683716
2007-02-27,3.825000047683716
2007-02-28,3.825000047683716
2007-03-01,3.825000047683716
2007-03-02,3.825000047683716
2007-03-05,3.825000047683716
2007-03-06,3.825000047683716
2007-03-07,3.825000047683716
2007-03-08,3.825000047683716
2007-03-09,3.825000047683716
2007-03-12,3.825000047683716
2007-03-13,3.825000047683716
2007-03-14,3.825000047683716
2007-03-15,3.825000047683716
2007-03-16,3.825000047683716
2007-03-19,3.825000047683716
2007-03-20,3.825000047683716
2007-03-21,3.825000047683716
2007-03-22,3.825000047683716
2007-03-23,3.825000047683716
2007-03-26,3.825000047683716
2007-03-27,3.825000047683716
2007-03-28,3.825000047683716
