,BTAI
2018-03-08,11.029999732971191
2018-03-09,11.0
2018-03-12,10.430000305175781
2018-03-13,10.3100004196167
2018-03-14,10.470000267028809
2018-03-15,10.850000381469727
2018-03-16,10.869999885559082
2018-03-19,10.25
2018-03-20,10.25
2018-03-21,10.40999984741211
2018-03-22,10.25
2018-03-23,10.3100004196167
2018-03-26,10.460000038146973
2018-03-27,9.989999771118164
2018-03-28,9.829999923706055
2018-03-29,10.239999771118164
2018-04-02,10.84000015258789
2018-04-03,10.59000015258789
2018-04-04,10.5
2018-04-05,11.0600004196167
2018-04-06,11.050000190734863
2018-04-09,10.170000076293945
2018-04-10,9.789999961853027
2018-04-11,8.9399995803833
2018-04-12,8.9399995803833
2018-04-13,9.229999542236328
2018-04-16,9.260000228881836
2018-04-17,8.949999809265137
2018-04-18,8.819999694824219
2018-04-19,8.859999656677246
2018-04-20,9.279999732971191
2018-04-23,9.039999961853027
2018-04-24,7.539999961853027
2018-04-25,7.630000114440918
2018-04-26,7.75
2018-04-27,7.5
2018-04-30,7.599999904632568
2018-05-01,7.46999979019165
2018-05-02,7.019999980926514
2018-05-03,8.399999618530273
2018-05-04,7.699999809265137
2018-05-07,8.104999542236328
2018-05-08,8.149999618530273
2018-05-09,8.800000190734863
2018-05-10,9.930000305175781
2018-05-11,9.989999771118164
2018-05-14,9.5
2018-05-15,9.800000190734863
2018-05-16,9.989999771118164
2018-05-17,10.539999961853027
2018-05-18,10.350000381469727
2018-05-21,10.789999961853027
2018-05-22,11.180000305175781
2018-05-23,10.539999961853027
2018-05-24,10.899999618530273
2018-05-25,10.8100004196167
2018-05-29,11.260000228881836
2018-05-30,11.229999542236328
2018-05-31,10.989999771118164
2018-06-01,11.130000114440918
2018-06-04,10.979999542236328
2018-06-05,10.760000228881836
2018-06-06,10.8100004196167
2018-06-07,10.859999656677246
2018-06-08,10.350000381469727
2018-06-11,10.720000267028809
2018-06-12,9.869999885559082
2018-06-13,9.800000190734863
2018-06-14,9.890000343322754
2018-06-15,8.5
2018-06-18,8.850000381469727
2018-06-19,8.680000305175781
2018-06-20,9.029999732971191
2018-06-21,9.079999923706055
2018-06-22,8.760000228881836
2018-06-25,9.100000381469727
2018-06-26,9.210000038146973
2018-06-27,9.029999732971191
2018-06-28,9.079999923706055
2018-06-29,9.199999809265137
2018-07-02,9.180000305175781
2018-07-03,9.050000190734863
2018-07-05,9.300000190734863
2018-07-06,9.829999923706055
2018-07-09,11.029999732971191
2018-07-10,12.989999771118164
2018-07-11,11.850000381469727
2018-07-12,11.699999809265137
2018-07-13,10.9399995803833
2018-07-16,11.40999984741211
2018-07-17,11.739999771118164
2018-07-18,11.010000228881836
2018-07-19,10.760000228881836
2018-07-20,10.319999694824219
2018-07-23,10.239999771118164
2018-07-24,9.100000381469727
2018-07-25,10.09000015258789
2018-07-26,10.279999732971191
2018-07-27,9.5
2018-07-30,9.489999771118164
2018-07-31,10.050000190734863
2018-08-01,10.225000381469727
2018-08-02,10.765000343322754
2018-08-03,10.116000175476074
2018-08-06,10.130000114440918
2018-08-07,10.180000305175781
2018-08-08,9.699999809265137
2018-08-09,10.0
2018-08-10,9.25
2018-08-13,9.199999809265137
2018-08-14,8.600000381469727
2018-08-15,8.510000228881836
2018-08-16,8.1899995803833
2018-08-17,8.140000343322754
2018-08-20,8.039999961853027
2018-08-21,7.940000057220459
2018-08-22,7.849999904632568
2018-08-23,7.710000038146973
2018-08-24,7.9730000495910645
2018-08-27,8.449999809265137
2018-08-28,8.25
2018-08-29,8.960000038146973
2018-08-30,9.289999961853027
2018-08-31,9.199999809265137
2018-09-04,9.880000114440918
2018-09-05,9.550000190734863
2018-09-06,9.100000381469727
2018-09-07,9.3100004196167
2018-09-10,9.15999984741211
2018-09-11,8.800000190734863
2018-09-12,8.65999984741211
2018-09-13,8.149999618530273
2018-09-14,8.25
2018-09-17,8.09000015258789
2018-09-18,8.0600004196167
2018-09-19,7.590000152587891
2018-09-20,7.510000228881836
2018-09-21,7.539999961853027
2018-09-24,7.599999904632568
2018-09-25,7.710000038146973
2018-09-26,7.739999771118164
2018-09-27,7.739999771118164
2018-09-28,7.659999847412109
2018-10-01,7.610000133514404
2018-10-02,7.579999923706055
2018-10-03,7.590000152587891
2018-10-04,7.449999809265137
2018-10-05,7.28000020980835
2018-10-08,6.849999904632568
2018-10-09,6.760000228881836
2018-10-10,5.900000095367432
2018-10-11,5.849999904632568
2018-10-12,6.239999771118164
2018-10-15,6.360000133514404
2018-10-16,6.25
2018-10-17,6.559999942779541
2018-10-18,6.334000110626221
2018-10-19,6.269999980926514
2018-10-22,5.659999847412109
2018-10-23,5.797999858856201
2018-10-24,6.0
2018-10-25,5.849999904632568
2018-10-26,5.619999885559082
2018-10-29,5.070000171661377
2018-10-30,5.400000095367432
2018-10-31,5.079999923706055
2018-11-01,5.599999904632568
2018-11-02,5.480000019073486
2018-11-05,5.199999809265137
2018-11-06,5.449999809265137
2018-11-07,5.78000020980835
2018-11-08,6.050000190734863
2018-11-09,5.900000095367432
2018-11-12,5.570000171661377
2018-11-13,5.534999847412109
2018-11-14,5.289999961853027
2018-11-15,5.730000019073486
2018-11-16,5.760000228881836
2018-11-19,5.614999771118164
2018-11-20,5.079999923706055
2018-11-21,5.21999979019165
2018-11-23,5.019999980926514
2018-11-26,5.090000152587891
2018-11-27,4.900000095367432
2018-11-28,4.809999942779541
2018-11-29,4.730000019073486
2018-11-30,4.829999923706055
2018-12-03,5.090000152587891
2018-12-04,4.860000133514404
2018-12-06,5.059999942779541
2018-12-07,4.730000019073486
2018-12-10,4.660999774932861
2018-12-11,4.550000190734863
2018-12-12,4.550000190734863
2018-12-13,4.179999828338623
2018-12-14,3.8399999141693115
2018-12-17,3.7300000190734863
2018-12-18,3.3299999237060547
2018-12-19,2.9800000190734863
2018-12-20,2.5899999141693115
2018-12-21,2.549999952316284
2018-12-24,2.7799999713897705
2018-12-26,2.4100000858306885
2018-12-27,4.360000133514404
2018-12-28,3.940000057220459
2018-12-31,3.859999895095825
2019-01-02,3.490000009536743
2019-01-03,5.019999980926514
2019-01-04,5.21999979019165
2019-01-07,5.320000171661377
2019-01-08,6.090000152587891
2019-01-09,5.96999979019165
2019-01-10,6.179999828338623
2019-01-11,6.070000171661377
2019-01-14,5.760000228881836
2019-01-15,5.269999980926514
2019-01-16,5.570000171661377
2019-01-17,5.610000133514404
2019-01-18,5.860000133514404
2019-01-22,5.730000019073486
2019-01-23,5.699999809265137
2019-01-24,5.5
2019-01-25,5.53000020980835
2019-01-28,5.650000095367432
2019-01-29,5.639999866485596
2019-01-30,5.480000019073486
2019-01-31,5.360000133514404
2019-02-01,5.380000114440918
2019-02-04,5.949999809265137
2019-02-05,6.599999904632568
2019-02-06,7.829999923706055
2019-02-07,8.3100004196167
2019-02-08,9.600000381469727
