,CDL
2015-07-08,34.7400016784668
2015-07-09,34.61000061035156
2015-07-10,34.86000061035156
2015-07-13,35.150001525878906
2015-07-14,35.25
2015-07-15,35.25
2015-07-16,35.25
2015-07-17,35.25
2015-07-20,35.25
2015-07-21,35.25
2015-07-22,35.25
2015-07-23,35.25
2015-07-24,34.430999755859375
2015-07-27,34.400001525878906
2015-07-28,34.400001525878906
2015-07-29,34.400001525878906
2015-07-30,35.20000076293945
2015-07-31,35.20000076293945
2015-08-03,35.22999954223633
2015-08-04,35.220001220703125
2015-08-05,35.220001220703125
2015-08-06,35.099998474121094
2015-08-07,35.099998474121094
2015-08-10,35.099998474121094
2015-08-11,35.310001373291016
2015-08-12,35.310001373291016
2015-08-13,35.5
2015-08-14,35.61000061035156
2015-08-17,35.61000061035156
2015-08-18,35.61000061035156
2015-08-19,35.61000061035156
2015-08-20,35.08000183105469
2015-08-21,34.41999816894531
2015-08-24,32.54999923706055
2015-08-25,32.54999923706055
2015-08-26,32.54999923706055
2015-08-27,32.54999923706055
2015-08-28,32.54999923706055
2015-08-31,33.5
2015-09-01,33.5
2015-09-02,32.939998626708984
2015-09-03,32.939998626708984
2015-09-04,32.82600021362305
2015-09-08,33.479000091552734
2015-09-09,33.54199981689453
2015-09-10,33.06999969482422
2015-09-11,33.0099983215332
2015-09-14,33.0099983215332
2015-09-15,33.5099983215332
2015-09-16,33.95000076293945
2015-09-17,34.119998931884766
2015-09-18,33.720001220703125
2015-09-21,33.720001220703125
2015-09-22,33.720001220703125
2015-09-23,33.720001220703125
2015-09-24,33.07099914550781
2015-09-25,33.07099914550781
2015-09-28,32.91999816894531
2015-09-29,32.91999816894531
2015-09-30,33.310001373291016
2015-10-01,33.310001373291016
2015-10-02,33.310001373291016
2015-10-05,33.310001373291016
2015-10-06,33.310001373291016
2015-10-07,34.58000183105469
2015-10-08,34.744998931884766
2015-10-09,34.95000076293945
2015-10-12,35.4900016784668
2015-10-13,34.733001708984375
2015-10-14,34.68000030517578
2015-10-15,34.88999938964844
2015-10-16,35.06999969482422
2015-10-19,35.0
2015-10-20,35.0
2015-10-21,35.0
2015-10-22,35.0
2015-10-23,35.65999984741211
2015-10-26,35.59000015258789
2015-10-27,35.380001068115234
2015-10-28,35.56999969482422
2015-10-29,35.34600067138672
2015-10-30,35.47999954223633
2015-11-02,35.75
2015-11-03,35.650001525878906
2015-11-04,35.689998626708984
2015-11-05,35.5
2015-11-06,35.13999938964844
2015-11-09,34.939998626708984
2015-11-10,34.939998626708984
2015-11-11,34.939998626708984
2015-11-12,34.939998626708984
2015-11-13,34.345001220703125
2015-11-16,34.77000045776367
2015-11-17,34.599998474121094
2015-11-18,34.939998626708984
2015-11-19,35.11000061035156
2015-11-20,35.20000076293945
2015-11-23,35.15999984741211
2015-11-24,35.290000915527344
2015-11-25,35.25
2015-11-27,35.279998779296875
2015-11-30,35.279998779296875
2015-12-01,35.279998779296875
2015-12-02,35.0
2015-12-03,34.54999923706055
2015-12-04,35.08000183105469
2015-12-07,34.84000015258789
2015-12-08,34.52000045776367
2015-12-09,34.59000015258789
2015-12-10,34.487998962402344
2015-12-11,34.0099983215332
