,CFACU
2020-11-13,10.119999885559082
2020-11-16,10.109999656677246
2020-11-17,10.109999656677246
2020-11-18,10.119999885559082
2020-11-19,10.119999885559082
2020-11-20,10.15999984741211
2020-11-23,10.130000114440918
2020-11-24,10.170000076293945
2020-11-25,10.140000343322754
2020-11-27,10.140000343322754
2020-11-30,10.25
2020-12-01,10.34000015258789
2020-12-02,10.15999984741211
2020-12-03,10.25
2020-12-04,10.350000381469727
2020-12-07,10.329999923706055
2020-12-08,10.300000190734863
2020-12-09,10.350000381469727
2020-12-10,10.300000190734863
2020-12-11,10.319999694824219
2020-12-14,10.289999961853027
2020-12-15,10.350000381469727
2020-12-16,10.449999809265137
2020-12-17,10.359999656677246
2020-12-18,10.329999923706055
2020-12-21,10.350000381469727
2020-12-22,10.460000038146973
2020-12-23,10.449999809265137
2020-12-24,10.449999809265137
2020-12-28,10.5
2020-12-29,10.420000076293945
2020-12-30,10.5
2020-12-31,10.729999542236328
2021-01-04,10.65999984741211
2021-01-05,10.710000038146973
2021-01-06,10.460000038146973
2021-01-07,10.550000190734863
2021-01-08,10.75
2021-01-11,10.819999694824219
2021-01-12,11.109999656677246
2021-01-13,11.149999618530273
2021-01-14,14.199999809265137
2021-01-15,13.529999732971191
2021-01-19,13.260000228881836
2021-01-20,13.119999885559082
2021-01-21,12.880000114440918
2021-01-22,13.050000190734863
2021-01-25,13.579999923706055
2021-01-26,13.539999961853027
2021-01-27,12.75
2021-01-28,12.579999923706055
2021-01-29,12.470000267028809
2021-02-01,13.199999809265137
2021-02-02,13.635000228881836
2021-02-03,13.770000457763672
2021-02-04,13.84000015258789
2021-02-05,14.350000381469727
2021-02-08,14.670000076293945
2021-02-09,14.59000015258789
2021-02-10,14.140000343322754
2021-02-11,14.100000381469727
2021-02-12,14.539999961853027
2021-02-16,14.510000228881836
2021-02-17,12.0
2021-02-18,12.0
2021-02-19,11.930000305175781
2021-02-22,11.670000076293945
2021-02-23,10.899999618530273
2021-02-24,11.140000343322754
2021-02-25,11.140000343322754
2021-02-26,11.199999809265137
2021-03-01,11.079999923706055
2021-03-02,11.0
2021-03-03,10.75
2021-03-04,10.4399995803833
2021-03-05,10.510000228881836
2021-03-08,10.729999542236328
2021-03-09,10.550000190734863
2021-03-10,10.602999687194824
2021-03-11,10.800000190734863
2021-03-12,10.84000015258789
2021-03-15,10.75
2021-03-16,10.529999732971191
2021-03-17,10.6899995803833
2021-03-18,10.539999961853027
2021-03-19,10.619999885559082
2021-03-22,10.699999809265137
2021-03-23,10.65999984741211
2021-03-24,10.289999961853027
2021-03-25,10.300000190734863
2021-03-26,10.399999618530273
2021-03-29,10.460000038146973
2021-03-30,10.460000038146973
2021-03-31,10.390000343322754
2021-04-01,10.390000343322754
2021-04-05,10.380000114440918
2021-04-06,10.380000114440918
2021-04-07,10.489999771118164
2021-04-08,10.475000381469727
2021-04-09,10.430000305175781
2021-04-12,10.520000457763672
2021-04-13,10.489999771118164
2021-04-14,10.399999618530273
2021-04-15,10.289999961853027
2021-04-16,10.289999961853027
2021-04-19,10.300000190734863
2021-04-20,10.397000312805176
2021-04-21,10.397000312805176
2021-04-22,10.289999961853027
2021-04-23,10.399999618530273
2021-04-26,10.130000114440918
2021-04-27,10.279999732971191
2021-04-28,10.359999656677246
2021-04-29,10.220000267028809
2021-04-30,10.25
2021-05-03,10.40999984741211
2021-05-04,10.364999771118164
2021-05-05,10.220000267028809
2021-05-06,10.25
2021-05-07,10.210000038146973
2021-05-10,10.229999542236328
2021-05-11,10.239999771118164
2021-05-12,10.300000190734863
2021-05-13,10.3100004196167
2021-05-14,10.300000190734863
