,BAOS
2021-02-08,8.859999656677246
2021-02-09,7.590000152587891
2021-02-10,7.579999923706055
2021-02-11,7.139999866485596
2021-02-12,7.090000152587891
2021-02-16,7.659999847412109
2021-02-17,7.5
2021-02-18,7.139999866485596
2021-02-19,6.559999942779541
2021-02-22,6.389999866485596
2021-02-23,6.019999980926514
2021-02-24,6.559999942779541
2021-02-25,5.909999847412109
2021-02-26,5.760000228881836
2021-03-01,5.800000190734863
2021-03-02,5.849999904632568
2021-03-03,5.690000057220459
2021-03-04,5.320000171661377
2021-03-05,4.820000171661377
2021-03-08,4.599999904632568
2021-03-09,4.550000190734863
2021-03-10,5.079999923706055
2021-03-11,5.010000228881836
2021-03-12,4.949999809265137
2021-03-15,6.179999828338623
2021-03-16,6.650000095367432
2021-03-17,7.114999771118164
2021-03-18,6.579999923706055
2021-03-19,6.579999923706055
2021-03-22,6.159999847412109
2021-03-23,6.0
2021-03-24,5.610000133514404
2021-03-25,5.204999923706055
2021-03-26,5.25
2021-03-29,5.900000095367432
2021-03-30,6.28000020980835
2021-03-31,5.820000171661377
2021-04-01,5.920000076293945
2021-04-05,6.039999961853027
2021-04-06,6.172999858856201
2021-04-07,5.869999885559082
2021-04-08,5.906000137329102
2021-04-09,5.78000020980835
2021-04-12,5.590000152587891
2021-04-13,5.400000095367432
2021-04-14,5.710000038146973
2021-04-15,5.639999866485596
2021-04-16,5.614999771118164
2021-04-19,5.538000106811523
2021-04-20,4.449999809265137
2021-04-21,4.230000019073486
2021-04-22,4.190000057220459
2021-04-23,4.179999828338623
2021-04-26,4.25
2021-04-27,4.269999980926514
2021-04-28,4.309999942779541
2021-04-29,4.170000076293945
2021-04-30,4.079999923706055
2021-05-03,4.010000228881836
2021-05-04,3.5199999809265137
2021-05-05,3.640000104904175
2021-05-06,3.6010000705718994
2021-05-07,3.569999933242798
2021-05-10,3.299999952316284
2021-05-11,3.0899999141693115
2021-05-12,3.0799999237060547
2021-05-13,3.140000104904175
2021-05-14,3.109999895095825
