,CRTO
2013-10-30,35.38999938964844
2013-10-31,35.310001373291016
2013-11-01,34.099998474121094
2013-11-04,34.459999084472656
2013-11-05,33.97999954223633
2013-11-06,33.619998931884766
2013-11-07,34.380001068115234
2013-11-08,29.75
2013-11-11,29.15999984741211
2013-11-12,30.690000534057617
2013-11-13,31.920000076293945
2013-11-14,34.290000915527344
2013-11-15,36.58000183105469
2013-11-18,36.08000183105469
2013-11-19,35.400001525878906
2013-11-20,34.290000915527344
2013-11-21,33.310001373291016
2013-11-22,34.20000076293945
2013-11-25,35.40999984741211
2013-11-26,35.779998779296875
2013-11-27,35.959999084472656
2013-11-29,36.099998474121094
2013-12-02,35.540000915527344
2013-12-03,34.59000015258789
2013-12-04,35.220001220703125
2013-12-05,33.95000076293945
2013-12-06,33.86000061035156
2013-12-09,33.84000015258789
2013-12-10,33.7599983215332
2013-12-11,32.970001220703125
2013-12-12,31.979999542236328
2013-12-13,32.63999938964844
2013-12-16,33.02000045776367
2013-12-17,33.13999938964844
2013-12-18,32.2599983215332
2013-12-19,33.15999984741211
2013-12-20,34.349998474121094
2013-12-23,33.59000015258789
2013-12-24,33.84000015258789
2013-12-26,34.06999969482422
2013-12-27,34.0
2013-12-30,33.939998626708984
2013-12-31,34.20000076293945
2014-01-02,32.95000076293945
2014-01-03,32.41999816894531
2014-01-06,32.709999084472656
2014-01-07,32.22999954223633
2014-01-08,31.899999618530273
2014-01-09,31.149999618530273
2014-01-10,31.8799991607666
2014-01-13,33.75
2014-01-14,33.91999816894531
2014-01-15,34.22999954223633
2014-01-16,36.529998779296875
2014-01-17,36.5
2014-01-21,36.97999954223633
2014-01-22,37.119998931884766
2014-01-23,37.810001373291016
2014-01-24,36.13999938964844
2014-01-27,34.31999969482422
2014-01-28,35.369998931884766
2014-01-29,34.4900016784668
2014-01-30,36.09000015258789
2014-01-31,35.189998626708984
2014-02-03,35.380001068115234
2014-02-04,34.849998474121094
2014-02-05,33.689998626708984
2014-02-06,33.599998474121094
2014-02-07,35.13999938964844
2014-02-10,36.68000030517578
2014-02-11,37.119998931884766
2014-02-12,38.7599983215332
2014-02-13,38.95000076293945
2014-02-14,39.33000183105469
2014-02-18,39.150001525878906
2014-02-19,40.27000045776367
2014-02-20,42.790000915527344
2014-02-21,45.029998779296875
2014-02-24,46.84000015258789
2014-02-25,47.150001525878906
2014-02-26,48.369998931884766
2014-02-27,51.09000015258789
2014-02-28,53.470001220703125
2014-03-03,53.439998626708984
2014-03-04,57.31999969482422
2014-03-05,58.900001525878906
2014-03-06,57.380001068115234
2014-03-07,52.40999984741211
2014-03-10,49.72999954223633
2014-03-11,50.90999984741211
2014-03-12,49.5
2014-03-13,50.310001373291016
2014-03-14,52.0
2014-03-17,52.31999969482422
2014-03-18,49.90999984741211
2014-03-19,49.130001068115234
2014-03-20,45.5
2014-03-21,43.88999938964844
2014-03-24,44.38999938964844
2014-03-25,46.02000045776367
2014-03-26,40.34000015258789
