,BLCT
2020-07-08,23.43000030517578
2020-07-09,25.989999771118164
2020-07-10,24.5
2020-07-13,19.81999969482422
2020-07-14,17.530000686645508
2020-07-15,19.0
2020-07-16,17.959999084472656
2020-07-17,17.799999237060547
2020-07-20,17.639999389648438
2020-07-21,17.469999313354492
2020-07-22,16.020000457763672
2020-07-23,15.359999656677246
2020-07-24,13.5600004196167
2020-07-27,14.069999694824219
2020-07-28,13.6899995803833
2020-07-29,18.079999923706055
2020-07-30,15.649999618530273
2020-07-31,15.880000114440918
2020-08-03,14.739999771118164
2020-08-04,15.029999732971191
2020-08-05,15.430000305175781
2020-08-06,15.15999984741211
2020-08-07,15.039999961853027
2020-08-10,14.979999542236328
2020-08-11,14.5
2020-08-12,14.84000015258789
2020-08-13,14.720000267028809
2020-08-14,14.600000381469727
2020-08-17,14.600000381469727
2020-08-18,15.180000305175781
2020-08-19,14.9399995803833
2020-08-20,15.180000305175781
2020-08-21,14.930000305175781
2020-08-24,14.880000114440918
2020-08-25,15.100000381469727
2020-08-26,15.050000190734863
2020-08-27,13.399999618530273
2020-08-28,13.829999923706055
2020-08-31,13.710000038146973
2020-09-01,13.050000190734863
2020-09-02,11.960000038146973
2020-09-03,11.529999732971191
2020-09-04,11.850000381469727
2020-09-08,12.039999961853027
2020-09-09,11.449999809265137
2020-09-10,11.069999694824219
2020-09-11,11.050000190734863
2020-09-14,11.260000228881836
2020-09-15,11.0
2020-09-16,10.899999618530273
2020-09-17,10.739999771118164
2020-09-18,10.789999961853027
2020-09-21,10.270000457763672
2020-09-22,10.449999809265137
2020-09-23,10.0
2020-09-24,9.670000076293945
2020-09-25,9.760000228881836
2020-09-28,9.449999809265137
2020-09-29,8.970000267028809
2020-09-30,8.680000305175781
2020-10-01,8.5600004196167
2020-10-02,8.279999732971191
2020-10-05,8.699999809265137
2020-10-06,8.630000114440918
2020-10-07,8.75
2020-10-08,9.789999961853027
2020-10-09,10.1899995803833
2020-10-12,9.619999885559082
2020-10-13,9.489999771118164
2020-10-14,9.420000076293945
2020-10-15,9.1899995803833
2020-10-16,9.350000381469727
2020-10-19,9.710000038146973
2020-10-20,10.579999923706055
2020-10-21,10.890000343322754
2020-10-22,11.1899995803833
2020-10-23,10.84000015258789
2020-10-26,10.020000457763672
2020-10-27,10.149999618530273
2020-10-28,10.270000457763672
2020-10-29,10.569999694824219
2020-10-30,9.960000038146973
2020-11-02,10.170000076293945
2020-11-03,10.180000305175781
2020-11-04,10.0600004196167
2020-11-05,9.710000038146973
2020-11-06,10.140000343322754
2020-11-09,10.0
2020-11-10,9.760000228881836
2020-11-11,9.850000381469727
2020-11-12,9.399999618530273
2020-11-13,9.359999656677246
2020-11-16,9.5
2020-11-17,9.069999694824219
2020-11-18,9.199999809265137
2020-11-19,9.289999961853027
2020-11-20,9.390000343322754
2020-11-23,10.930000305175781
2020-11-24,13.5
2020-11-25,12.260000228881836
2020-11-27,13.40999984741211
2020-11-30,13.789999961853027
2020-12-01,14.449999809265137
2020-12-02,11.149999618530273
2020-12-03,10.869999885559082
2020-12-04,10.739999771118164
2020-12-07,11.0
2020-12-08,11.260000228881836
2020-12-09,10.979999542236328
2020-12-10,9.869999885559082
2020-12-11,10.079999923706055
2020-12-14,10.699999809265137
2020-12-15,10.59000015258789
2020-12-16,10.09000015258789
2020-12-17,9.989999771118164
2020-12-18,11.020000457763672
2020-12-21,10.640000343322754
2020-12-22,10.680000305175781
2020-12-23,10.600000381469727
2020-12-24,10.40999984741211
2020-12-28,10.149999618530273
2020-12-29,10.239999771118164
2020-12-30,10.180000305175781
2020-12-31,10.100000381469727
2021-01-04,10.220000267028809
2021-01-05,10.40999984741211
2021-01-06,11.010000228881836
2021-01-07,10.199999809265137
2021-01-08,9.5
2021-01-11,9.960000038146973
2021-01-12,9.989999771118164
2021-01-13,10.359999656677246
2021-01-14,10.739999771118164
2021-01-15,10.869999885559082
2021-01-19,10.449999809265137
2021-01-20,10.380000114440918
2021-01-21,10.279999732971191
2021-01-22,10.289999961853027
2021-01-25,10.220000267028809
2021-01-26,10.329999923706055
2021-01-27,9.789999961853027
2021-01-28,9.609999656677246
2021-01-29,9.819999694824219
2021-02-01,9.979999542236328
2021-02-02,10.239999771118164
2021-02-03,11.819999694824219
2021-02-04,12.670000076293945
2021-02-05,12.729999542236328
2021-02-08,11.899999618530273
2021-02-09,11.0
2021-02-10,11.460000038146973
2021-02-11,12.600000381469727
2021-02-12,14.390000343322754
2021-02-16,20.200000762939453
2021-02-17,17.795000076293945
2021-02-18,16.350000381469727
2021-02-19,15.789999961853027
2021-02-22,14.039999961853027
2021-02-23,12.640000343322754
2021-02-24,13.050000190734863
2021-02-25,12.239999771118164
2021-02-26,11.359999656677246
2021-03-01,13.359999656677246
2021-03-02,12.149999618530273
2021-03-03,11.890000343322754
2021-03-04,11.0
2021-03-05,11.25
2021-03-08,10.300000190734863
2021-03-09,10.770000457763672
2021-03-10,12.210000038146973
2021-03-11,12.260000228881836
2021-03-12,12.029999732971191
2021-03-15,12.010000228881836
2021-03-16,12.569999694824219
2021-03-17,12.550000190734863
2021-03-18,12.369999885559082
2021-03-19,12.1899995803833
2021-03-22,12.170000076293945
2021-03-23,11.0600004196167
2021-03-24,8.920000076293945
2021-03-25,8.84000015258789
2021-03-26,8.529999732971191
2021-03-29,8.600000381469727
2021-03-30,8.319999694824219
2021-03-31,9.1899995803833
2021-04-01,9.039999961853027
2021-04-05,8.930000305175781
2021-04-06,8.979999542236328
2021-04-07,8.800000190734863
2021-04-08,8.5600004196167
2021-04-09,8.199999809265137
2021-04-12,8.069999694824219
2021-04-13,8.0
2021-04-14,8.130000114440918
2021-04-15,8.029999732971191
2021-04-16,8.609999656677246
2021-04-19,8.350000381469727
2021-04-20,8.319999694824219
2021-04-21,8.34000015258789
2021-04-22,8.600000381469727
2021-04-23,8.680000305175781
2021-04-26,8.59000015258789
2021-04-27,8.460000038146973
2021-04-28,8.220000267028809
2021-04-29,8.3100004196167
2021-04-30,8.289999961853027
2021-05-03,8.039999961853027
2021-05-04,7.869999885559082
2021-05-05,7.800000190734863
2021-05-06,7.320000171661377
2021-05-07,7.139999866485596
2021-05-10,6.860000133514404
2021-05-11,6.71999979019165
2021-05-12,6.840000152587891
2021-05-13,6.309999942779541
2021-05-14,6.460000038146973
