,FNWB
2015-01-30,12.180000305175781
2015-02-02,12.149999618530273
2015-02-03,12.25
2015-02-04,12.289999961853027
2015-02-05,12.350000381469727
2015-02-06,12.489999771118164
2015-02-09,12.510000228881836
2015-02-10,12.5600004196167
2015-02-11,12.5600004196167
2015-02-12,12.550000190734863
2015-02-13,12.529999732971191
2015-02-17,12.510000228881836
2015-02-18,12.5
2015-02-19,12.520000457763672
2015-02-20,12.520000457763672
2015-02-23,12.510000228881836
2015-02-24,12.520000457763672
2015-02-25,12.510000228881836
2015-02-26,12.510000228881836
2015-02-27,12.520000457763672
2015-03-02,12.510000228881836
2015-03-03,12.520000457763672
2015-03-04,12.5
2015-03-05,12.470000267028809
2015-03-06,12.489999771118164
2015-03-09,12.4399995803833
2015-03-10,12.40999984741211
2015-03-11,12.420000076293945
2015-03-12,12.449999809265137
2015-03-13,12.430000305175781
2015-03-16,12.399999618530273
2015-03-17,12.4399995803833
2015-03-18,12.5
2015-03-19,12.300000190734863
2015-03-20,12.4399995803833
2015-03-23,12.449999809265137
2015-03-24,12.470000267028809
2015-03-25,12.5
2015-03-26,12.420000076293945
2015-03-27,12.3100004196167
2015-03-30,12.350000381469727
2015-03-31,12.479999542236328
2015-04-01,12.479999542236328
2015-04-02,12.4399995803833
2015-04-06,12.350000381469727
2015-04-07,12.359999656677246
2015-04-08,12.369999885559082
2015-04-09,12.25
2015-04-10,12.359999656677246
2015-04-13,12.300000190734863
2015-04-14,12.279999732971191
2015-04-15,12.279999732971191
2015-04-16,12.279999732971191
2015-04-17,12.199999809265137
2015-04-20,12.204999923706055
2015-04-21,12.1899995803833
2015-04-22,12.180000305175781
2015-04-23,12.180000305175781
2015-04-24,12.199999809265137
2015-04-27,12.199999809265137
2015-04-28,12.1899995803833
2015-04-29,12.109999656677246
2015-04-30,12.109999656677246
2015-05-01,12.029999732971191
2015-05-04,12.079999923706055
2015-05-05,12.180000305175781
2015-05-06,12.039999961853027
2015-05-07,12.0
2015-05-08,11.989999771118164
2015-05-11,12.0
2015-05-12,12.0
2015-05-13,11.979999542236328
2015-05-14,12.119999885559082
2015-05-15,12.180000305175781
2015-05-18,12.210000038146973
2015-05-19,12.25
2015-05-20,12.29699993133545
2015-05-21,12.329000473022461
2015-05-22,12.390999794006348
2015-05-26,12.489999771118164
2015-05-27,12.319999694824219
2015-05-28,12.34000015258789
2015-05-29,12.300000190734863
2015-06-01,12.289999961853027
2015-06-02,12.300000190734863
2015-06-03,12.300000190734863
2015-06-04,12.300000190734863
2015-06-05,12.329999923706055
2015-06-08,12.319999694824219
2015-06-09,12.1899995803833
2015-06-10,12.1899995803833
2015-06-11,12.34000015258789
2015-06-12,12.170000076293945
2015-06-15,12.300000190734863
2015-06-16,12.34000015258789
2015-06-17,12.420000076293945
2015-06-18,12.359999656677246
2015-06-19,12.0600004196167
2015-06-22,12.279999732971191
2015-06-23,12.289999961853027
2015-06-24,12.399999618530273
2015-06-25,12.359999656677246
