,BCEL
2019-06-20,18.049999237060547
2019-06-21,17.06999969482422
2019-06-24,17.524999618530273
2019-06-25,18.100000381469727
2019-06-26,18.260000228881836
2019-06-27,18.479999542236328
2019-06-28,18.84000015258789
2019-07-01,17.299999237060547
2019-07-02,14.930000305175781
2019-07-03,16.31999969482422
2019-07-05,16.219999313354492
2019-07-08,16.729999542236328
2019-07-09,19.049999237060547
2019-07-10,16.440000534057617
2019-07-11,16.739999771118164
2019-07-12,16.6299991607666
2019-07-15,16.450000762939453
2019-07-16,15.479999542236328
2019-07-17,15.84000015258789
2019-07-18,16.0
2019-07-19,16.010000228881836
2019-07-22,15.930000305175781
2019-07-23,15.6899995803833
2019-07-24,15.529999732971191
2019-07-25,15.020000457763672
2019-07-26,13.729999542236328
2019-07-29,13.430000305175781
2019-07-30,13.5600004196167
2019-07-31,12.649999618530273
2019-08-01,12.800000190734863
2019-08-02,12.430000305175781
2019-08-05,11.119999885559082
2019-08-06,11.680000305175781
2019-08-07,10.75
2019-08-08,10.420000076293945
2019-08-09,12.930000305175781
2019-08-12,11.520000457763672
2019-08-13,14.489999771118164
2019-08-14,13.420000076293945
2019-08-15,16.100000381469727
2019-08-16,16.649999618530273
2019-08-19,17.600000381469727
2019-08-20,20.59000015258789
2019-08-21,19.969999313354492
2019-08-22,22.040000915527344
2019-08-23,21.8700008392334
2019-08-26,20.450000762939453
2019-08-27,19.200000762939453
2019-08-28,19.389999389648438
2019-08-29,18.969999313354492
2019-08-30,19.40999984741211
2019-09-03,18.65999984741211
2019-09-04,17.799999237060547
2019-09-05,17.56999969482422
2019-09-06,16.43000030517578
2019-09-09,14.630000114440918
2019-09-10,13.220000267028809
2019-09-11,12.960000038146973
2019-09-12,13.84000015258789
2019-09-13,13.3100004196167
2019-09-16,12.470000267028809
2019-09-17,11.819999694824219
2019-09-18,11.279999732971191
2019-09-19,11.300000190734863
2019-09-20,11.65999984741211
2019-09-23,13.779999732971191
2019-09-24,13.84000015258789
2019-09-25,12.510000228881836
2019-09-26,13.0
2019-09-27,11.119999885559082
2019-09-30,12.239999771118164
2019-10-01,11.470000267028809
2019-10-02,11.8100004196167
2019-10-03,11.449999809265137
2019-10-04,11.5
2019-10-07,11.15999984741211
2019-10-08,11.229999542236328
2019-10-09,10.979999542236328
2019-10-10,10.420000076293945
2019-10-11,10.34000015258789
2019-10-14,10.020000457763672
2019-10-15,10.729999542236328
2019-10-16,10.229999542236328
2019-10-17,10.710000038146973
2019-10-18,10.369999885559082
2019-10-21,10.869999885559082
2019-10-22,10.569999694824219
2019-10-23,10.0600004196167
2019-10-24,10.050000190734863
2019-10-25,10.859999656677246
2019-10-28,10.050000190734863
2019-10-29,10.199999809265137
2019-10-30,10.390000343322754
2019-10-31,11.25
2019-11-01,11.770000457763672
2019-11-04,11.789999961853027
2019-11-05,12.34000015258789
2019-11-06,13.09000015258789
2019-11-07,12.710000038146973
2019-11-08,12.229999542236328
2019-11-11,11.579999923706055
2019-11-12,11.520000457763672
2019-11-13,11.109999656677246
2019-11-14,10.6899995803833
2019-11-15,10.779999732971191
2019-11-18,10.4399995803833
2019-11-19,10.260000228881836
2019-11-20,10.270000457763672
2019-11-21,9.9399995803833
2019-11-22,9.829999923706055
2019-11-25,9.869999885559082
2019-11-26,9.680000305175781
2019-11-27,9.949999809265137
2019-11-29,9.9399995803833
2019-12-02,10.079999923706055
2019-12-03,13.34000015258789
2019-12-04,12.949999809265137
2019-12-05,14.470000267028809
2019-12-06,14.3100004196167
2019-12-09,14.079999923706055
2019-12-10,15.289999961853027
2019-12-11,13.710000038146973
2019-12-12,13.350000381469727
2019-12-13,12.579999923706055
2019-12-16,13.119999885559082
2019-12-17,14.699999809265137
2019-12-18,15.850000381469727
2019-12-19,14.420000076293945
2019-12-20,14.854999542236328
2019-12-23,16.100000381469727
2019-12-24,15.970000267028809
2019-12-26,18.670000076293945
2019-12-27,17.270000457763672
2019-12-30,15.789999961853027
