,PAG
1996-10-23,17.4375
1996-10-24,17.0
1996-10-25,17.1875
1996-10-28,17.0
1996-10-29,17.0
1996-10-30,17.0
1996-10-31,17.1875
1996-11-01,17.0625
1996-11-04,16.4375
1996-11-05,16.1875
1996-11-06,15.9375
1996-11-07,15.4375
1996-11-08,14.4375
1996-11-11,14.75
1996-11-12,14.75
1996-11-13,14.5
1996-11-14,13.875
1996-11-15,13.5
1996-11-18,13.1875
1996-11-19,13.375
1996-11-20,12.5625
1996-11-21,12.0
1996-11-22,12.375
1996-11-25,11.875
1996-11-26,12.0
1996-11-27,11.75
1996-11-29,11.5625
1996-12-02,11.0
1996-12-03,10.75
1996-12-04,11.625
1996-12-05,11.8125
1996-12-06,11.6875
1996-12-09,11.5
1996-12-10,11.5
1996-12-11,11.5
1996-12-12,12.0
1996-12-13,11.8125
1996-12-16,11.75
1996-12-17,11.875
1996-12-18,12.1875
1996-12-19,12.5625
1996-12-20,12.5
1996-12-23,12.1875
1996-12-24,12.1875
1996-12-26,12.9375
1996-12-27,13.0625
1996-12-30,12.875
1996-12-31,12.875
1997-01-02,13.0625
1997-01-03,13.5625
1997-01-06,13.5625
1997-01-07,13.5
1997-01-08,13.375
1997-01-09,13.5
1997-01-10,13.5
1997-01-13,13.4375
1997-01-14,13.375
1997-01-15,13.5
1997-01-16,13.375
1997-01-17,13.25
1997-01-20,13.375
1997-01-21,13.5
1997-01-22,14.0625
1997-01-23,14.0
1997-01-24,13.6875
1997-01-27,13.25
1997-01-28,13.1875
1997-01-29,12.9375
1997-01-30,13.3125
1997-01-31,13.875
1997-02-03,14.0
1997-02-04,14.375
1997-02-05,14.625
1997-02-06,14.5
1997-02-07,14.625
1997-02-10,14.5
1997-02-11,14.375
1997-02-12,14.3125
1997-02-13,14.375
1997-02-14,14.4375
1997-02-18,14.4375
1997-02-19,15.125
1997-02-20,15.25
1997-02-21,15.3125
1997-02-24,15.6875
1997-02-25,12.375
1997-02-26,10.0
1997-02-27,10.5625
1997-02-28,11.5625
1997-03-03,11.6875
1997-03-04,11.0
1997-03-05,10.625
1997-03-06,11.1875
1997-03-07,11.75
1997-03-10,11.5
1997-03-11,11.25
1997-03-12,11.1875
1997-03-13,10.875
1997-03-14,10.8125
1997-03-17,10.25
1997-03-18,10.4375
1997-03-19,10.3125
1997-03-20,10.25
1997-03-21,10.1875
1997-03-24,10.125
1997-03-25,10.1875
1997-03-26,9.9375
1997-03-27,9.875
1997-03-31,9.6875
1997-04-01,9.5625
1997-04-02,9.125
1997-04-03,8.75
1997-04-04,8.9375
1997-04-07,8.875
1997-04-08,9.0
1997-04-09,9.0
1997-04-10,8.9375
1997-04-11,8.75
1997-04-14,8.125
1997-04-15,8.5
1997-04-16,8.5
1997-04-17,8.4375
1997-04-18,8.5625
1997-04-21,9.1875
1997-04-22,8.875
1997-04-23,8.8125
1997-04-24,8.6875
1997-04-25,8.75
1997-04-28,8.625
1997-04-29,8.5625
1997-04-30,8.3125
1997-05-01,8.25
1997-05-02,8.0
1997-05-05,8.1875
1997-05-06,8.5
1997-05-07,8.75
1997-05-08,8.6875
1997-05-09,8.625
1997-05-12,8.5
1997-05-13,8.4375
1997-05-14,8.5
1997-05-15,8.5625
1997-05-16,8.625
1997-05-19,8.5625
1997-05-20,8.6875
1997-05-21,9.0625
1997-05-22,8.875
1997-05-23,8.9375
1997-05-27,9.0
1997-05-28,9.25
1997-05-29,9.4375
1997-05-30,9.25
1997-06-02,9.25
1997-06-03,9.1875
1997-06-04,9.0625
1997-06-05,9.0625
1997-06-06,9.0625
1997-06-09,9.0
1997-06-10,9.0
1997-06-11,8.6875
1997-06-12,8.9375
1997-06-13,9.0
1997-06-16,9.0
1997-06-17,9.0
1997-06-18,9.0
1997-06-19,8.9375
1997-06-20,8.9375
1997-06-23,8.9375
1997-06-24,9.1875
1997-06-25,9.125
1997-06-26,9.125
1997-06-27,9.46875
1997-06-30,9.90625
1997-07-01,10.0
1997-07-02,10.03125
1997-07-03,10.0625
1997-07-07,10.375
1997-07-08,10.46875
1997-07-09,10.5
1997-07-10,10.3125
1997-07-11,10.25
1997-07-14,10.125
1997-07-15,9.875
1997-07-16,9.6875
1997-07-17,9.96875
1997-07-18,9.8125
1997-07-21,9.90625
1997-07-22,10.15625
1997-07-23,10.09375
1997-07-24,10.09375
1997-07-25,10.125
1997-07-28,10.25
1997-07-29,10.53125
1997-07-30,10.84375
1997-07-31,11.1875
1997-08-01,11.25
1997-08-04,11.5
1997-08-05,11.53125
1997-08-06,11.34375
1997-08-07,11.25
1997-08-08,11.25
1997-08-11,11.0
1997-08-12,11.09375
1997-08-13,11.125
1997-08-14,11.125
1997-08-15,10.90625
1997-08-18,10.875
1997-08-19,10.75
1997-08-20,11.0
1997-08-21,11.1875
1997-08-22,11.125
1997-08-25,11.125
1997-08-26,11.59375
1997-08-27,11.75
1997-08-28,11.90625
1997-08-29,12.15625
1997-09-02,12.75
1997-09-03,13.21875
1997-09-04,13.5625
1997-09-05,13.40625
1997-09-08,13.375
1997-09-09,13.0625
1997-09-10,12.5
1997-09-11,11.6875
1997-09-12,12.03125
1997-09-15,11.9375
1997-09-16,11.875
1997-09-17,11.25
1997-09-18,11.25
1997-09-19,11.4375
1997-09-22,12.28125
1997-09-23,13.0625
1997-09-24,13.375
1997-09-25,13.75
1997-09-26,13.65625
1997-09-29,13.3125
1997-09-30,13.40625
1997-10-01,13.125
1997-10-02,13.03125
1997-10-03,13.03125
1997-10-06,13.0
1997-10-07,12.65625
1997-10-08,12.59375
1997-10-09,12.4375
1997-10-10,12.5625
1997-10-13,12.5
1997-10-14,12.46875
1997-10-15,12.5
1997-10-16,12.4375
1997-10-17,12.34375
1997-10-20,12.4375
1997-10-21,12.4375
1997-10-22,12.5
1997-10-23,12.3125
1997-10-24,12.5
1997-10-27,12.09375
1997-10-28,11.46875
1997-10-29,11.1875
1997-10-30,10.65625
1997-10-31,10.1875
1997-11-03,10.0
1997-11-04,10.0625
1997-11-05,9.96875
1997-11-06,9.625
1997-11-07,9.25
1997-11-10,9.71875
1997-11-11,8.09375
1997-11-12,7.625
1997-11-13,7.6875
1997-11-14,7.90625
1997-11-17,7.96875
1997-11-18,7.78125
1997-11-19,7.59375
1997-11-20,7.6875
1997-11-21,7.21875
1997-11-24,7.15625
1997-11-25,7.0
1997-11-26,7.0
1997-11-28,7.03125
1997-12-01,7.03125
1997-12-02,7.0625
1997-12-03,7.1875
1997-12-04,7.09375
1997-12-05,7.8125
1997-12-08,8.375
1997-12-09,8.71875
1997-12-10,8.875
1997-12-11,8.375
1997-12-12,8.4375
1997-12-15,8.28125
1997-12-16,8.3125
1997-12-17,8.375
1997-12-18,8.75
1997-12-19,9.375
1997-12-22,9.59375
1997-12-23,9.34375
1997-12-24,9.125
1997-12-26,9.25
1997-12-29,9.1875
1997-12-30,9.0625
1997-12-31,9.15625
1998-01-02,9.15625
1998-01-05,10.03125
1998-01-06,9.75
1998-01-07,10.0625
1998-01-08,12.0625
1998-01-09,10.90625
1998-01-12,11.125
1998-01-13,10.0
1998-01-14,7.96875
1998-01-15,7.75
1998-01-16,7.90625
1998-01-20,7.1875
1998-01-21,7.03125
1998-01-22,6.6875
1998-01-23,5.96875
1998-01-26,5.84375
1998-01-27,5.84375
1998-01-28,5.71875
1998-01-29,5.4375
1998-01-30,5.125
1998-02-02,5.46875
1998-02-03,5.75
1998-02-04,5.5625
1998-02-05,5.6875
1998-02-06,5.5625
1998-02-09,6.65625
1998-02-10,6.375
1998-02-11,6.78125
1998-02-12,6.625
1998-02-13,6.71875
1998-02-17,6.21875
1998-02-18,6.40625
1998-02-19,7.15625
