,BLDE
2019-11-05,9.75
2019-11-06,9.75
2019-11-07,9.770000457763672
2019-11-08,9.75
2019-11-11,9.75
2019-11-12,9.75
2019-11-13,9.75
2019-11-14,9.729999542236328
2019-11-15,9.729999542236328
2019-11-18,9.720000267028809
2019-11-19,9.779999732971191
2019-11-20,9.779999732971191
2019-11-21,9.779999732971191
2019-11-22,9.779999732971191
2019-11-25,9.779999732971191
2019-11-26,9.779999732971191
2019-11-27,9.779999732971191
2019-11-29,9.779999732971191
2019-12-02,9.779999732971191
2019-12-03,9.779999732971191
2019-12-04,9.789999961853027
2019-12-05,9.789999961853027
2019-12-06,9.800000190734863
2019-12-09,9.800000190734863
2019-12-10,9.800000190734863
2019-12-11,9.819999694824219
2019-12-12,9.819999694824219
2019-12-13,9.819999694824219
2019-12-16,9.850000381469727
2019-12-17,9.850000381469727
2019-12-18,9.829999923706055
2019-12-19,9.829999923706055
2019-12-20,9.829999923706055
2019-12-23,9.829999923706055
2019-12-24,9.829999923706055
2019-12-26,9.829999923706055
2019-12-27,9.829999923706055
2019-12-30,9.829999923706055
2019-12-31,9.829999923706055
2020-01-02,9.829999923706055
2020-01-03,9.869999885559082
2020-01-06,9.880000114440918
2020-01-07,9.880000114440918
2020-01-08,9.920000076293945
2020-01-09,10.020000457763672
2020-01-10,10.0
2020-01-13,10.0
2020-01-14,10.0
2020-01-15,10.0
2020-01-16,10.0
2020-01-17,10.0
2020-01-21,10.0
2020-01-22,10.020000457763672
2020-01-23,10.020000457763672
2020-01-24,10.020000457763672
2020-01-27,10.0
2020-01-28,10.0
2020-01-29,10.0
2020-01-30,10.020000457763672
2020-01-31,10.0
2020-02-03,10.0
2020-02-04,10.020000457763672
2020-02-05,10.020000457763672
2020-02-06,10.020000457763672
2020-02-07,10.010000228881836
2020-02-10,9.970000267028809
2020-02-11,9.970000267028809
2020-02-12,9.970000267028809
2020-02-13,10.0
2020-02-14,10.0
2020-02-18,10.0
2020-02-19,10.0
2020-02-20,10.0
2020-02-21,10.0
2020-02-24,10.0
2020-02-25,10.0
2020-02-26,10.0
2020-02-27,10.0
2020-02-28,9.949999809265137
2020-03-02,9.949999809265137
2020-03-03,9.9399995803833
2020-03-04,9.9399995803833
2020-03-05,10.050000190734863
2020-03-06,10.039999961853027
2020-03-09,10.039999961853027
2020-03-10,10.0
2020-03-11,9.960000038146973
2020-03-12,9.89900016784668
2020-03-13,9.720000267028809
2020-03-16,9.720000267028809
2020-03-17,9.550000190734863
2020-03-18,9.59000015258789
2020-03-19,9.359999656677246
2020-03-20,9.699999809265137
2020-03-23,9.699999809265137
2020-03-24,9.979999542236328
