,BCAB
2020-12-16,31.020000457763672
2020-12-17,35.15999984741211
2020-12-18,35.0
2020-12-21,32.18000030517578
2020-12-22,33.400001525878906
2020-12-23,32.29999923706055
2020-12-24,31.81999969482422
2020-12-28,34.27000045776367
2020-12-29,33.790000915527344
2020-12-30,34.790000915527344
2020-12-31,34.0099983215332
2021-01-04,33.77000045776367
2021-01-05,32.40999984741211
2021-01-06,36.439998626708984
2021-01-07,37.83000183105469
2021-01-08,38.25
2021-01-11,40.20000076293945
2021-01-12,40.84000015258789
2021-01-13,44.83000183105469
2021-01-14,46.52000045776367
2021-01-15,45.380001068115234
2021-01-19,42.959999084472656
2021-01-20,44.77000045776367
2021-01-21,43.599998474121094
2021-01-22,45.81999969482422
2021-01-25,47.18000030517578
2021-01-26,46.349998474121094
2021-01-27,43.95000076293945
2021-01-28,43.470001220703125
2021-01-29,43.970001220703125
2021-02-01,44.5099983215332
2021-02-02,45.619998931884766
2021-02-03,46.38999938964844
2021-02-04,47.5099983215332
2021-02-05,47.849998474121094
2021-02-08,49.79999923706055
2021-02-09,50.209999084472656
2021-02-10,51.43000030517578
2021-02-11,53.189998626708984
2021-02-12,50.5099983215332
2021-02-16,52.599998474121094
2021-02-17,55.58000183105469
2021-02-18,56.040000915527344
2021-02-19,55.209999084472656
2021-02-22,52.9900016784668
2021-02-23,49.7400016784668
2021-02-24,54.029998779296875
2021-02-25,54.029998779296875
2021-02-26,53.099998474121094
2021-03-01,52.29999923706055
2021-03-02,51.849998474121094
2021-03-03,50.189998626708984
2021-03-04,50.880001068115234
2021-03-05,48.38999938964844
2021-03-08,53.0
2021-03-09,56.08000183105469
2021-03-10,60.689998626708984
2021-03-11,62.13999938964844
2021-03-12,66.41000366210938
2021-03-15,64.22000122070312
2021-03-16,66.52999877929688
2021-03-17,66.95999908447266
2021-03-18,70.91000366210938
2021-03-19,68.0
2021-03-22,67.47000122070312
2021-03-23,66.55000305175781
2021-03-24,64.18000030517578
2021-03-25,60.72999954223633
2021-03-26,57.369998931884766
2021-03-29,52.209999084472656
2021-03-30,50.349998474121094
2021-03-31,50.84000015258789
2021-04-01,51.09000015258789
2021-04-05,50.77000045776367
2021-04-06,47.099998474121094
2021-04-07,48.869998931884766
2021-04-08,47.65999984741211
2021-04-09,47.349998474121094
2021-04-12,48.22999954223633
2021-04-13,46.0
2021-04-14,46.040000915527344
2021-04-15,47.560001373291016
2021-04-16,47.7400016784668
2021-04-19,47.93000030517578
2021-04-20,47.08000183105469
2021-04-21,48.52000045776367
2021-04-22,48.33000183105469
2021-04-23,50.439998626708984
2021-04-26,54.13999938964844
2021-04-27,53.75
2021-04-28,56.16999816894531
2021-04-29,51.209999084472656
2021-04-30,49.59000015258789
2021-05-03,46.849998474121094
2021-05-04,45.88999938964844
2021-05-05,45.439998626708984
2021-05-06,45.5
2021-05-07,46.810001373291016
2021-05-10,46.0
2021-05-11,46.689998626708984
2021-05-12,48.0
2021-05-13,45.58000183105469
2021-05-14,45.33000183105469
