,CMRX
2013-04-11,18.790000915527344
2013-04-12,18.170000076293945
2013-04-15,18.420000076293945
2013-04-16,19.25
2013-04-17,18.75
2013-04-18,18.8700008392334
2013-04-19,18.81999969482422
2013-04-22,18.920000076293945
2013-04-23,19.329999923706055
2013-04-24,19.350000381469727
2013-04-25,19.100000381469727
2013-04-26,18.899999618530273
2013-04-29,19.020000457763672
2013-04-30,19.93000030517578
2013-05-01,20.450000762939453
2013-05-02,20.489999771118164
2013-05-03,20.950000762939453
2013-05-06,20.920000076293945
2013-05-07,20.520000457763672
2013-05-08,19.940000534057617
2013-05-09,19.600000381469727
2013-05-10,20.049999237060547
2013-05-13,20.469999313354492
2013-05-14,20.700000762939453
2013-05-15,20.25
2013-05-16,20.06999969482422
2013-05-17,19.780000686645508
2013-05-20,20.010000228881836
2013-05-21,20.1200008392334
2013-05-22,20.389999389648438
2013-05-23,20.739999771118164
2013-05-24,21.809999465942383
2013-05-28,21.899999618530273
2013-05-29,21.959999084472656
2013-05-30,22.06999969482422
2013-05-31,21.5
2013-06-03,21.989999771118164
2013-06-04,21.969999313354492
2013-06-05,21.75
2013-06-06,22.06999969482422
2013-06-07,22.239999771118164
2013-06-10,22.899999618530273
2013-06-11,23.719999313354492
2013-06-12,23.899999618530273
2013-06-13,22.959999084472656
2013-06-14,21.790000915527344
2013-06-17,20.600000381469727
2013-06-18,21.350000381469727
2013-06-19,22.8700008392334
2013-06-20,22.31999969482422
2013-06-21,22.670000076293945
2013-06-24,22.049999237060547
2013-06-25,22.170000076293945
2013-06-26,23.25
2013-06-27,23.90999984741211
2013-06-28,24.239999771118164
2013-07-01,24.239999771118164
2013-07-02,24.229999542236328
2013-07-03,24.5
2013-07-05,24.31999969482422
2013-07-08,24.3700008392334
2013-07-09,24.489999771118164
2013-07-10,24.350000381469727
2013-07-11,24.1299991607666
2013-07-12,24.010000228881836
2013-07-15,24.440000534057617
2013-07-16,24.43000030517578
2013-07-17,24.510000228881836
2013-07-18,24.260000228881836
2013-07-19,24.549999237060547
2013-07-22,24.850000381469727
2013-07-23,24.75
2013-07-24,24.93000030517578
2013-07-25,25.049999237060547
2013-07-26,25.100000381469727
2013-07-29,24.270000457763672
2013-07-30,24.020000457763672
2013-07-31,22.739999771118164
2013-08-01,22.040000915527344
2013-08-02,21.280000686645508
2013-08-05,20.639999389648438
2013-08-06,20.40999984741211
2013-08-07,19.25
2013-08-08,19.190000534057617
2013-08-09,18.049999237060547
2013-08-12,18.600000381469727
2013-08-13,18.360000610351562
2013-08-14,17.559999465942383
2013-08-15,17.450000762939453
2013-08-16,17.68000030517578
2013-08-19,17.510000228881836
2013-08-20,17.780000686645508
2013-08-21,18.1200008392334
2013-08-22,18.020000457763672
2013-08-23,17.690000534057617
2013-08-26,17.200000762939453
2013-08-27,16.770000457763672
2013-08-28,15.9399995803833
2013-08-29,16.0
2013-08-30,15.760000228881836
2013-09-03,16.06999969482422
2013-09-04,15.970000267028809
2013-09-05,15.869999885559082
2013-09-06,16.34000015258789
2013-09-09,19.06999969482422
2013-09-10,19.030000686645508
2013-09-11,17.799999237060547
2013-09-12,18.40999984741211
2013-09-13,19.420000076293945
2013-09-16,18.68000030517578
2013-09-17,19.969999313354492
2013-09-18,19.940000534057617
2013-09-19,19.81999969482422
2013-09-20,19.8700008392334
2013-09-23,19.84000015258789
2013-09-24,19.760000228881836
2013-09-25,20.010000228881836
2013-09-26,20.299999237060547
2013-09-27,20.600000381469727
2013-09-30,21.979999542236328
2013-10-01,21.799999237060547
2013-10-02,22.0
2013-10-03,21.8700008392334
2013-10-04,22.489999771118164
2013-10-07,21.90999984741211
2013-10-08,18.440000534057617
