,AIRG
2016-08-12,8.0
2016-08-15,8.300000190734863
2016-08-16,8.109999656677246
2016-08-17,8.197999954223633
2016-08-18,9.199999809265137
2016-08-19,9.949999809265137
2016-08-22,10.300000190734863
2016-08-23,11.319999694824219
2016-08-24,10.529999732971191
2016-08-25,10.619999885559082
2016-08-26,10.699999809265137
2016-08-29,12.489999771118164
2016-08-30,12.550000190734863
2016-08-31,11.664999961853027
2016-09-01,11.859999656677246
2016-09-02,11.569999694824219
2016-09-06,11.609999656677246
2016-09-07,13.949999809265137
2016-09-08,13.920000076293945
2016-09-09,13.229999542236328
2016-09-12,13.279999732971191
2016-09-13,12.800000190734863
2016-09-14,13.0
2016-09-15,15.350000381469727
2016-09-16,14.199999809265137
2016-09-19,14.569999694824219
2016-09-20,16.1200008392334
2016-09-21,16.049999237060547
2016-09-22,15.510000228881836
2016-09-23,15.579999923706055
2016-09-26,14.899999618530273
2016-09-27,15.630000114440918
2016-09-28,16.610000610351562
2016-09-29,15.960000038146973
2016-09-30,15.760000228881836
2016-10-03,15.079999923706055
2016-10-04,14.109999656677246
2016-10-05,13.710000038146973
2016-10-06,13.1899995803833
2016-10-07,13.949999809265137
2016-10-10,15.1899995803833
2016-10-11,14.59000015258789
2016-10-12,14.869999885559082
2016-10-13,14.75
2016-10-14,14.640000343322754
2016-10-17,13.9399995803833
2016-10-18,14.350000381469727
2016-10-19,14.0
2016-10-20,14.149999618530273
2016-10-21,13.9399995803833
2016-10-24,14.430000305175781
2016-10-25,14.239999771118164
2016-10-26,14.050000190734863
2016-10-27,12.989999771118164
2016-10-28,12.649999618530273
2016-10-31,12.510000228881836
2016-11-01,12.399999618530273
2016-11-02,12.239999771118164
2016-11-03,11.720000267028809
2016-11-04,11.979999542236328
2016-11-07,12.109999656677246
2016-11-08,12.760000228881836
2016-11-09,14.279999732971191
2016-11-10,14.279999732971191
2016-11-11,15.260000228881836
2016-11-14,19.450000762939453
2016-11-15,23.290000915527344
2016-11-16,22.200000762939453
2016-11-17,26.34000015258789
2016-11-18,24.989999771118164
2016-11-21,25.75
2016-11-22,26.75
2016-11-23,26.950000762939453
2016-11-25,23.309999465942383
2016-11-28,20.0
2016-11-29,18.389999389648438
2016-11-30,19.610000610351562
2016-12-01,19.059999465942383
2016-12-02,17.959999084472656
2016-12-05,16.989999771118164
2016-12-06,17.799999237060547
2016-12-07,20.75
2016-12-08,18.6200008392334
2016-12-09,18.25
2016-12-12,18.459999084472656
2016-12-13,18.299999237060547
2016-12-14,15.319999694824219
2016-12-15,14.010000228881836
2016-12-16,15.260000228881836
2016-12-19,15.079999923706055
2016-12-20,15.270000457763672
2016-12-21,15.279999732971191
2016-12-22,15.180000305175781
2016-12-23,14.619999885559082
2016-12-27,14.90999984741211
2016-12-28,14.90999984741211
2016-12-29,14.3100004196167
2016-12-30,14.399999618530273
2017-01-03,13.890000343322754
2017-01-04,14.609999656677246
2017-01-05,15.970000267028809
2017-01-06,15.260000228881836
2017-01-09,15.720000267028809
2017-01-10,15.510000228881836
2017-01-11,15.359999656677246
2017-01-12,14.949999809265137
2017-01-13,16.1299991607666
2017-01-17,15.850000381469727
2017-01-18,15.449999809265137
2017-01-19,15.600000381469727
2017-01-20,17.309999465942383
2017-01-23,17.190000534057617
2017-01-24,16.59000015258789
2017-01-25,16.270000457763672
2017-01-26,16.100000381469727
2017-01-27,15.869999885559082
2017-01-30,16.31999969482422
2017-01-31,17.3799991607666
2017-02-01,16.739999771118164
2017-02-02,16.360000610351562
2017-02-03,16.719999313354492
2017-02-06,16.5
2017-02-07,16.06999969482422
2017-02-08,16.329999923706055
2017-02-09,16.200000762939453
2017-02-10,16.700000762939453
2017-02-13,16.489999771118164
2017-02-14,16.079999923706055
2017-02-15,15.6899995803833
2017-02-16,14.9399995803833
2017-02-17,15.09000015258789
2017-02-21,13.420000076293945
2017-02-22,13.779999732971191
2017-02-23,13.680000305175781
2017-02-24,13.3100004196167
2017-02-27,13.239999771118164
2017-02-28,12.600000381469727
2017-03-01,13.729999542236328
2017-03-02,12.779999732971191
2017-03-03,12.420000076293945
2017-03-06,12.520000457763672
2017-03-07,13.130000114440918
2017-03-08,13.260000228881836
2017-03-09,13.109999656677246
2017-03-10,12.579999923706055
2017-03-13,12.630000114440918
2017-03-14,12.489999771118164
2017-03-15,12.819999694824219
2017-03-16,14.020000457763672
2017-03-17,14.489999771118164
2017-03-20,14.420000076293945
2017-03-21,14.039999961853027
2017-03-22,14.020000457763672
2017-03-23,14.100000381469727
2017-03-24,14.5
2017-03-27,14.350000381469727
2017-03-28,14.369999885559082
2017-03-29,14.199999809265137
2017-03-30,15.15999984741211
2017-03-31,15.15999984741211
2017-04-03,14.739999771118164
2017-04-04,14.699999809265137
2017-04-05,14.449999809265137
2017-04-06,14.720000267028809
2017-04-07,14.819999694824219
2017-04-10,14.960000038146973
2017-04-11,15.289999961853027
2017-04-12,15.220000267028809
2017-04-13,15.020000457763672
2017-04-17,14.619999885559082
2017-04-18,14.600000381469727
2017-04-19,14.510000228881836
2017-04-20,14.460000038146973
2017-04-21,14.670000076293945
2017-04-24,14.869999885559082
2017-04-25,15.199999809265137
2017-04-26,15.1899995803833
2017-04-27,14.960000038146973
2017-04-28,14.90999984741211
