,DXJS
2013-06-28,26.600000381469727
2013-07-01,26.799999237060547
2013-07-02,26.969999313354492
2013-07-03,27.030000686645508
2013-07-05,27.579999923706055
2013-07-08,27.479999542236328
2013-07-09,27.5
2013-07-10,27.25
2013-07-11,27.56999969482422
2013-07-12,27.450000762939453
2013-07-15,27.979999542236328
2013-07-16,27.579999923706055
2013-07-17,27.780000686645508
2013-07-18,28.389999389648438
2013-07-19,27.940000534057617
2013-07-22,27.899999618530273
2013-07-23,27.969999313354492
2013-07-24,27.889999389648438
2013-07-25,27.299999237060547
2013-07-26,26.649999618530273
2013-07-29,25.93000030517578
2013-07-30,26.34000015258789
2013-07-31,26.399999618530273
2013-08-01,27.25
2013-08-02,27.270000457763672
2013-08-05,27.469999313354492
2013-08-06,27.299999237060547
2013-08-07,26.65999984741211
2013-08-08,26.65999984741211
2013-08-09,26.6299991607666
2013-08-12,26.6299991607666
2013-08-13,27.329999923706055
2013-08-14,27.040000915527344
2013-08-15,26.459999084472656
2013-08-16,26.850000381469727
2013-08-19,26.799999237060547
2013-08-20,26.579999923706055
2013-08-21,26.170000076293945
2013-08-22,26.81999969482422
2013-08-23,26.959999084472656
2013-08-26,26.899999618530273
2013-08-27,26.0
2013-08-28,26.290000915527344
2013-08-29,26.559999465942383
2013-08-30,25.899999618530273
2013-09-03,26.510000228881836
2013-09-04,26.899999618530273
2013-09-05,26.639999389648438
2013-09-06,26.479999542236328
2013-09-09,27.479999542236328
2013-09-10,27.93000030517578
2013-09-11,27.6200008392334
2013-09-12,27.360000610351562
2013-09-13,27.65999984741211
2013-09-16,27.799999237060547
2013-09-17,27.93000030517578
2013-09-18,28.200000762939453
2013-09-19,28.3700008392334
2013-09-20,28.40999984741211
2013-09-23,28.190000534057617
2013-09-24,28.219999313354492
2013-09-25,28.18000030517578
2013-09-26,28.549999237060547
2013-09-27,28.34000015258789
2013-09-30,28.329999923706055
2013-10-01,27.93000030517578
2013-10-02,27.829999923706055
2013-10-03,27.399999618530273
2013-10-04,27.520000457763672
2013-10-07,26.989999771118164
2013-10-08,26.950000762939453
2013-10-09,27.559999465942383
2013-10-10,28.15999984741211
2013-10-11,28.399999618530273
2013-10-14,28.489999771118164
2013-10-15,28.209999084472656
2013-10-16,28.459999084472656
2013-10-17,28.43000030517578
2013-10-18,28.579999923706055
2013-10-21,28.700000762939453
2013-10-22,28.809999465942383
2013-10-23,28.010000228881836
2013-10-24,28.450000762939453
2013-10-25,28.15999984741211
2013-10-28,28.200000762939453
2013-10-29,28.59000015258789
2013-10-30,28.56999969482422
2013-10-31,28.469999313354492
2013-11-01,28.200000762939453
2013-11-04,28.229999542236328
2013-11-05,28.040000915527344
2013-11-06,28.40999984741211
2013-11-07,27.450000762939453
2013-11-08,28.18000030517578
2013-11-11,28.18000030517578
2013-11-12,28.389999389648438
2013-11-13,28.530000686645508
2013-11-14,29.1200008392334
2013-11-15,29.329999923706055
2013-11-18,29.170000076293945
2013-11-19,29.09000015258789
2013-11-20,29.149999618530273
2013-11-21,29.520000457763672
2013-11-22,29.40999984741211
2013-11-25,29.1299991607666
2013-11-26,29.170000076293945
2013-11-27,29.450000762939453
2013-11-29,29.43000030517578
2013-12-02,29.549999237060547
