,IPO
2013-10-16,20.34000015258789
2013-10-17,20.43000030517578
2013-10-18,20.719999313354492
2013-10-21,20.6299991607666
2013-10-22,20.65999984741211
2013-10-23,20.5
2013-10-24,20.75
2013-10-25,20.68000030517578
2013-10-28,20.450000762939453
2013-10-29,20.3799991607666
2013-10-30,20.34000015258789
2013-10-31,20.299999237060547
2013-11-01,20.15999984741211
2013-11-04,20.3799991607666
2013-11-05,20.479999542236328
2013-11-06,20.440000534057617
2013-11-07,19.8799991607666
2013-11-08,20.100000381469727
2013-11-11,20.149999618530273
2013-11-12,20.15999984741211
2013-11-13,20.420000076293945
2013-11-14,20.600000381469727
2013-11-15,20.790000915527344
2013-11-18,20.34000015258789
2013-11-19,20.190000534057617
2013-11-20,20.139999389648438
2013-11-21,20.389999389648438
2013-11-22,20.610000610351562
2013-11-25,20.450000762939453
2013-11-26,20.670000076293945
2013-11-27,20.790000915527344
2013-11-29,20.799999237060547
2013-12-02,20.65999984741211
2013-12-03,20.489999771118164
2013-12-04,20.600000381469727
2013-12-05,20.690000534057617
2013-12-06,20.670000076293945
2013-12-09,20.790000915527344
2013-12-10,20.979999542236328
2013-12-11,20.610000610351562
2013-12-12,20.81999969482422
2013-12-13,21.030000686645508
2013-12-16,21.18000030517578
2013-12-17,21.219999313354492
2013-12-18,21.5
2013-12-19,21.329999923706055
2013-12-20,21.450000762939453
2013-12-23,21.790000915527344
2013-12-24,21.850000381469727
2013-12-26,21.969999313354492
2013-12-27,21.780000686645508
2013-12-30,21.649999618530273
2013-12-31,21.860000610351562
2014-01-02,21.760000228881836
2014-01-03,21.860000610351562
2014-01-06,21.889999389648438
2014-01-07,22.040000915527344
2014-01-08,21.950000762939453
2014-01-09,21.8799991607666
2014-01-10,22.059999465942383
2014-01-13,21.639999389648438
2014-01-14,21.989999771118164
2014-01-15,22.149999618530273
2014-01-16,22.280000686645508
2014-01-17,22.079999923706055
2014-01-21,22.15999984741211
2014-01-22,22.229999542236328
2014-01-23,22.079999923706055
2014-01-24,21.540000915527344
2014-01-27,21.329999923706055
2014-01-28,21.610000610351562
2014-01-29,21.25
