,FRBK
1988-11-08,4.328123092651367
1988-11-09,4.328123092651367
1988-11-10,4.268834114074707
1988-11-11,4.268834114074707
1988-11-14,4.268834114074707
1988-11-15,4.268834114074707
1988-11-16,4.268834114074707
1988-11-17,4.268834114074707
1988-11-18,4.268834114074707
1988-11-21,4.268834114074707
1988-11-22,4.268834114074707
1988-11-23,4.268834114074707
1988-11-25,4.268834114074707
1988-11-28,4.268834114074707
1988-11-29,4.268834114074707
1988-11-30,4.268834114074707
1988-12-01,4.268834114074707
1988-12-02,4.268834114074707
1988-12-05,4.268834114074707
1988-12-06,4.268834114074707
1988-12-07,4.268834114074707
1988-12-08,4.268834114074707
1988-12-09,4.268834114074707
1988-12-12,4.268834114074707
1988-12-13,4.268834114074707
1988-12-14,4.268834114074707
1988-12-15,4.268834114074707
1988-12-16,4.268834114074707
1988-12-19,4.268834114074707
1988-12-20,4.268834114074707
1988-12-21,4.268834114074707
1988-12-22,4.268834114074707
1988-12-23,4.268834114074707
1988-12-27,4.268834114074707
1988-12-28,4.268834114074707
1988-12-29,4.268834114074707
1988-12-30,4.268834114074707
1989-01-03,4.268834114074707
1989-01-04,4.268834114074707
1989-01-05,4.268834114074707
1989-01-06,4.268834114074707
1989-01-09,4.268834114074707
1989-01-10,4.268834114074707
1989-01-11,4.268834114074707
1989-01-12,4.268834114074707
1989-01-13,4.268834114074707
1989-01-16,4.209545135498047
1989-01-17,4.209545135498047
1989-01-18,4.209545135498047
1989-01-19,4.209545135498047
1989-01-20,4.209545135498047
1989-01-23,4.209545135498047
1989-01-24,4.15025520324707
1989-01-25,4.15025520324707
1989-01-26,4.15025520324707
1989-01-27,4.031676769256592
1989-01-30,4.031676769256592
1989-01-31,4.031676769256592
1989-02-01,4.031676769256592
1989-02-02,4.031676769256592
1989-02-03,4.031676769256592
1989-02-06,4.031676769256592
1989-02-07,4.031676769256592
1989-02-08,4.031676769256592
1989-02-09,4.031676769256592
1989-02-10,4.031676769256592
1989-02-13,4.031676769256592
1989-02-14,4.031676769256592
1989-02-15,4.031676769256592
1989-02-16,4.031676769256592
1989-02-17,4.031676769256592
1989-02-21,4.031676769256592
1989-02-22,4.031676769256592
1989-02-23,4.031676769256592
1989-02-24,4.031676769256592
1989-02-27,4.031676769256592
1989-02-28,4.031676769256592
1989-03-01,4.031676769256592
1989-03-02,4.031676769256592
1989-03-03,4.031676769256592
1989-03-06,4.031676769256592
1989-03-07,4.031676769256592
1989-03-08,4.031676769256592
1989-03-09,4.031676769256592
1989-03-10,4.031676769256592
1989-03-13,4.031676769256592
1989-03-14,4.031676769256592
1989-03-15,4.031676769256592
1989-03-16,4.031676769256592
1989-03-17,4.031676769256592
1989-03-20,4.031676769256592
1989-03-21,4.031676769256592
1989-03-22,4.031676769256592
1989-03-23,4.031676769256592
1989-03-27,4.031676769256592
1989-03-28,4.031676769256592
1989-03-29,3.913098096847534
1989-03-30,3.913098096847534
1989-03-31,3.913098096847534
1989-04-03,3.913098096847534
1989-04-04,3.913098096847534
1989-04-05,3.913098096847534
1989-04-06,3.913098096847534
1989-04-07,3.913098096847534
1989-04-10,3.913098096847534
1989-04-11,3.913098096847534
1989-04-12,3.913098096847534
1989-04-13,3.913098096847534
1989-04-14,3.913098096847534
1989-04-17,3.913098096847534
1989-04-18,3.913098096847534
1989-04-19,3.913098096847534
1989-04-20,3.913098096847534
1989-04-21,3.913098096847534
1989-04-24,3.913098096847534
1989-04-25,3.913098096847534
1989-04-26,3.913098096847534
1989-04-27,3.913098096847534
1989-04-28,3.9723870754241943
1989-05-01,3.9723870754241943
1989-05-02,3.913098096847534
1989-05-03,3.913098096847534
1989-05-04,3.913098096847534
1989-05-05,3.913098096847534
1989-05-08,3.913098096847534
1989-05-09,3.913098096847534
1989-05-10,3.913098096847534
1989-05-11,3.913098096847534
1989-05-12,3.913098096847534
1989-05-15,3.913098096847534
1989-05-16,3.913098096847534
1989-05-17,3.913098096847534
1989-05-18,3.913098096847534
1989-05-19,3.913098096847534
1989-05-22,3.913098096847534
1989-05-23,3.913098096847534
1989-05-24,3.913098096847534
1989-05-25,3.913098096847534
1989-05-26,3.913098096847534
1989-05-30,3.913098096847534
1989-05-31,3.913098096847534
1989-06-01,3.913098096847534
1989-06-02,3.913098096847534
1989-06-05,3.913098096847534
1989-06-06,3.913098096847534
1989-06-07,3.913098096847534
1989-06-08,3.913098096847534
1989-06-09,3.913098096847534
1989-06-12,3.913098096847534
1989-06-13,3.913098096847534
1989-06-14,3.913098096847534
1989-06-15,3.913098096847534
1989-06-16,3.913098096847534
1989-06-19,3.913098096847534
1989-06-20,3.913098096847534
1989-06-21,3.913098096847534
1989-06-22,3.913098096847534
1989-06-23,3.913098096847534
1989-06-26,3.913098096847534
1989-06-27,3.913098096847534
1989-06-28,3.913098096847534
1989-06-29,3.913098096847534
1989-06-30,3.913098096847534
1989-07-03,3.913098096847534
1989-07-05,3.913098096847534
1989-07-06,3.913098096847534
1989-07-07,3.913098096847534
1989-07-10,3.913098096847534
1989-07-11,3.913098096847534
1989-07-12,3.913098096847534
1989-07-13,3.913098096847534
1989-07-14,3.913098096847534
1989-07-17,3.913098096847534
1989-07-18,3.7945189476013184
1989-07-19,3.7945189476013184
1989-07-20,3.7945189476013184
1989-07-21,3.6759400367736816
1989-07-24,3.6759400367736816
1989-07-25,3.6759400367736816
1989-07-26,3.5573620796203613
1989-07-27,3.5573620796203613
1989-07-28,3.5573620796203613
1989-07-31,3.6759400367736816
1989-08-01,3.5573620796203613
1989-08-02,3.5573620796203613
