,COWN
2006-07-13,63.52000045776367
2006-07-14,64.0
2006-07-17,63.20000076293945
2006-07-18,63.20000076293945
2006-07-19,62.040000915527344
2006-07-20,62.7599983215332
2006-07-21,62.20000076293945
2006-07-24,62.400001525878906
2006-07-25,64.0
2006-07-26,62.79999923706055
2006-07-27,62.79999923706055
2006-07-28,61.20000076293945
2006-07-31,61.47999954223633
2006-08-01,61.15999984741211
2006-08-02,60.63999938964844
2006-08-03,62.439998626708984
2006-08-04,62.560001373291016
2006-08-07,61.20000076293945
2006-08-08,57.52000045776367
2006-08-09,57.119998931884766
2006-08-10,54.79999923706055
2006-08-11,57.0
2006-08-14,57.63999938964844
2006-08-15,56.400001525878906
2006-08-16,57.79999923706055
2006-08-17,59.959999084472656
2006-08-18,58.400001525878906
2006-08-21,56.7599983215332
2006-08-22,57.47999954223633
2006-08-23,57.20000076293945
2006-08-24,55.47999954223633
2006-08-25,53.599998474121094
2006-08-28,55.119998931884766
2006-08-29,56.040000915527344
2006-08-30,56.36000061035156
2006-08-31,56.31999969482422
2006-09-01,55.599998474121094
2006-09-05,56.560001373291016
2006-09-06,56.560001373291016
2006-09-07,55.79999923706055
2006-09-08,55.79999923706055
2006-09-11,56.91999816894531
2006-09-12,58.959999084472656
2006-09-13,61.279998779296875
2006-09-14,62.36000061035156
2006-09-15,64.0
2006-09-18,65.68000030517578
2006-09-19,66.91999816894531
2006-09-20,65.76000213623047
2006-09-21,64.12000274658203
2006-09-22,63.279998779296875
2006-09-25,62.31999969482422
2006-09-26,63.880001068115234
2006-09-27,63.599998474121094
2006-09-28,63.79999923706055
2006-09-29,63.2400016784668
2006-10-02,63.79999923706055
2006-10-03,63.040000915527344
2006-10-04,63.20000076293945
2006-10-05,63.47999954223633
2006-10-06,63.040000915527344
2006-10-09,63.119998931884766
2006-10-10,63.20000076293945
2006-10-11,62.0
2006-10-12,63.560001373291016
2006-10-13,64.76000213623047
2006-10-16,65.5999984741211
2006-10-17,62.7599983215332
2006-10-18,62.400001525878906
2006-10-19,61.68000030517578
2006-10-20,61.68000030517578
2006-10-23,60.599998474121094
2006-10-24,59.20000076293945
2006-10-25,58.560001373291016
2006-10-26,58.91999816894531
2006-10-27,58.52000045776367
2006-10-30,57.79999923706055
2006-10-31,57.79999923706055
2006-11-01,59.0
2006-11-02,59.52000045776367
2006-11-03,58.400001525878906
2006-11-06,60.0
2006-11-07,59.79999923706055
2006-11-08,60.560001373291016
2006-11-09,62.119998931884766
2006-11-10,61.63999938964844
2006-11-13,65.19999694824219
2006-11-14,65.04000091552734
2006-11-15,67.76000213623047
2006-11-16,69.0
2006-11-17,66.68000030517578
2006-11-20,64.83999633789062
2006-11-21,65.27999877929688
2006-11-22,65.0
2006-11-24,66.0
2006-11-27,63.7599983215332
2006-11-28,65.36000061035156
2006-11-29,66.16000366210938
2006-11-30,67.72000122070312
2006-12-01,67.23999786376953
2006-12-04,68.95999908447266
2006-12-05,71.19999694824219
2006-12-06,78.68000030517578
2006-12-07,77.5999984741211
2006-12-08,78.91999816894531
2006-12-11,77.76000213623047
2006-12-12,80.76000213623047
2006-12-13,78.5199966430664
2006-12-14,78.4800033569336
2006-12-15,78.27999877929688
2006-12-18,78.0
2006-12-19,78.0
2006-12-20,78.80000305175781
2006-12-21,79.04000091552734
