,CHW
2007-07-26,15.0
2007-07-27,15.0
2007-07-30,14.09000015258789
2007-07-31,14.0600004196167
2007-08-01,14.020000457763672
2007-08-02,14.100000381469727
2007-08-03,14.119999885559082
2007-08-06,13.75
2007-08-07,13.649999618530273
2007-08-08,13.989999771118164
2007-08-09,13.899999618530273
2007-08-10,13.869999885559082
2007-08-13,13.699999809265137
2007-08-14,12.899999618530273
2007-08-15,12.050000190734863
2007-08-16,12.399999618530273
2007-08-17,13.350000381469727
2007-08-20,13.149999618530273
2007-08-21,13.569999694824219
2007-08-22,13.399999618530273
2007-08-23,13.699999809265137
2007-08-24,13.65999984741211
2007-08-27,14.050000190734863
2007-08-28,13.600000381469727
2007-08-29,13.720000267028809
2007-08-30,13.75
2007-08-31,13.720000267028809
2007-09-04,13.989999771118164
2007-09-05,14.050000190734863
2007-09-06,14.039999961853027
2007-09-07,13.970000267028809
2007-09-10,13.600000381469727
2007-09-11,13.460000038146973
2007-09-12,13.180000305175781
2007-09-13,13.289999961853027
2007-09-14,13.34000015258789
2007-09-17,13.0600004196167
2007-09-18,13.399999618530273
2007-09-19,13.529999732971191
2007-09-20,13.579999923706055
2007-09-21,13.770000457763672
2007-09-24,13.5
2007-09-25,13.5
2007-09-26,13.229999542236328
2007-09-27,13.350000381469727
2007-09-28,13.1899995803833
2007-10-01,13.3100004196167
2007-10-02,13.460000038146973
2007-10-03,13.59000015258789
2007-10-04,13.630000114440918
2007-10-05,13.619999885559082
2007-10-08,13.760000228881836
2007-10-09,13.539999961853027
2007-10-10,13.550000190734863
2007-10-11,13.380000114440918
2007-10-12,13.380000114440918
2007-10-15,13.369999885559082
2007-10-16,13.289999961853027
2007-10-17,13.260000228881836
2007-10-18,13.220000267028809
2007-10-19,13.289999961853027
2007-10-22,13.3100004196167
2007-10-23,13.289999961853027
2007-10-24,13.25
2007-10-25,12.989999771118164
2007-10-26,13.069999694824219
2007-10-29,13.149999618530273
2007-10-30,13.069999694824219
2007-10-31,13.09000015258789
2007-11-01,13.0
2007-11-02,12.970000267028809
2007-11-05,12.949999809265137
2007-11-06,12.989999771118164
2007-11-07,12.3100004196167
2007-11-08,12.40999984741211
2007-11-09,12.390000343322754
2007-11-12,12.34000015258789
2007-11-13,12.600000381469727
2007-11-14,12.390000343322754
2007-11-15,12.270000457763672
2007-11-16,12.260000228881836
2007-11-19,12.050000190734863
2007-11-20,11.930000305175781
2007-11-21,12.09000015258789
2007-11-23,12.300000190734863
2007-11-26,12.09000015258789
2007-11-27,11.859999656677246
2007-11-28,12.149999618530273
2007-11-29,12.489999771118164
2007-11-30,12.770000457763672
2007-12-03,12.609999656677246
2007-12-04,12.420000076293945
2007-12-05,12.600000381469727
2007-12-06,12.65999984741211
2007-12-07,12.710000038146973
2007-12-10,12.890000343322754
2007-12-11,12.5
2007-12-12,12.630000114440918
2007-12-13,12.630000114440918
2007-12-14,12.579999923706055
2007-12-17,12.600000381469727
2007-12-18,12.430000305175781
2007-12-19,12.199999809265137
2007-12-20,12.010000228881836
2007-12-21,12.319999694824219
2007-12-24,12.729999542236328
2007-12-26,12.75
2007-12-27,12.550000190734863
2007-12-28,12.65999984741211
2007-12-31,12.680000305175781
2008-01-02,12.819999694824219
2008-01-03,13.069999694824219
2008-01-04,12.760000228881836
2008-01-07,12.529999732971191
2008-01-08,12.729999542236328
2008-01-09,12.779999732971191
2008-01-10,13.020000457763672
2008-01-11,12.930000305175781
2008-01-14,13.020000457763672
2008-01-15,13.0
2008-01-16,12.890000343322754
2008-01-17,12.449999809265137
2008-01-18,12.010000228881836
2008-01-22,11.630000114440918
2008-01-23,11.899999618530273
2008-01-24,12.09000015258789
2008-01-25,12.050000190734863
2008-01-28,12.100000381469727
2008-01-29,12.420000076293945
2008-01-30,12.470000267028809
2008-01-31,12.609999656677246
2008-02-01,12.890000343322754
2008-02-04,12.800000190734863
2008-02-05,12.600000381469727
2008-02-06,12.359999656677246
2008-02-07,12.029999732971191
2008-02-08,12.149999618530273
2008-02-11,12.109999656677246
2008-02-12,12.260000228881836
2008-02-13,11.970000267028809
2008-02-14,11.510000228881836
2008-02-15,11.479999542236328
2008-02-19,11.630000114440918
2008-02-20,11.640000343322754
2008-02-21,11.609999656677246
2008-02-22,11.670000076293945
2008-02-25,11.739999771118164
2008-02-26,11.869999885559082
2008-02-27,12.079999923706055
2008-02-28,12.180000305175781
2008-02-29,11.800000190734863
2008-03-03,11.6899995803833
2008-03-04,11.520000457763672
2008-03-05,11.460000038146973
2008-03-06,11.300000190734863
2008-03-07,11.300000190734863
2008-03-10,10.899999618530273
2008-03-11,11.220000267028809
2008-03-12,10.899999618530273
2008-03-13,10.899999618530273
2008-03-14,10.680000305175781
2008-03-17,10.289999961853027
2008-03-18,10.59000015258789
2008-03-19,10.729999542236328
2008-03-20,10.84000015258789
2008-03-24,11.270000457763672
2008-03-25,11.279999732971191
2008-03-26,11.279999732971191
2008-03-27,11.25
2008-03-28,11.109999656677246
2008-03-31,11.199999809265137
2008-04-01,11.569999694824219
2008-04-02,11.569999694824219
2008-04-03,11.65999984741211
2008-04-04,11.6899995803833
2008-04-07,11.789999961853027
2008-04-08,11.899999618530273
2008-04-09,11.460000038146973
2008-04-10,11.470000267028809
2008-04-11,11.25
2008-04-14,11.199999809265137
2008-04-15,11.149999618530273
2008-04-16,11.569999694824219
2008-04-17,11.729999542236328
2008-04-18,11.770000457763672
2008-04-21,11.829999923706055
2008-04-22,11.699999809265137
2008-04-23,11.609999656677246
2008-04-24,11.84000015258789
2008-04-25,11.8100004196167
2008-04-28,11.899999618530273
2008-04-29,11.739999771118164
2008-04-30,11.920000076293945
2008-05-01,12.039999961853027
2008-05-02,12.380000114440918
2008-05-05,12.3100004196167
2008-05-06,12.319999694824219
2008-05-07,12.260000228881836
2008-05-08,12.220000267028809
2008-05-09,12.279999732971191
2008-05-12,12.359999656677246
2008-05-13,12.3100004196167
2008-05-14,12.34000015258789
2008-05-15,12.460000038146973
2008-05-16,12.5
2008-05-19,12.579999923706055
2008-05-20,12.479999542236328
2008-05-21,12.300000190734863
2008-05-22,12.329999923706055
2008-05-23,12.380000114440918
2008-05-27,12.319999694824219
2008-05-28,12.420000076293945
2008-05-29,12.59000015258789
2008-05-30,12.619999885559082
2008-06-02,12.680000305175781
2008-06-03,12.699999809265137
2008-06-04,12.529999732971191
2008-06-05,12.670000076293945
2008-06-06,12.600000381469727
2008-06-09,12.3100004196167
2008-06-10,12.119999885559082
2008-06-11,11.8100004196167
2008-06-12,11.920000076293945
2008-06-13,12.130000114440918
2008-06-16,12.050000190734863
2008-06-17,12.039999961853027
2008-06-18,12.100000381469727
2008-06-19,12.199999809265137
2008-06-20,12.210000038146973
2008-06-23,11.800000190734863
2008-06-24,11.65999984741211
2008-06-25,11.770000457763672
2008-06-26,11.479999542236328
2008-06-27,11.1899995803833
2008-06-30,10.970000267028809
2008-07-01,11.039999961853027
2008-07-02,10.9399995803833
2008-07-03,10.9399995803833
2008-07-07,10.789999961853027
2008-07-08,10.970000267028809
2008-07-09,10.6899995803833
2008-07-10,10.75
2008-07-11,10.630000114440918
2008-07-14,10.289999961853027
2008-07-15,9.970000267028809
2008-07-16,10.3100004196167
2008-07-17,10.770000457763672
2008-07-18,10.84000015258789
2008-07-21,10.899999618530273
2008-07-22,10.920000076293945
2008-07-23,11.079999923706055
2008-07-24,10.880000114440918
2008-07-25,10.960000038146973
2008-07-28,10.8100004196167
2008-07-29,10.859999656677246
2008-07-30,11.029999732971191
2008-07-31,11.039999961853027
2008-08-01,11.140000343322754
2008-08-04,10.979999542236328
2008-08-05,11.069999694824219
2008-08-06,11.1899995803833
2008-08-07,10.890000343322754
2008-08-08,10.920000076293945
2008-08-11,10.800000190734863
2008-08-12,10.680000305175781
2008-08-13,10.619999885559082
2008-08-14,10.579999923706055
2008-08-15,10.640000343322754
2008-08-18,10.569999694824219
2008-08-19,10.489999771118164
2008-08-20,10.489999771118164
2008-08-21,10.520000457763672
2008-08-22,10.640000343322754
2008-08-25,10.569999694824219
2008-08-26,10.520000457763672
2008-08-27,10.539999961853027
2008-08-28,10.600000381469727
2008-08-29,10.630000114440918
2008-09-02,10.609999656677246
2008-09-03,10.680000305175781
2008-09-04,10.399999618530273
2008-09-05,10.15999984741211
2008-09-08,10.109999656677246
2008-09-09,9.850000381469727
2008-09-10,9.609999656677246
2008-09-11,9.5
2008-09-12,9.5
2008-09-15,8.510000228881836
2008-09-16,8.15999984741211
2008-09-17,7.550000190734863
2008-09-18,7.960000038146973
2008-09-19,8.899999618530273
2008-09-22,8.65999984741211
2008-09-23,8.529999732971191
2008-09-24,8.520000457763672
2008-09-25,8.6899995803833
2008-09-26,8.619999885559082
2008-09-29,7.329999923706055
2008-09-30,7.900000095367432
2008-10-01,8.100000381469727
2008-10-02,7.71999979019165
2008-10-03,7.610000133514404
2008-10-06,6.900000095367432
2008-10-07,6.039999961853027
2008-10-08,5.699999809265137
2008-10-09,4.980000019073486
2008-10-10,4.550000190734863
2008-10-13,5.699999809265137
2008-10-14,6.389999866485596
2008-10-15,6.079999923706055
2008-10-16,6.03000020980835
2008-10-17,6.210000038146973
2008-10-20,6.449999809265137
2008-10-21,6.5
2008-10-22,6.110000133514404
2008-10-23,6.199999809265137
2008-10-24,5.809999942779541
2008-10-27,5.400000095367432
2008-10-28,5.630000114440918
2008-10-29,5.789999961853027
2008-10-30,6.019999980926514
2008-10-31,6.349999904632568
2008-11-03,6.420000076293945
2008-11-04,6.5
2008-11-05,6.440000057220459
2008-11-06,6.070000171661377
2008-11-07,6.199999809265137
2008-11-10,5.989999771118164
2008-11-11,5.769999980926514
2008-11-12,5.800000190734863
2008-11-13,5.679999828338623
2008-11-14,5.630000114440918
2008-11-17,5.079999923706055
2008-11-18,5.039999961853027
2008-11-19,5.0
2008-11-20,4.230000019073486
2008-11-21,4.389999866485596
2008-11-24,4.679999828338623
2008-11-25,4.789999961853027
2008-11-26,4.96999979019165
2008-11-28,5.159999847412109
2008-12-01,4.559999942779541
2008-12-02,4.489999771118164
2008-12-03,4.679999828338623
2008-12-04,4.579999923706055
2008-12-05,4.739999771118164
2008-12-08,4.980000019073486
2008-12-09,4.940000057220459
2008-12-10,4.989999771118164
2008-12-11,4.880000114440918
2008-12-12,4.860000133514404
2008-12-15,4.900000095367432
2008-12-16,5.21999979019165
2008-12-17,5.300000190734863
2008-12-18,5.449999809265137
2008-12-19,5.349999904632568
2008-12-22,5.340000152587891
2008-12-23,5.239999771118164
2008-12-24,5.369999885559082
2008-12-26,5.510000228881836
2008-12-29,5.440000057220459
2008-12-30,5.590000152587891
2008-12-31,5.78000020980835
2009-01-02,6.099999904632568
2009-01-05,6.170000076293945
2009-01-06,6.260000228881836
2009-01-07,6.25
2009-01-08,6.349999904632568
2009-01-09,6.349999904632568
2009-01-12,6.260000228881836
2009-01-13,6.269999980926514
2009-01-14,5.989999771118164
2009-01-15,5.940000057220459
2009-01-16,6.110000133514404
2009-01-20,5.869999885559082
2009-01-21,5.880000114440918
2009-01-22,5.769999980926514
2009-01-23,5.78000020980835
2009-01-26,5.860000133514404
2009-01-27,6.010000228881836
2009-01-28,6.309999942779541
2009-01-29,6.150000095367432
2009-01-30,6.110000133514404
2009-02-02,6.050000190734863
2009-02-03,6.150000095367432
2009-02-04,6.260000228881836
2009-02-05,6.369999885559082
2009-02-06,6.440000057220459
2009-02-09,6.559999942779541
2009-02-10,6.46999979019165
2009-02-11,6.46999979019165
2009-02-12,6.420000076293945
2009-02-13,6.320000171661377
2009-02-17,6.059999942779541
2009-02-18,5.849999904632568
2009-02-19,5.579999923706055
