,CHSCN
2014-03-06,25.5
2014-03-07,25.6200008392334
2014-03-10,25.510000228881836
2014-03-11,25.690000534057617
2014-03-12,25.690000534057617
2014-03-13,26.100000381469727
2014-03-14,26.079999923706055
2014-03-17,26.229999542236328
2014-03-18,26.239999771118164
2014-03-19,26.25
2014-03-20,26.209999084472656
2014-03-21,26.049999237060547
2014-03-24,26.100000381469727
2014-03-25,26.170000076293945
2014-03-26,26.25
2014-03-27,26.229999542236328
2014-03-28,26.270000457763672
2014-03-31,26.770000457763672
2014-04-01,26.84000015258789
2014-04-02,26.700000762939453
2014-04-03,26.780000686645508
2014-04-04,26.84000015258789
2014-04-07,27.06999969482422
2014-04-08,27.299999237060547
2014-04-09,27.770999908447266
2014-04-10,27.670000076293945
2014-04-11,27.729999542236328
2014-04-14,27.790000915527344
2014-04-15,27.739999771118164
2014-04-16,27.610000610351562
2014-04-17,27.600000381469727
2014-04-21,27.440000534057617
2014-04-22,27.450000762939453
2014-04-23,27.399999618530273
2014-04-24,27.3799991607666
2014-04-25,27.5
2014-04-28,27.610000610351562
2014-04-29,27.469999313354492
2014-04-30,27.5
2014-05-01,27.600000381469727
2014-05-02,27.5
2014-05-05,27.479999542236328
2014-05-06,27.43000030517578
2014-05-07,27.40999984741211
2014-05-08,27.350000381469727
2014-05-09,27.229999542236328
2014-05-12,27.229999542236328
2014-05-13,27.200000762939453
2014-05-14,27.309999465942383
2014-05-15,27.200000762939453
2014-05-16,27.209999084472656
2014-05-19,27.239999771118164
2014-05-20,27.299999237060547
2014-05-21,27.299999237060547
2014-05-22,27.31999969482422
2014-05-23,27.540000915527344
2014-05-27,27.540000915527344
2014-05-28,27.360000610351562
2014-05-29,27.31800079345703
2014-05-30,27.299999237060547
2014-06-02,27.43000030517578
2014-06-03,27.190000534057617
2014-06-04,27.299999237060547
2014-06-05,27.219999313354492
2014-06-06,27.43000030517578
2014-06-09,27.299999237060547
2014-06-10,27.290000915527344
2014-06-11,27.25
2014-06-12,26.889999389648438
2014-06-13,26.979999542236328
2014-06-16,26.809999465942383
2014-06-17,26.959999084472656
2014-06-18,27.399999618530273
2014-06-19,27.290000915527344
2014-06-20,27.270000457763672
2014-06-23,27.299999237060547
2014-06-24,27.299999237060547
2014-06-25,27.260000228881836
2014-06-26,27.309999465942383
2014-06-27,27.260000228881836
2014-06-30,27.15999984741211
2014-07-01,27.34000015258789
2014-07-02,27.18000030517578
2014-07-03,27.110000610351562
2014-07-07,27.020000457763672
2014-07-08,27.1200008392334
2014-07-09,27.299999237060547
2014-07-10,27.25
2014-07-11,27.399999618530273
2014-07-14,27.440000534057617
2014-07-15,27.450000762939453
2014-07-16,27.389999389648438
2014-07-17,27.059999465942383
2014-07-18,27.420000076293945
2014-07-21,27.68000030517578
2014-07-22,27.530000686645508
2014-07-23,27.56999969482422
2014-07-24,27.6200008392334
2014-07-25,27.549999237060547
2014-07-28,27.3700008392334
2014-07-29,27.649999618530273
2014-07-30,27.6200008392334
2014-07-31,27.040000915527344
2014-08-01,27.139999389648438
2014-08-04,27.100000381469727
2014-08-05,27.149999618530273
2014-08-06,27.1200008392334
2014-08-07,27.360000610351562
2014-08-08,27.31999969482422
2014-08-11,27.290000915527344
2014-08-12,27.450000762939453
2014-08-13,27.700000762939453
2014-08-14,27.84000015258789
2014-08-15,27.989999771118164
2014-08-18,28.1200008392334
2014-08-19,28.15999984741211
2014-08-20,28.09000015258789
2014-08-21,28.110000610351562
2014-08-22,28.209999084472656
2014-08-25,28.09000015258789
2014-08-26,28.299999237060547
2014-08-27,28.209999084472656
2014-08-28,28.09000015258789
2014-08-29,27.799999237060547
2014-09-02,27.700000762939453
2014-09-03,27.780000686645508
2014-09-04,27.31999969482422
2014-09-05,27.229999542236328
2014-09-08,26.8799991607666
2014-09-09,26.639999389648438
2014-09-10,26.639999389648438
2014-09-11,26.780000686645508
2014-09-12,26.31999969482422
2014-09-15,26.399999618530273
2014-09-16,26.399999618530273
2014-09-17,26.489999771118164
2014-09-18,26.690000534057617
2014-09-19,26.709999084472656
2014-09-22,26.65999984741211
2014-09-23,26.5
2014-09-24,26.459999084472656
2014-09-25,26.3799991607666
2014-09-26,26.420000076293945
2014-09-29,26.440000534057617
2014-09-30,26.600000381469727
2014-10-01,26.6200008392334
2014-10-02,26.649999618530273
2014-10-03,26.719999313354492
2014-10-06,26.93000030517578
2014-10-07,26.90999984741211
2014-10-08,26.950000762939453
2014-10-09,26.864999771118164
2014-10-10,26.850000381469727
2014-10-13,26.709999084472656
