,CFIV
2021-02-16,10.430000305175781
2021-02-17,10.4399995803833
2021-02-18,10.5
2021-02-19,10.430000305175781
2021-02-22,10.380000114440918
2021-02-23,10.380000114440918
2021-02-24,10.289999961853027
2021-02-25,10.220000267028809
2021-02-26,10.119999885559082
2021-03-01,10.149999618530273
2021-03-02,10.0
2021-03-03,9.970000267028809
2021-03-04,9.90999984741211
2021-03-05,9.90999984741211
2021-03-08,9.972000122070312
2021-03-09,9.869999885559082
2021-03-10,9.890000343322754
2021-03-11,9.899999618530273
2021-03-12,9.949999809265137
2021-03-15,9.970000267028809
2021-03-16,9.920000076293945
2021-03-17,9.859999656677246
2021-03-18,9.84000015258789
2021-03-19,9.850000381469727
2021-03-22,9.819999694824219
2021-03-23,9.729999542236328
2021-03-24,9.6899995803833
2021-03-25,9.680000305175781
2021-03-26,9.699999809265137
2021-03-29,9.789999961853027
2021-03-30,9.760000228881836
2021-03-31,9.78499984741211
2021-04-01,9.779999732971191
2021-04-05,9.729999542236328
2021-04-06,9.800000190734863
2021-04-07,9.789999961853027
2021-04-08,9.819999694824219
2021-04-09,9.850000381469727
2021-04-12,9.899999618530273
2021-04-13,9.899999618530273
2021-04-14,9.920000076293945
2021-04-15,9.84000015258789
2021-04-16,9.850000381469727
2021-04-19,9.84000015258789
2021-04-20,9.779999732971191
2021-04-21,9.800000190734863
2021-04-22,9.819999694824219
2021-04-23,9.8100004196167
2021-04-26,9.819999694824219
2021-04-27,9.75
2021-04-28,9.829999923706055
2021-04-29,9.850000381469727
2021-04-30,9.850000381469727
2021-05-03,9.800000190734863
2021-05-04,9.819999694824219
2021-05-05,9.819999694824219
2021-05-06,9.84000015258789
2021-05-07,9.829999923706055
2021-05-10,9.829999923706055
2021-05-11,9.75
2021-05-12,9.729999542236328
2021-05-13,9.729999542236328
2021-05-14,9.699999809265137
