,AKTX
2014-01-06,80.0
2014-01-07,95.0
2014-01-08,95.0
2014-01-09,95.0
2014-01-10,98.5
2014-01-13,98.0
2014-01-14,109.0
2014-01-15,110.0
2014-01-16,110.0
2014-01-17,110.0
2014-01-21,110.0
2014-01-22,110.0
2014-01-23,105.5
2014-01-24,105.0
2014-01-27,105.0
2014-01-28,105.0
2014-01-29,105.0
2014-01-30,102.0
2014-01-31,89.0
2014-02-03,81.5
2014-02-04,78.5
2014-02-05,75.0
2014-02-06,72.80000305175781
2014-02-07,78.5999984741211
2014-02-10,78.80000305175781
2014-02-11,78.0999984741211
2014-02-12,78.0
2014-02-13,75.0
2014-02-14,77.4000015258789
2014-02-18,75.5
2014-02-19,73.0
2014-02-20,70.5
2014-02-21,71.0
2014-02-24,70.5
2014-02-25,68.5
2014-02-26,68.69999694824219
2014-02-27,65.0
2014-02-28,64.5
2014-03-03,62.5
2014-03-04,61.5
2014-03-05,61.900001525878906
2014-03-06,66.0
2014-03-07,64.9000015258789
2014-03-10,69.0999984741211
2014-03-11,68.0
2014-03-12,71.0
2014-03-13,68.5
2014-03-14,67.5
2014-03-17,67.4000015258789
2014-03-18,68.5
2014-03-19,68.5
2014-03-20,69.0
2014-03-21,67.5
2014-03-24,70.0
2014-03-25,69.5
2014-03-26,66.5
2014-03-27,66.0
2014-03-28,66.0
2014-03-31,64.9000015258789
2014-04-01,61.5
2014-04-02,62.70000076293945
2014-04-03,61.52000045776367
2014-04-04,61.900001525878906
2014-04-07,57.0
2014-04-08,55.0
2014-04-09,55.0
2014-04-10,52.5
2014-04-11,54.0
2014-04-14,52.099998474121094
2014-04-15,51.099998474121094
2014-04-16,57.43000030517578
2014-04-17,57.43000030517578
2014-04-21,56.0
2014-04-22,56.79999923706055
2014-04-23,58.56999969482422
2014-04-24,61.599998474121094
2014-04-25,62.0
2014-04-28,61.0
2014-04-29,61.0
2014-04-30,61.0
2014-05-01,61.0
2014-05-02,59.900001525878906
2014-05-05,59.900001525878906
2014-05-06,59.900001525878906
2014-05-07,59.900001525878906
2014-05-08,55.5
2014-05-09,55.0
2014-05-12,54.0
2014-05-13,53.29999923706055
2014-05-14,53.599998474121094
2014-05-15,51.79999923706055
2014-05-16,51.5
2014-05-19,52.099998474121094
2014-05-20,52.0
2014-05-21,52.5
2014-05-22,52.400001525878906
2014-05-23,53.900001525878906
2014-05-27,51.52000045776367
2014-05-28,53.70000076293945
2014-05-29,53.70000076293945
2014-05-30,51.0
2014-06-02,50.099998474121094
2014-06-03,50.0
2014-06-04,50.20000076293945
2014-06-05,51.0
2014-06-06,52.900001525878906
2014-06-09,53.47999954223633
2014-06-10,59.900001525878906
2014-06-11,60.79999923706055
2014-06-12,59.900001525878906
2014-06-13,60.5
2014-06-16,60.0
2014-06-17,61.400001525878906
2014-06-18,69.5999984741211
2014-06-19,68.0
2014-06-20,68.0
2014-06-23,66.9000015258789
2014-06-24,64.5999984741211
2014-06-25,62.5
2014-06-26,62.0
2014-06-27,60.0
2014-06-30,62.0
2014-07-01,60.70000076293945
2014-07-02,62.70000076293945
2014-07-03,62.599998474121094
2014-07-07,61.5
2014-07-08,61.689998626708984
2014-07-09,62.29999923706055
2014-07-10,61.099998474121094
2014-07-11,62.5
2014-07-14,58.79999923706055
2014-07-15,62.5
2014-07-16,59.0099983215332
2014-07-17,59.0
2014-07-18,59.900001525878906
2014-07-21,56.0
2014-07-22,60.0
2014-07-23,60.0
2014-07-24,56.5
2014-07-25,56.52000045776367
2014-07-28,58.47999954223633
2014-07-29,56.54999923706055
2014-07-30,56.54999923706055
2014-07-31,56.599998474121094
2014-08-01,56.7599983215332
2014-08-04,59.70000076293945
2014-08-05,59.5
2014-08-06,59.0
2014-08-07,57.43000030517578
2014-08-08,57.0
2014-08-11,57.0
2014-08-12,57.79999923706055
2014-08-13,58.0
2014-08-14,56.5
2014-08-15,56.0
2014-08-18,56.0
2014-08-19,56.0
2014-08-20,54.0
2014-08-21,56.0
2014-08-22,56.0
2014-08-25,56.529998779296875
2014-08-26,56.0
2014-08-27,56.5
2014-08-28,55.5099983215332
2014-08-29,59.0
2014-09-02,59.0
2014-09-03,59.5
2014-09-04,58.0
2014-09-05,56.5
2014-09-08,60.0
2014-09-09,59.900001525878906
2014-09-10,57.900001525878906
2014-09-11,60.0
2014-09-12,60.0
2014-09-15,55.0
2014-09-16,55.0
2014-09-17,55.5
2014-09-18,58.79999923706055
2014-09-19,58.400001525878906
2014-09-22,55.349998474121094
2014-09-23,55.349998474121094
2014-09-24,58.5
2014-09-25,56.599998474121094
2014-09-26,56.70000076293945
2014-09-29,56.70000076293945
2014-09-30,61.0
2014-10-01,60.5
2014-10-02,58.099998474121094
2014-10-03,59.20000076293945
2014-10-06,58.0
2014-10-07,56.599998474121094
2014-10-08,56.0
2014-10-09,54.900001525878906
2014-10-10,54.400001525878906
2014-10-13,55.0
2014-10-14,60.0
2014-10-15,60.0
2014-10-16,60.0
2014-10-17,56.0
2014-10-20,55.20000076293945
2014-10-21,54.0
2014-10-22,53.0
2014-10-23,58.5
2014-10-24,56.0
2014-10-27,56.099998474121094
2014-10-28,58.5
2014-10-29,58.5
2014-10-30,58.79999923706055
2014-10-31,59.20000076293945
2014-11-03,60.5
2014-11-04,60.5
2014-11-05,60.0
2014-11-06,56.40999984741211
2014-11-07,56.0
2014-11-10,56.0
2014-11-11,56.0099983215332
2014-11-12,59.040000915527344
2014-11-13,60.0
2014-11-14,56.150001525878906
2014-11-17,55.29999923706055
2014-11-18,53.5
2014-11-19,53.599998474121094
2014-11-20,53.20000076293945
2014-11-21,51.5
2014-11-24,52.599998474121094
2014-11-25,51.599998474121094
2014-11-26,51.400001525878906
2014-11-28,53.20000076293945
2014-12-01,53.20000076293945
2014-12-02,51.599998474121094
2014-12-03,51.599998474121094
2014-12-04,56.5
2014-12-05,53.70000076293945
2014-12-08,54.599998474121094
2014-12-09,52.900001525878906
2014-12-10,53.0
2014-12-11,52.400001525878906
2014-12-12,52.400001525878906
2014-12-15,49.900001525878906
2014-12-16,49.0
2014-12-17,49.0
2014-12-18,49.0
2014-12-19,49.0
2014-12-22,49.0
2014-12-23,49.0
2014-12-24,47.040000915527344
2014-12-26,50.599998474121094
2014-12-29,50.599998474121094
2014-12-30,48.5
2014-12-31,48.0
2015-01-02,48.0
2015-01-05,42.5
2015-01-06,53.0
2015-01-07,51.91999816894531
2015-01-08,51.20000076293945
2015-01-09,50.5
2015-01-12,53.900001525878906
2015-01-13,59.5
2015-01-14,58.29999923706055
2015-01-15,56.400001525878906
2015-01-16,56.29999923706055
2015-01-20,56.0
2015-01-21,57.0
2015-01-22,59.0
2015-01-23,56.29999923706055
2015-01-26,58.619998931884766
2015-01-27,57.400001525878906
2015-01-28,59.79999923706055
2015-01-29,58.0
2015-01-30,58.0
2015-02-02,60.0
2015-02-03,58.41999816894531
2015-02-04,58.5
2015-02-05,59.20000076293945
2015-02-06,58.099998474121094
2015-02-09,60.0
2015-02-10,60.79999923706055
2015-02-11,60.79999923706055
2015-02-12,61.70000076293945
2015-02-13,61.70000076293945
2015-02-17,11.5
2015-02-18,11.5
2015-02-19,11.289999961853027
2015-02-20,10.899999618530273
2015-02-23,10.5
2015-02-24,9.050000190734863
2015-02-25,8.329999923706055
2015-02-26,9.359999656677246
2015-02-27,9.0
2015-03-02,9.300000190734863
2015-03-03,8.699999809265137
2015-03-04,8.710000038146973
2015-03-05,9.3100004196167
2015-03-06,9.100000381469727
2015-03-09,9.050000190734863
2015-03-10,8.899999618530273
2015-03-11,9.199999809265137
2015-03-12,9.199999809265137
2015-03-13,8.699999809265137
2015-03-16,9.0
2015-03-17,8.899999618530273
2015-03-18,8.600000381469727
2015-03-19,8.329999923706055
2015-03-20,8.5
2015-03-23,8.699999809265137
2015-03-24,8.600000381469727
2015-03-25,8.300000190734863
2015-03-26,8.199999809265137
2015-03-27,7.769999980926514
2015-03-30,7.800000190734863
2015-03-31,7.599999904632568
2015-04-01,7.179999828338623
