,CHEF
2011-07-28,17.5
2011-07-29,17.75
2011-08-01,18.0
2011-08-02,18.010000228881836
2011-08-03,18.5
2011-08-04,17.530000686645508
2011-08-05,17.520000457763672
2011-08-08,16.5
2011-08-09,16.59000015258789
2011-08-10,16.68000030517578
2011-08-11,16.440000534057617
2011-08-12,16.530000686645508
2011-08-15,16.56999969482422
2011-08-16,16.540000915527344
2011-08-17,16.450000762939453
2011-08-18,16.18000030517578
2011-08-19,15.239999771118164
2011-08-22,14.489999771118164
2011-08-23,14.800000190734863
2011-08-24,15.15999984741211
2011-08-25,14.949999809265137
2011-08-26,13.970000267028809
2011-08-29,13.90999984741211
2011-08-30,14.09000015258789
2011-08-31,14.5
2011-09-01,14.079999923706055
2011-09-02,13.5600004196167
2011-09-06,12.979999542236328
2011-09-07,13.710000038146973
2011-09-08,13.8100004196167
2011-09-09,13.859999656677246
2011-09-12,13.930000305175781
2011-09-13,14.109999656677246
2011-09-14,14.0600004196167
2011-09-15,15.199999809265137
2011-09-16,15.369999885559082
2011-09-19,15.140000343322754
2011-09-20,14.84000015258789
2011-09-21,14.34000015258789
2011-09-22,14.0600004196167
2011-09-23,14.0
2011-09-26,13.449999809265137
2011-09-27,13.510000228881836
2011-09-28,12.819999694824219
2011-09-29,12.579999923706055
2011-09-30,11.760000228881836
2011-10-03,11.699999809265137
2011-10-04,12.779999732971191
2011-10-05,12.800000190734863
2011-10-06,12.84000015258789
2011-10-07,12.960000038146973
2011-10-10,13.170000076293945
2011-10-11,13.539999961853027
2011-10-12,13.390000343322754
2011-10-13,13.25
2011-10-14,13.029999732971191
2011-10-17,12.65999984741211
2011-10-18,13.3100004196167
2011-10-19,13.170000076293945
2011-10-20,13.069999694824219
2011-10-21,13.720000267028809
2011-10-24,13.84000015258789
2011-10-25,13.180000305175781
2011-10-26,13.319999694824219
2011-10-27,13.930000305175781
2011-10-28,14.819999694824219
2011-10-31,14.289999961853027
2011-11-01,14.140000343322754
2011-11-02,14.300000190734863
2011-11-03,14.729999542236328
2011-11-04,14.25
2011-11-07,14.079999923706055
2011-11-08,14.199999809265137
2011-11-09,13.479999542236328
2011-11-10,13.600000381469727
2011-11-11,13.59000015258789
2011-11-14,13.399999618530273
2011-11-15,13.829999923706055
2011-11-16,13.90999984741211
2011-11-17,13.869999885559082
2011-11-18,14.1899995803833
2011-11-21,14.0
2011-11-22,13.850000381469727
2011-11-23,13.8100004196167
2011-11-25,13.109999656677246
2011-11-28,13.59000015258789
2011-11-29,13.09000015258789
2011-11-30,13.380000114440918
2011-12-01,13.789999961853027
2011-12-02,14.470000267028809
2011-12-05,14.9399995803833
2011-12-06,15.84000015258789
2011-12-07,15.40999984741211
2011-12-08,15.34000015258789
2011-12-09,16.450000762939453
2011-12-12,15.6899995803833
2011-12-13,15.350000381469727
2011-12-14,15.25
2011-12-15,15.470000267028809
2011-12-16,15.630000114440918
2011-12-19,14.989999771118164
2011-12-20,15.5
2011-12-21,16.290000915527344
2011-12-22,16.260000228881836
2011-12-23,16.610000610351562
2011-12-27,16.93000030517578
2011-12-28,16.510000228881836
2011-12-29,17.1200008392334
2011-12-30,17.860000610351562
2012-01-03,17.81999969482422
2012-01-04,17.399999618530273
2012-01-05,17.520000457763672
2012-01-06,17.479999542236328
2012-01-09,17.510000228881836
2012-01-10,17.25
2012-01-11,16.799999237060547
2012-01-12,17.15999984741211
