,ELM
2010-02-22,2.0999999046325684
2010-02-23,2.0899999141693115
2010-02-24,2.049999952316284
2010-02-25,2.1500000953674316
2010-02-26,2.0899999141693115
2010-03-01,2.0999999046325684
2010-03-02,2.140000104904175
2010-03-03,2.0999999046325684
2010-03-04,2.240000009536743
2010-03-05,
2010-03-08,2.25
2010-03-09,2.2300000190734863
2010-03-10,
2010-03-11,2.2100000381469727
2010-03-12,2.200000047683716
2010-03-15,2.200000047683716
2010-03-16,2.1700000762939453
2010-03-17,2.1700000762939453
2010-03-18,2.1500000953674316
2010-03-19,2.240000009536743
2010-03-22,2.25
2010-03-23,2.3299999237060547
2010-03-24,2.200000047683716
2010-03-25,2.390000104904175
2010-03-26,2.5399999618530273
2010-03-29,2.5
2010-03-30,2.5
2010-03-31,2.5
2010-04-01,2.4000000953674316
2010-04-05,
2010-04-06,2.430000066757202
2010-04-07,2.380000114440918
2010-04-08,2.369999885559082
2010-04-09,2.25
2010-04-12,2.319999933242798
2010-04-13,2.2899999618530273
2010-04-14,2.240000009536743
2010-04-15,2.240000009536743
2010-04-16,2.2799999713897705
2010-04-19,
2010-04-20,2.180000066757202
2010-04-21,2.2100000381469727
2010-04-22,2.0
2010-04-23,2.0799999237060547
2010-04-26,2.059999942779541
2010-04-27,2.0799999237060547
2010-04-28,1.9700000286102295
2010-04-29,2.009999990463257
2010-04-30,2.0799999237060547
2010-05-03,
2010-05-04,2.0899999141693115
2010-05-05,2.0899999141693115
2010-05-06,2.0799999237060547
2010-05-07,1.850000023841858
2010-05-10,2.0999999046325684
2010-05-11,2.0
2010-05-12,2.0899999141693115
2010-05-13,2.0399999618530273
2010-05-14,1.9700000286102295
2010-05-17,2.049999952316284
2010-05-18,1.8899999856948853
2010-05-19,1.850000023841858
2010-05-20,1.899999976158142
2010-05-21,1.940000057220459
2010-05-24,1.7599999904632568
2010-05-25,1.940000057220459
2010-05-26,1.9299999475479126
2010-05-27,1.9299999475479126
2010-05-28,2.059999942779541
2010-06-01,1.7899999618530273
2010-06-02,1.850000023841858
2010-06-03,
2010-06-04,1.850000023841858
2010-06-07,1.690000057220459
2010-06-08,1.75
2010-06-09,1.8600000143051147
