,ALHC
2021-03-29,19.0
2021-03-30,19.940000534057617
2021-03-31,21.93000030517578
2021-04-01,23.200000762939453
2021-04-05,23.520000457763672
2021-04-06,23.59000015258789
2021-04-07,21.770000457763672
2021-04-08,22.770000457763672
2021-04-09,23.829999923706055
2021-04-12,23.520000457763672
2021-04-13,23.799999237060547
2021-04-14,24.65999984741211
2021-04-15,25.579999923706055
2021-04-16,26.059999465942383
2021-04-19,25.1299991607666
2021-04-20,23.020000457763672
2021-04-21,23.5
2021-04-22,23.0
2021-04-23,24.709999084472656
2021-04-26,26.760000228881836
2021-04-27,26.010000228881836
2021-04-28,26.770000457763672
2021-04-29,26.729999542236328
2021-04-30,26.540000915527344
2021-05-03,26.34000015258789
2021-05-04,27.1299991607666
2021-05-05,26.889999389648438
2021-05-06,25.139999389648438
2021-05-07,23.6200008392334
2021-05-10,21.510000228881836
2021-05-11,22.110000610351562
2021-05-12,21.31999969482422
2021-05-13,20.56999969482422
2021-05-14,20.959999084472656
