,ALRM
2015-06-26,16.8799991607666
2015-06-29,15.770000457763672
2015-06-30,15.380000114440918
2015-07-01,15.720000267028809
2015-07-02,17.040000915527344
2015-07-06,18.110000610351562
2015-07-07,17.6299991607666
2015-07-08,17.389999389648438
2015-07-09,16.450000762939453
2015-07-10,16.149999618530273
2015-07-13,16.209999084472656
2015-07-14,17.59000015258789
2015-07-15,17.09000015258789
2015-07-16,17.18000030517578
2015-07-17,17.729999542236328
2015-07-20,18.780000686645508
2015-07-21,18.0
2015-07-22,17.989999771118164
2015-07-23,17.739999771118164
2015-07-24,17.6299991607666
2015-07-27,17.149999618530273
2015-07-28,17.079999923706055
2015-07-29,18.024999618530273
2015-07-30,18.280000686645508
2015-07-31,18.530000686645508
2015-08-03,18.280000686645508
2015-08-04,18.229999542236328
2015-08-05,18.860000610351562
2015-08-06,17.469999313354492
2015-08-07,17.030000686645508
2015-08-10,17.540000915527344
2015-08-11,17.25
2015-08-12,16.81999969482422
2015-08-13,16.440000534057617
2015-08-14,16.90999984741211
2015-08-17,16.84000015258789
2015-08-18,17.18000030517578
2015-08-19,17.440000534057617
2015-08-20,16.760000228881836
2015-08-21,16.459999084472656
2015-08-24,16.010000228881836
2015-08-25,15.930000305175781
2015-08-26,16.290000915527344
2015-08-27,16.899999618530273
2015-08-28,16.799999237060547
2015-08-31,17.020000457763672
2015-09-01,15.75
2015-09-02,15.920000076293945
2015-09-03,16.260000228881836
2015-09-04,16.059999465942383
2015-09-08,16.219999313354492
2015-09-09,15.699999809265137
2015-09-10,15.65999984741211
2015-09-11,14.710000038146973
2015-09-14,14.020000457763672
2015-09-15,14.029999732971191
2015-09-16,14.520000457763672
2015-09-17,14.65999984741211
2015-09-18,13.6899995803833
2015-09-21,13.350000381469727
2015-09-22,13.239999771118164
2015-09-23,12.979999542236328
2015-09-24,12.739999771118164
2015-09-25,12.479999542236328
2015-09-28,11.510000228881836
2015-09-29,11.449999809265137
2015-09-30,11.65999984741211
2015-10-01,11.770000457763672
2015-10-02,12.039999961853027
2015-10-05,12.029999732971191
2015-10-06,12.180000305175781
2015-10-07,12.59000015258789
