,ATER
2019-06-12,10.0
2019-06-13,9.170000076293945
2019-06-14,8.5
2019-06-17,7.050000190734863
2019-06-18,7.150000095367432
2019-06-19,6.5
2019-06-20,6.21999979019165
2019-06-21,6.309999942779541
2019-06-24,6.699999809265137
2019-06-25,7.070000171661377
2019-06-26,7.610000133514404
2019-06-27,7.980000019073486
2019-06-28,8.069999694824219
2019-07-01,7.840000152587891
2019-07-02,7.349999904632568
2019-07-03,7.309999942779541
2019-07-05,7.639999866485596
2019-07-08,7.159999847412109
2019-07-09,7.5
2019-07-10,7.440000057220459
2019-07-11,7.25
2019-07-12,7.28000020980835
2019-07-15,7.28000020980835
2019-07-16,7.5
2019-07-17,7.349999904632568
2019-07-18,7.409999847412109
2019-07-19,7.5
2019-07-22,7.494999885559082
2019-07-23,7.5
2019-07-24,7.239999771118164
2019-07-25,7.050000190734863
2019-07-26,7.269999980926514
2019-07-29,7.125
2019-07-30,6.960000038146973
2019-07-31,7.019999980926514
2019-08-01,6.408999919891357
2019-08-02,6.239999771118164
2019-08-05,6.300000190734863
2019-08-06,6.650000095367432
2019-08-07,6.230000019073486
2019-08-08,6.5
2019-08-09,6.820000171661377
2019-08-12,7.25
2019-08-13,7.300000190734863
2019-08-14,6.929999828338623
2019-08-15,7.289999961853027
2019-08-16,7.074999809265137
2019-08-19,7.099999904632568
2019-08-20,6.710000038146973
2019-08-21,7.400000095367432
2019-08-22,7.989999771118164
2019-08-23,8.430000305175781
2019-08-26,8.40999984741211
2019-08-27,8.4399995803833
2019-08-28,8.779999732971191
2019-08-29,9.239999771118164
2019-08-30,8.859999656677246
2019-09-03,8.199999809265137
2019-09-04,8.09000015258789
2019-09-05,9.430000305175781
2019-09-06,9.020000457763672
2019-09-09,8.270000457763672
2019-09-10,7.974999904632568
2019-09-11,7.960000038146973
2019-09-12,7.489999771118164
2019-09-13,7.960000038146973
2019-09-16,7.989999771118164
2019-09-17,7.840000152587891
2019-09-18,7.510000228881836
2019-09-19,7.170000076293945
2019-09-20,7.230000019073486
2019-09-23,7.369999885559082
2019-09-24,7.269999980926514
2019-09-25,7.159999847412109
2019-09-26,7.75
2019-09-27,7.690000057220459
2019-09-30,7.820000171661377
2019-10-01,7.449999809265137
2019-10-02,7.099999904632568
2019-10-03,7.050000190734863
2019-10-04,7.090000152587891
2019-10-07,6.75
2019-10-08,6.670000076293945
2019-10-09,6.650000095367432
2019-10-10,6.860000133514404
2019-10-11,6.800000190734863
2019-10-14,6.679999828338623
2019-10-15,6.699999809265137
2019-10-16,7.0
2019-10-17,7.059999942779541
2019-10-18,6.960000038146973
2019-10-21,6.860000133514404
2019-10-22,6.800000190734863
2019-10-23,6.800000190734863
2019-10-24,6.730000019073486
2019-10-25,6.5
2019-10-28,6.730000019073486
2019-10-29,6.380000114440918
2019-10-30,6.050000190734863
2019-10-31,5.849999904632568
2019-11-01,6.03000020980835
2019-11-04,6.489999771118164
2019-11-05,6.519999980926514
2019-11-06,6.590000152587891
2019-11-07,6.550000190734863
2019-11-08,6.420000076293945
2019-11-11,6.489999771118164
2019-11-12,6.380000114440918
2019-11-13,5.949999809265137
2019-11-14,6.139999866485596
2019-11-15,6.0
2019-11-18,5.230000019073486
2019-11-19,5.349999904632568
2019-11-20,5.670000076293945
2019-11-21,5.650000095367432
2019-11-22,5.546999931335449
2019-11-25,5.5
2019-11-26,5.429999828338623
2019-11-27,5.449999809265137
2019-11-29,6.0
2019-12-02,5.849999904632568
2019-12-03,5.580999851226807
2019-12-04,5.570000171661377
2019-12-05,5.429999828338623
2019-12-06,5.5
2019-12-09,5.119999885559082
2019-12-10,4.429999828338623
2019-12-11,4.624000072479248
2019-12-12,4.53000020980835
2019-12-13,4.420000076293945
2019-12-16,4.590000152587891
2019-12-17,4.460000038146973
2019-12-18,4.3379998207092285
2019-12-19,4.304999828338623
2019-12-20,4.820000171661377
