,BBCP
2017-08-21,9.699999809265137
2017-08-22,9.699999809265137
2017-08-23,9.699999809265137
2017-08-24,9.699999809265137
2017-08-25,9.713000297546387
2017-08-28,9.710000038146973
2017-08-29,9.720000267028809
2017-08-30,9.720000267028809
2017-08-31,9.720000267028809
2017-09-01,9.729999542236328
2017-09-05,9.75
2017-09-06,9.729999542236328
2017-09-07,9.720000267028809
2017-09-08,9.720000267028809
2017-09-11,9.760000228881836
2017-09-12,9.760000228881836
2017-09-13,9.770000457763672
2017-09-14,9.739999771118164
2017-09-15,9.779999732971191
2017-09-18,9.760000228881836
2017-09-19,9.729999542236328
2017-09-20,9.736000061035156
2017-09-21,9.729999542236328
2017-09-22,9.729999542236328
2017-09-25,9.739999771118164
2017-09-26,9.729999542236328
2017-09-27,9.75
2017-09-28,9.779999732971191
2017-09-29,9.779999732971191
2017-10-02,9.770999908447266
2017-10-03,9.760000228881836
2017-10-04,9.760000228881836
2017-10-05,9.760000228881836
2017-10-06,9.760000228881836
2017-10-09,9.75
2017-10-10,9.75
2017-10-11,9.760000228881836
2017-10-12,9.772000312805176
2017-10-13,9.770000457763672
2017-10-16,9.765000343322754
2017-10-17,9.760000228881836
2017-10-18,9.760000228881836
2017-10-19,9.760000228881836
2017-10-20,9.805999755859375
2017-10-23,9.75
2017-10-24,9.800000190734863
2017-10-25,9.800000190734863
2017-10-26,9.739999771118164
2017-10-27,9.741999626159668
2017-10-30,9.75
2017-10-31,9.75
2017-11-01,9.729999542236328
2017-11-02,9.730999946594238
2017-11-03,9.730999946594238
2017-11-06,9.720000267028809
2017-11-07,9.720000267028809
2017-11-08,9.710000038146973
2017-11-09,9.704999923706055
2017-11-10,9.710000038146973
2017-11-13,9.6899995803833
2017-11-14,9.689000129699707
2017-11-15,9.689000129699707
2017-11-16,9.680000305175781
2017-11-17,9.710000038146973
2017-11-20,9.6850004196167
2017-11-21,9.699999809265137
2017-11-22,9.699999809265137
2017-11-24,9.699999809265137
2017-11-27,9.75
2017-11-28,9.75
2017-11-29,9.699999809265137
2017-11-30,9.699999809265137
2017-12-01,9.699999809265137
2017-12-04,9.699999809265137
2017-12-05,9.739999771118164
2017-12-06,9.739999771118164
2017-12-07,9.739999771118164
2017-12-08,9.739999771118164
2017-12-11,9.739999771118164
2017-12-12,9.739999771118164
2017-12-13,9.725000381469727
2017-12-14,9.725000381469727
2017-12-15,9.739999771118164
