,EVR
2006-08-14,25.600000381469727
2006-08-15,26.610000610351562
2006-08-16,28.25
2006-08-17,28.899999618530273
2006-08-18,29.979999542236328
2006-08-21,30.75
2006-08-22,30.280000686645508
2006-08-23,30.670000076293945
2006-08-24,31.329999923706055
2006-08-25,31.700000762939453
2006-08-28,30.040000915527344
2006-08-29,28.649999618530273
2006-08-30,28.75
2006-08-31,28.75
2006-09-01,28.84000015258789
2006-09-05,29.360000610351562
2006-09-06,28.649999618530273
2006-09-07,27.450000762939453
2006-09-08,26.59000015258789
2006-09-11,27.440000534057617
2006-09-12,28.709999084472656
2006-09-13,30.0
2006-09-14,30.56999969482422
2006-09-15,30.549999237060547
2006-09-18,30.229999542236328
2006-09-19,30.200000762939453
2006-09-20,30.0
2006-09-21,29.969999313354492
2006-09-22,29.600000381469727
2006-09-25,30.149999618530273
2006-09-26,30.0
2006-09-27,29.84000015258789
2006-09-28,29.719999313354492
2006-09-29,28.799999237060547
2006-10-02,28.920000076293945
2006-10-03,29.049999237060547
2006-10-04,31.170000076293945
2006-10-05,31.100000381469727
2006-10-06,31.6299991607666
2006-10-09,33.5
2006-10-10,33.54999923706055
2006-10-11,33.86000061035156
2006-10-12,35.0
2006-10-13,34.349998474121094
2006-10-16,34.90999984741211
2006-10-17,34.81999969482422
2006-10-18,33.33000183105469
2006-10-19,35.25
2006-10-20,35.380001068115234
2006-10-23,36.83000183105469
2006-10-24,37.13999938964844
2006-10-25,37.45000076293945
2006-10-26,39.400001525878906
2006-10-27,39.310001373291016
2006-10-30,38.5
2006-10-31,36.68000030517578
2006-11-01,35.95000076293945
2006-11-02,34.84000015258789
2006-11-03,35.5
2006-11-06,34.65999984741211
2006-11-07,33.459999084472656
2006-11-08,32.20000076293945
2006-11-09,31.540000915527344
2006-11-10,32.20000076293945
2006-11-13,32.0099983215332
2006-11-14,34.400001525878906
2006-11-15,35.099998474121094
2006-11-16,36.91999816894531
2006-11-17,37.79999923706055
2006-11-20,38.20000076293945
2006-11-21,37.54999923706055
2006-11-22,37.060001373291016
2006-11-24,37.290000915527344
2006-11-27,35.900001525878906
2006-11-28,36.02000045776367
2006-11-29,36.11000061035156
2006-11-30,36.88999938964844
2006-12-01,35.93000030517578
2006-12-04,35.29999923706055
2006-12-05,35.72999954223633
2006-12-06,36.04999923706055
2006-12-07,35.59000015258789
2006-12-08,35.31999969482422
2006-12-11,36.29999923706055
2006-12-12,36.20000076293945
2006-12-13,36.459999084472656
2006-12-14,35.86000061035156
2006-12-15,35.70000076293945
2006-12-18,34.93000030517578
2006-12-19,35.20000076293945
2006-12-20,35.27000045776367
