,BHFAP
2019-03-18,24.75
2019-03-19,25.059999465942383
2019-03-20,25.170000076293945
2019-03-21,25.299999237060547
2019-03-22,25.25
2019-03-25,25.350000381469727
2019-03-26,25.450000762939453
2019-03-27,26.200000762939453
2019-03-28,26.0
2019-03-29,25.700000762939453
2019-04-01,25.8799991607666
2019-04-02,25.899999618530273
2019-04-03,25.809999465942383
2019-04-04,25.780000686645508
2019-04-05,25.850000381469727
2019-04-08,25.950000762939453
2019-04-09,25.85700035095215
2019-04-10,25.989999771118164
2019-04-11,25.899999618530273
2019-04-12,26.09000015258789
2019-04-15,26.110000610351562
2019-04-16,26.049999237060547
2019-04-17,26.15999984741211
2019-04-18,26.100000381469727
2019-04-22,26.110000610351562
2019-04-23,26.110000610351562
2019-04-24,26.104000091552734
2019-04-25,26.219999313354492
2019-04-26,26.5
2019-04-29,26.579999923706055
2019-04-30,26.40999984741211
2019-05-01,26.549999237060547
2019-05-02,26.520000457763672
2019-05-03,26.540000915527344
2019-05-06,26.56999969482422
2019-05-07,26.5
2019-05-08,26.4689998626709
2019-05-09,26.444000244140625
2019-05-10,26.479999542236328
2019-05-13,26.3700008392334
2019-05-14,26.489999771118164
2019-05-15,26.709999084472656
2019-05-16,26.670000076293945
2019-05-17,26.760000228881836
2019-05-20,26.610000610351562
2019-05-21,26.600000381469727
2019-05-22,26.6299991607666
2019-05-23,26.68000030517578
2019-05-24,26.729999542236328
2019-05-28,26.8700008392334
2019-05-29,26.93000030517578
2019-05-30,27.139999389648438
2019-05-31,26.780000686645508
2019-06-03,26.8799991607666
2019-06-04,27.059999465942383
2019-06-05,26.920000076293945
2019-06-06,26.899999618530273
2019-06-07,26.639999389648438
2019-06-10,26.729999542236328
2019-06-11,26.709999084472656
2019-06-12,26.780000686645508
2019-06-13,26.90999984741211
2019-06-14,26.8700008392334
2019-06-17,27.010000228881836
2019-06-18,26.739999771118164
2019-06-19,26.799999237060547
2019-06-20,26.739999771118164
2019-06-21,26.6200008392334
2019-06-24,26.479999542236328
2019-06-25,26.040000915527344
2019-06-26,26.15999984741211
2019-06-27,26.270000457763672
2019-06-28,26.6200008392334
2019-07-01,26.43000030517578
2019-07-02,26.450000762939453
2019-07-03,26.600000381469727
2019-07-05,26.649999618530273
2019-07-08,26.649999618530273
2019-07-09,26.770000457763672
2019-07-10,26.68000030517578
2019-07-11,26.780000686645508
2019-07-12,26.850000381469727
