,EBSB
2008-01-23,3.9215691089630127
2008-01-24,3.901144027709961
2008-01-25,3.905229091644287
2008-01-28,3.9133989810943604
2008-01-29,3.872549057006836
2008-01-30,3.880718946456909
2008-01-31,3.9215691089630127
2008-02-01,3.9828429222106934
2008-02-04,3.933824062347412
2008-02-05,3.876633882522583
2008-02-06,3.8888890743255615
2008-02-07,3.8848040103912354
2008-02-08,3.880718946456909
2008-02-11,3.880718946456909
2008-02-12,3.929738998413086
2008-02-13,3.9256539344787598
2008-02-14,3.9379079341888428
2008-02-15,3.880718946456909
2008-02-19,3.9174840450286865
2008-02-20,3.905229091644287
2008-02-21,3.8848040103912354
2008-02-22,3.8848040103912354
2008-02-25,3.901144027709961
2008-02-26,3.909313917160034
2008-02-27,3.9215691089630127
2008-02-28,3.901144027709961
2008-02-29,3.9133989810943604
2008-03-03,3.905229091644287
2008-03-04,3.9174840450286865
2008-03-05,3.9215691089630127
2008-03-06,3.901144027709961
2008-03-07,3.872549057006836
2008-03-10,3.880718946456909
2008-03-11,3.876633882522583
2008-03-12,3.8888890743255615
2008-03-13,3.8888890743255615
2008-03-14,3.8970589637756348
2008-03-17,3.8562090396881104
2008-03-18,3.880718946456909
2008-03-19,3.880718946456909
2008-03-20,3.8848040103912354
2008-03-24,3.9215691089630127
2008-03-25,3.9256539344787598
2008-03-26,3.9624180793762207
2008-03-27,3.909313917160034
2008-03-28,3.9215691089630127
2008-03-31,3.9910130500793457
2008-04-01,4.035947799682617
2008-04-02,4.064541816711426
2008-04-03,4.0808820724487305
2008-04-04,4.072711944580078
2008-04-07,4.084967136383057
2008-04-08,4.084967136383057
2008-04-09,4.084967136383057
2008-04-10,4.023693084716797
2008-04-11,3.9624180793762207
2008-04-14,3.941992998123169
2008-04-15,3.9583330154418945
2008-04-16,3.97467303276062
2008-04-17,3.995098114013672
2008-04-18,4.084967136383057
2008-04-21,4.084967136383057
2008-04-22,4.068626880645752
2008-04-23,4.0441179275512695
2008-04-24,4.060458183288574
2008-04-25,4.011437892913818
2008-04-28,4.052288055419922
2008-04-29,4.0441179275512695
2008-04-30,4.0441179275512695
2008-05-01,4.0808820724487305
2008-05-02,4.1666669845581055
2008-05-05,4.195261001586914
2008-05-06,4.191175937652588
2008-05-07,4.170752048492432
2008-05-08,4.125816822052002
2008-05-09,4.105391979217529
2008-05-12,4.129901885986328
2008-05-13,4.142157077789307
2008-05-14,4.158496856689453
2008-05-15,4.146242141723633
2008-05-16,4.142157077789307
2008-05-19,4.1666669845581055
2008-05-20,4.158496856689453
2008-05-21,4.146242141723633
2008-05-22,4.089052200317383
2008-05-23,4.125816822052002
2008-05-27,4.158496856689453
2008-05-28,4.150327205657959
2008-05-29,4.158496856689453
2008-05-30,4.215685844421387
2008-06-02,4.207516193389893
2008-06-03,4.227941036224365
2008-06-04,4.236111164093018
2008-06-05,4.223855972290039
2008-06-06,4.187091827392578
2008-06-09,4.170752048492432
2008-06-10,4.19934606552124
2008-06-11,4.19934606552124
2008-06-12,4.203431129455566
2008-06-13,4.19934606552124
2008-06-16,4.19934606552124
2008-06-17,4.203431129455566
2008-06-18,4.1666669845581055
2008-06-19,4.187091827392578
2008-06-20,4.121732234954834
2008-06-23,4.101306915283203
2008-06-24,4.064541816711426
2008-06-25,4.064541816711426
2008-06-26,4.023693084716797
2008-06-27,3.905229091644287
2008-06-30,3.970587968826294
2008-07-01,3.9828429222106934
2008-07-02,3.9133989810943604
2008-07-03,3.9174840450286865
2008-07-07,3.774509906768799
2008-07-08,4.007352828979492
2008-07-09,3.778594970703125
2008-07-10,3.815359115600586
2008-07-11,3.8929738998413086
2008-07-14,3.782680034637451
2008-07-15,3.80718994140625
2008-07-16,3.941992998123169
2008-07-17,3.995098114013672
2008-07-18,3.933824062347412
2008-07-21,3.905229091644287
2008-07-22,3.901144027709961
2008-07-23,3.97467303276062
2008-07-24,3.941992998123169
2008-07-25,3.9828429222106934
2008-07-28,3.9174840450286865
2008-07-29,3.9624180793762207
