,ADXN
2020-02-12,11.300000190734863
2020-02-13,11.300000190734863
2020-02-14,11.300000190734863
2020-02-18,11.300000190734863
2020-02-19,11.300000190734863
2020-02-20,11.300000190734863
2020-02-21,11.300000190734863
2020-02-24,11.300000190734863
2020-02-25,11.300000190734863
2020-02-26,11.300000190734863
2020-02-27,11.300000190734863
2020-02-28,11.300000190734863
2020-03-02,11.300000190734863
2020-03-03,11.300000190734863
2020-03-04,11.300000190734863
2020-03-05,11.300000190734863
2020-03-06,11.300000190734863
2020-03-09,11.300000190734863
2020-03-10,11.300000190734863
2020-03-11,11.300000190734863
2020-03-12,8.850000381469727
2020-03-13,8.850000381469727
2020-03-16,7.820000171661377
2020-03-17,7.039999961853027
2020-03-18,7.039999961853027
2020-03-19,7.039999961853027
2020-03-20,6.340000152587891
2020-03-23,6.190000057220459
2020-03-24,6.190000057220459
2020-03-25,6.230000019073486
2020-03-26,6.230000019073486
2020-03-27,7.5
2020-03-30,7.5
2020-03-31,6.599999904632568
2020-04-01,6.75
2020-04-02,6.75
2020-04-03,6.75
2020-04-06,6.75
2020-04-07,6.75
2020-04-08,6.75
2020-04-09,6.75
2020-04-13,6.75
2020-04-14,8.229999542236328
2020-04-15,8.229999542236328
2020-04-16,8.229999542236328
2020-04-17,8.5
2020-04-20,8.5
2020-04-21,8.5
2020-04-22,7.0
2020-04-23,7.460000038146973
2020-04-24,7.460000038146973
2020-04-27,7.460000038146973
2020-04-28,7.460000038146973
2020-04-29,7.460000038146973
2020-04-30,7.460000038146973
2020-05-01,7.460000038146973
2020-05-04,7.460000038146973
2020-05-05,7.460000038146973
2020-05-06,7.460000038146973
2020-05-07,7.460000038146973
2020-05-08,7.28000020980835
2020-05-11,7.28000020980835
2020-05-12,7.28000020980835
2020-05-13,7.28000020980835
2020-05-14,7.28000020980835
2020-05-15,7.28000020980835
2020-05-18,7.28000020980835
2020-05-19,7.28000020980835
2020-05-20,7.28000020980835
2020-05-21,7.28000020980835
2020-05-22,7.28000020980835
2020-05-26,7.28000020980835
2020-05-27,7.28000020980835
2020-05-28,7.28000020980835
2020-05-29,7.28000020980835
2020-06-01,7.28000020980835
2020-06-02,7.28000020980835
2020-06-03,7.28000020980835
2020-06-04,7.28000020980835
2020-06-05,7.28000020980835
2020-06-08,7.28000020980835
2020-06-09,7.28000020980835
2020-06-10,7.28000020980835
2020-06-11,7.28000020980835
2020-06-12,7.28000020980835
2020-06-15,7.28000020980835
2020-06-16,7.28000020980835
2020-06-17,11.789999961853027
2020-06-18,10.581999778747559
2020-06-19,9.72700023651123
2020-06-22,9.72700023651123
2020-06-23,9.600000381469727
2020-06-24,9.119999885559082
2020-06-25,9.829999923706055
2020-06-26,9.829999923706055
2020-06-29,9.0
2020-06-30,8.717000007629395
2020-07-01,8.84000015258789
2020-07-02,9.444999694824219
2020-07-06,9.1899995803833
2020-07-07,9.210000038146973
2020-07-08,9.15999984741211
2020-07-09,10.449999809265137
2020-07-10,10.350000381469727
2020-07-13,10.350000381469727
2020-07-14,10.350000381469727
2020-07-15,9.0
2020-07-16,8.520000457763672
2020-07-17,8.520000457763672
2020-07-20,8.520000457763672
2020-07-21,8.520000457763672
2020-07-22,8.520000457763672
2020-07-23,7.0
2020-07-24,9.399999618530273
2020-07-27,9.729999542236328
2020-07-28,8.649999618530273
2020-07-29,8.5600004196167
2020-07-30,9.050000190734863
2020-07-31,9.295000076293945
2020-08-03,9.295000076293945
2020-08-04,10.149999618530273
2020-08-05,10.739999771118164
2020-08-06,11.621999740600586
2020-08-07,21.0
2020-08-10,14.6850004196167
2020-08-11,14.432999610900879
2020-08-12,14.40999984741211
2020-08-13,14.66100025177002
2020-08-14,13.0
2020-08-17,13.5
2020-08-18,14.010000228881836
2020-08-19,14.0
2020-08-20,13.8100004196167
2020-08-21,14.100000381469727
2020-08-24,14.005000114440918
2020-08-25,14.0
2020-08-26,14.399999618530273
2020-08-27,11.899999618530273
2020-08-28,14.270000457763672
2020-08-31,14.960000038146973
2020-09-01,14.010000228881836
2020-09-02,14.699999809265137
2020-09-03,11.649999618530273
2020-09-04,14.770000457763672
2020-09-08,13.829000473022461
2020-09-09,13.855999946594238
2020-09-10,13.130000114440918
2020-09-11,12.600000381469727
2020-09-14,11.779999732971191
2020-09-15,11.779999732971191
2020-09-16,11.779999732971191
2020-09-17,13.519000053405762
2020-09-18,12.260000228881836
2020-09-21,12.732000350952148
2020-09-22,12.732000350952148
2020-09-23,11.550000190734863
2020-09-24,12.350000381469727
2020-09-25,12.350000381469727
2020-09-28,12.350000381469727
2020-09-29,12.039999961853027
2020-09-30,12.270000457763672
2020-10-01,12.270000457763672
2020-10-02,13.135000228881836
2020-10-05,12.680999755859375
2020-10-06,12.680999755859375
2020-10-07,12.680999755859375
2020-10-08,12.680999755859375
2020-10-09,12.680999755859375
2020-10-12,12.680999755859375
2020-10-13,11.770000457763672
2020-10-14,12.199999809265137
2020-10-15,12.199999809265137
2020-10-16,12.199999809265137
2020-10-19,12.454999923706055
2020-10-20,12.454999923706055
2020-10-21,12.454999923706055
2020-10-22,12.454999923706055
2020-10-23,12.454999923706055
2020-10-26,12.454999923706055
2020-10-27,12.454999923706055
2020-10-28,11.029999732971191
2020-10-29,11.029999732971191
2020-10-30,11.029999732971191
2020-11-02,11.029999732971191
2020-11-03,11.42199993133545
2020-11-04,11.42199993133545
2020-11-05,11.42199993133545
2020-11-06,11.329999923706055
2020-11-09,11.359999656677246
2020-11-10,11.359999656677246
2020-11-11,11.359999656677246
2020-11-12,11.890000343322754
