,CMLS
2018-08-07,18.350000381469727
2018-08-08,18.979999542236328
2018-08-09,17.399999618530273
2018-08-10,17.399999618530273
2018-08-13,17.700000762939453
2018-08-14,17.700000762939453
2018-08-15,17.690000534057617
2018-08-16,17.700000762939453
2018-08-17,18.1200008392334
2018-08-20,18.200000762939453
2018-08-21,18.979999542236328
2018-08-22,19.049999237060547
2018-08-23,19.049999237060547
2018-08-24,19.889999389648438
2018-08-27,19.149999618530273
2018-08-28,19.399999618530273
2018-08-29,19.43000030517578
2018-08-30,19.0
2018-08-31,20.899999618530273
2018-09-04,19.440000534057617
2018-09-05,19.34000015258789
2018-09-06,19.209999084472656
2018-09-07,19.739999771118164
2018-09-10,18.639999389648438
2018-09-11,19.329999923706055
2018-09-12,18.0
2018-09-13,17.850000381469727
2018-09-14,17.850000381469727
2018-09-17,17.1299991607666
2018-09-18,16.100000381469727
2018-09-19,16.610000610351562
2018-09-20,16.700000762939453
2018-09-21,16.610000610351562
2018-09-24,17.75
2018-09-25,16.899999618530273
2018-09-26,16.75
2018-09-27,16.549999237060547
2018-09-28,17.020000457763672
2018-10-01,17.010000228881836
2018-10-02,16.899999618530273
2018-10-03,16.950000762939453
2018-10-04,17.389999389648438
2018-10-05,16.799999237060547
2018-10-08,17.0
2018-10-09,17.0
2018-10-10,16.799999237060547
2018-10-11,16.510000228881836
2018-10-12,16.399999618530273
2018-10-15,16.5
2018-10-16,16.299999237060547
2018-10-17,16.200000762939453
2018-10-18,16.290000915527344
2018-10-19,15.75
2018-10-22,16.25
2018-10-23,16.25
2018-10-24,15.989999771118164
2018-10-25,16.5
2018-10-26,16.25
2018-10-29,15.989999771118164
2018-10-30,15.5
2018-10-31,14.8100004196167
2018-11-01,14.8100004196167
2018-11-02,14.989999771118164
2018-11-05,14.75
2018-11-06,14.779999732971191
2018-11-07,14.600000381469727
2018-11-08,14.600000381469727
2018-11-09,14.5
2018-11-12,14.0
2018-11-13,14.0
2018-11-14,14.0
2018-11-15,14.699999809265137
2018-11-16,12.920000076293945
2018-11-19,12.600000381469727
2018-11-20,12.770000457763672
2018-11-21,12.880000114440918
2018-11-23,12.880000114440918
2018-11-26,13.15999984741211
2018-11-27,13.138999938964844
2018-11-28,12.699999809265137
2018-11-29,12.199999809265137
2018-11-30,11.300000190734863
2018-12-03,11.75
2018-12-04,11.75
2018-12-06,11.75
2018-12-07,10.75
2018-12-10,10.25
2018-12-11,10.119999885559082
2018-12-12,10.350000381469727
2018-12-13,10.829999923706055
2018-12-14,10.75
2018-12-17,10.449999809265137
2018-12-18,10.710000038146973
2018-12-19,10.779999732971191
2018-12-20,10.399999618530273
2018-12-21,10.109999656677246
2018-12-24,11.050000190734863
2018-12-26,10.831000328063965
2018-12-27,10.859999656677246
2018-12-28,10.899999618530273
2018-12-31,10.800000190734863
2019-01-02,11.149999618530273
2019-01-03,11.0
2019-01-04,11.899999618530273
2019-01-07,12.039999961853027
2019-01-08,12.649999618530273
2019-01-09,12.449999809265137
2019-01-10,12.260000228881836
2019-01-11,12.0
2019-01-14,11.75
2019-01-15,12.0
2019-01-16,11.970000267028809
2019-01-17,11.850000381469727
2019-01-18,12.09000015258789
2019-01-22,12.0
2019-01-23,11.829999923706055
2019-01-24,11.850000381469727
2019-01-25,11.989999771118164
2019-01-28,12.010000228881836
2019-01-29,12.050000190734863
2019-01-30,12.050000190734863
2019-01-31,12.050000190734863
2019-02-01,13.239999771118164
2019-02-04,13.699999809265137
2019-02-05,14.699999809265137
2019-02-06,14.420000076293945
2019-02-07,14.300000190734863
