,CTRE
2014-05-29,17.489999771118164
2014-05-30,21.0
2014-06-02,21.600000381469727
2014-06-03,20.65999984741211
2014-06-04,17.3799991607666
2014-06-05,18.100000381469727
2014-06-06,17.670000076293945
2014-06-09,17.31999969482422
2014-06-10,17.0
2014-06-11,16.860000610351562
2014-06-12,16.690000534057617
2014-06-13,17.25
2014-06-16,17.59000015258789
2014-06-17,18.0
2014-06-18,18.200000762939453
2014-06-19,18.270000457763672
2014-06-20,19.1200008392334
2014-06-23,18.860000610351562
2014-06-24,18.809999465942383
2014-06-25,19.15999984741211
2014-06-26,19.020000457763672
2014-06-27,19.260000228881836
2014-06-30,19.799999237060547
2014-07-01,19.81999969482422
2014-07-02,19.809999465942383
2014-07-03,19.899999618530273
2014-07-07,19.530000686645508
2014-07-08,19.1200008392334
2014-07-09,19.0
2014-07-10,18.530000686645508
2014-07-11,18.200000762939453
2014-07-14,18.219999313354492
2014-07-15,17.59000015258789
2014-07-16,17.68000030517578
2014-07-17,17.459999084472656
2014-07-18,18.010000228881836
2014-07-21,17.739999771118164
2014-07-22,17.860000610351562
2014-07-23,17.700000762939453
2014-07-24,17.59000015258789
2014-07-25,17.68000030517578
2014-07-28,17.809999465942383
2014-07-29,17.489999771118164
2014-07-30,17.329999923706055
2014-07-31,17.059999465942383
2014-08-01,16.649999618530273
2014-08-04,16.309999465942383
2014-08-05,15.460000038146973
2014-08-06,15.1899995803833
2014-08-07,15.229999542236328
2014-08-08,15.289999961853027
2014-08-11,15.229999542236328
2014-08-12,15.430000305175781
2014-08-13,15.680000305175781
2014-08-14,16.15999984741211
2014-08-15,16.889999389648438
2014-08-18,17.350000381469727
2014-08-19,17.610000610351562
2014-08-20,17.6299991607666
2014-08-21,17.5
2014-08-22,17.579999923706055
2014-08-25,17.5
2014-08-26,17.520000457763672
2014-08-27,17.510000228881836
2014-08-28,17.610000610351562
2014-08-29,17.469999313354492
2014-09-02,17.469999313354492
2014-09-03,17.31999969482422
2014-09-04,17.350000381469727
2014-09-05,17.360000610351562
2014-09-08,17.6299991607666
2014-09-09,17.260000228881836
2014-09-10,17.469999313354492
2014-09-11,17.030000686645508
2014-09-12,16.59000015258789
2014-09-15,15.930000305175781
2014-09-16,15.460000038146973
2014-09-17,15.130000114440918
2014-09-18,15.260000228881836
2014-09-19,15.300000190734863
2014-09-22,15.140000343322754
2014-09-23,14.829999923706055
2014-09-24,14.680000305175781
2014-09-25,14.510000228881836
2014-09-26,14.3100004196167
2014-09-29,14.300000190734863
2014-09-30,14.300000190734863
2014-10-01,14.100000381469727
2014-10-02,14.140000343322754
2014-10-03,14.09000015258789
2014-10-06,14.0
2014-10-07,13.859999656677246
2014-10-08,13.84000015258789
2014-10-09,13.680000305175781
2014-10-10,13.430000305175781
2014-10-13,14.020000457763672
2014-10-14,14.649999618530273
2014-10-15,14.510000228881836
2014-10-16,14.390000343322754
2014-10-17,14.680000305175781
2014-10-20,14.789999961853027
2014-10-21,14.6899995803833
2014-10-22,14.649999618530273
2014-10-23,14.1899995803833
2014-10-24,14.109999656677246
2014-10-27,13.970000267028809
2014-10-28,14.489999771118164
2014-10-29,14.449999809265137
2014-10-30,14.84000015258789
2014-10-31,15.529999732971191
2014-11-03,15.680000305175781
2014-11-04,15.869999885559082
2014-11-05,15.930000305175781
2014-11-06,15.899999618530273
2014-11-07,15.890000343322754
2014-11-10,15.949999809265137
2014-11-11,15.800000190734863
2014-11-12,15.930000305175781
2014-11-13,15.779999732971191
2014-11-14,15.819999694824219
2014-11-17,15.489999771118164
2014-11-18,15.489999771118164
2014-11-19,15.449999809265137
2014-11-20,15.539999961853027
2014-11-21,15.569999694824219
2014-11-24,15.649999618530273
2014-11-25,15.520000457763672
2014-11-26,16.09000015258789
2014-11-28,16.170000076293945
2014-12-01,16.31999969482422
2014-12-02,16.600000381469727
2014-12-03,17.700000762939453
2014-12-04,17.959999084472656
2014-12-05,18.170000076293945
2014-12-08,18.329999923706055
2014-12-09,17.799999237060547
2014-12-10,18.3799991607666
2014-12-11,12.1899995803833
2014-12-12,12.260000228881836
2014-12-15,12.489999771118164
2014-12-16,12.020000457763672
2014-12-17,12.229999542236328
2014-12-18,12.3100004196167
2014-12-19,11.449999809265137
2014-12-22,11.9399995803833
2014-12-23,12.260000228881836
2014-12-24,12.229999542236328
2014-12-26,12.770000457763672
2014-12-29,12.760000228881836
2014-12-30,12.550000190734863
2014-12-31,12.329999923706055
2015-01-02,11.989999771118164
2015-01-05,11.720000267028809
2015-01-06,11.600000381469727
2015-01-07,11.869999885559082
2015-01-08,11.90999984741211
2015-01-09,11.710000038146973
2015-01-12,11.829999923706055
2015-01-13,11.680000305175781
2015-01-14,11.59000015258789
2015-01-15,11.5
2015-01-16,11.199999809265137
2015-01-20,11.1899995803833
2015-01-21,11.239999771118164
2015-01-22,11.640000343322754
2015-01-23,12.029999732971191
2015-01-26,12.539999961853027
2015-01-27,12.270000457763672
2015-01-28,13.050000190734863
2015-01-29,13.800000190734863
2015-01-30,13.479999542236328
2015-02-02,13.979999542236328
