,CRTD
2020-09-11,3.109999895095825
2020-09-14,3.109999895095825
2020-09-15,3.1500000953674316
2020-09-16,3.190000057220459
2020-09-17,3.140000104904175
2020-09-18,3.200000047683716
2020-09-21,2.950000047683716
2020-09-22,3.0
2020-09-23,2.7799999713897705
2020-09-24,2.7799999713897705
2020-09-25,2.799999952316284
2020-09-28,2.7699999809265137
2020-09-29,2.630000114440918
2020-09-30,2.6700000762939453
2020-10-01,2.9100000858306885
2020-10-02,2.740000009536743
2020-10-05,2.700000047683716
2020-10-06,2.734999895095825
2020-10-07,2.9170000553131104
2020-10-08,3.049999952316284
2020-10-09,3.049999952316284
2020-10-12,2.940000057220459
2020-10-13,2.9509999752044678
2020-10-14,2.7799999713897705
2020-10-15,2.799999952316284
2020-10-16,2.7799999713897705
2020-10-19,2.75
2020-10-20,2.75
2020-10-21,2.7799999713897705
2020-10-22,2.7200000286102295
2020-10-23,2.799999952316284
2020-10-26,2.549999952316284
2020-10-27,2.880000114440918
2020-10-28,2.549999952316284
2020-10-29,2.515000104904175
2020-10-30,2.4000000953674316
2020-11-02,2.4800000190734863
2020-11-03,2.6500000953674316
2020-11-04,2.569999933242798
2020-11-05,2.3350000381469727
2020-11-06,2.4000000953674316
2020-11-09,2.440000057220459
2020-11-10,2.5799999237060547
2020-11-11,2.450000047683716
2020-11-12,2.509999990463257
2020-11-13,2.880000114440918
2020-11-16,2.950000047683716
2020-11-17,3.00600004196167
2020-11-18,2.9600000381469727
2020-11-19,3.0899999141693115
2020-11-20,3.109999895095825
2020-11-23,3.0360000133514404
2020-11-24,2.8540000915527344
2020-11-25,2.9000000953674316
2020-11-27,3.130000114440918
2020-11-30,3.140000104904175
2020-12-01,3.1700000762939453
2020-12-02,3.4660000801086426
2020-12-03,3.509999990463257
2020-12-04,3.450000047683716
2020-12-07,3.4600000381469727
2020-12-08,3.5
2020-12-09,3.109999895095825
2020-12-10,3.315000057220459
2020-12-11,3.259999990463257
2020-12-14,3.7100000381469727
2020-12-15,3.9000000953674316
2020-12-16,3.940000057220459
2020-12-17,3.9700000286102295
2020-12-18,3.490000009536743
2020-12-21,3.7699999809265137
2020-12-22,3.680000066757202
2020-12-23,4.019999980926514
2020-12-24,4.019999980926514
2020-12-28,3.930000066757202
2020-12-29,3.890000104904175
2020-12-30,4.139999866485596
2020-12-31,4.159999847412109
2021-01-04,3.75
2021-01-05,3.609999895095825
2021-01-06,3.869999885559082
2021-01-07,4.177000045776367
2021-01-08,4.170000076293945
2021-01-11,4.110000133514404
2021-01-12,4.25
2021-01-13,4.570000171661377
2021-01-14,4.440000057220459
2021-01-15,4.400000095367432
2021-01-19,4.736999988555908
2021-01-20,4.800000190734863
2021-01-21,5.079999923706055
2021-01-22,4.769999980926514
2021-01-25,4.429999828338623
2021-01-26,4.300000190734863
2021-01-27,3.869999885559082
2021-01-28,3.8399999141693115
2021-01-29,4.050000190734863
2021-02-01,3.9200000762939453
2021-02-02,3.9200000762939453
2021-02-03,4.25
2021-02-04,4.320000171661377
2021-02-05,4.309999942779541
2021-02-08,4.5
2021-02-09,5.300000190734863
2021-02-10,5.789999961853027
2021-02-11,5.309999942779541
2021-02-12,5.25
2021-02-16,5.199999809265137
2021-02-17,5.03000020980835
2021-02-18,4.800000190734863
2021-02-19,4.889999866485596
2021-02-22,4.739999771118164
2021-02-23,4.690000057220459
2021-02-24,5.139999866485596
2021-02-25,5.119999885559082
2021-02-26,5.150000095367432
2021-03-01,5.5
2021-03-02,5.670000076293945
2021-03-03,5.28000020980835
2021-03-04,4.929999828338623
2021-03-05,4.71999979019165
2021-03-08,4.539999961853027
2021-03-09,4.630000114440918
2021-03-10,4.429999828338623
2021-03-11,4.809999942779541
2021-03-12,5.119999885559082
2021-03-15,5.260000228881836
2021-03-16,4.949999809265137
2021-03-17,5.130000114440918
2021-03-18,5.0
2021-03-19,5.230000019073486
2021-03-22,6.519999980926514
2021-03-23,6.199999809265137
2021-03-24,6.139999866485596
2021-03-25,5.440000057220459
2021-03-26,5.019999980926514
2021-03-29,5.050000190734863
2021-03-30,5.190000057220459
2021-03-31,4.300000190734863
2021-04-01,4.480000019073486
2021-04-05,4.699999809265137
2021-04-06,4.789999961853027
2021-04-07,4.570000171661377
2021-04-08,4.440000057220459
2021-04-09,4.260000228881836
2021-04-12,4.409999847412109
2021-04-13,4.269999980926514
2021-04-14,4.179999828338623
2021-04-15,4.099999904632568
2021-04-16,4.050000190734863
2021-04-19,3.430000066757202
2021-04-20,3.440000057220459
2021-04-21,3.549999952316284
2021-04-22,3.7100000381469727
2021-04-23,3.8499999046325684
2021-04-26,3.799999952316284
2021-04-27,3.7300000190734863
2021-04-28,4.03000020980835
2021-04-29,3.549999952316284
2021-04-30,3.319999933242798
2021-05-03,3.049999952316284
2021-05-04,3.0
2021-05-05,2.9800000190734863
2021-05-06,2.819999933242798
2021-05-07,2.890000104904175
2021-05-10,3.140000104904175
2021-05-11,2.9100000858306885
2021-05-12,2.890000104904175
2021-05-13,2.759999990463257
2021-05-14,2.8399999141693115
