,AGNCM
2019-03-06,24.799999237060547
2019-03-07,24.83099937438965
2019-03-08,24.849000930786133
2019-03-11,24.860000610351562
2019-03-12,24.860000610351562
2019-03-13,24.920000076293945
2019-03-14,24.899999618530273
2019-03-15,24.93000030517578
2019-03-18,25.049999237060547
2019-03-19,24.950000762939453
2019-03-20,25.020000457763672
2019-03-21,25.040000915527344
2019-03-22,24.979999542236328
2019-03-25,25.020000457763672
2019-03-26,25.030000686645508
2019-03-27,25.040000915527344
2019-03-28,25.1299991607666
2019-03-29,24.84000015258789
2019-04-01,24.940000534057617
2019-04-02,24.989999771118164
2019-04-03,25.0
2019-04-04,25.06999969482422
2019-04-05,25.15999984741211
2019-04-08,25.149999618530273
2019-04-09,25.139999389648438
2019-04-10,25.139999389648438
2019-04-11,25.1200008392334
2019-04-12,25.1200008392334
2019-04-15,25.170000076293945
2019-04-16,25.170000076293945
2019-04-17,25.09000015258789
2019-04-18,25.020000457763672
2019-04-22,25.049999237060547
2019-04-23,25.100000381469727
2019-04-24,25.139999389648438
2019-04-25,25.149999618530273
2019-04-26,25.100000381469727
2019-04-29,25.209999084472656
2019-04-30,25.170000076293945
2019-05-01,25.149999618530273
2019-05-02,25.09000015258789
2019-05-03,25.139999389648438
2019-05-06,25.1200008392334
2019-05-07,25.059999465942383
2019-05-08,25.06999969482422
2019-05-09,25.049999237060547
2019-05-10,25.059999465942383
2019-05-13,25.18000030517578
2019-05-14,25.15999984741211
2019-05-15,25.16699981689453
2019-05-16,25.149999618530273
2019-05-17,25.030000686645508
2019-05-20,25.030000686645508
2019-05-21,25.049999237060547
2019-05-22,25.079999923706055
2019-05-23,25.1200008392334
2019-05-24,25.170000076293945
2019-05-28,25.139999389648438
2019-05-29,25.136999130249023
2019-05-30,25.15999984741211
2019-05-31,25.290000915527344
2019-06-03,25.229999542236328
2019-06-04,25.260000228881836
2019-06-05,25.15999984741211
2019-06-06,25.18000030517578
2019-06-07,25.309999465942383
2019-06-10,25.40999984741211
2019-06-11,25.399999618530273
2019-06-12,25.43000030517578
2019-06-13,25.440000534057617
2019-06-14,25.360000610351562
2019-06-17,25.360000610351562
2019-06-18,25.489999771118164
2019-06-19,25.530000686645508
2019-06-20,25.469999313354492
2019-06-21,25.3799991607666
2019-06-24,25.389999389648438
2019-06-25,25.360000610351562
2019-06-26,25.31999969482422
2019-06-27,25.450000762939453
2019-06-28,25.149999618530273
2019-07-01,25.18000030517578
2019-07-02,25.209999084472656
2019-07-03,25.350000381469727
2019-07-05,25.3700008392334
2019-07-08,25.399999618530273
2019-07-09,25.34000015258789
2019-07-10,25.385000228881836
2019-07-11,25.3700008392334
2019-07-12,25.420000076293945
2019-07-15,25.454999923706055
2019-07-16,25.450000762939453
2019-07-17,25.5
2019-07-18,25.59000015258789
2019-07-19,25.579999923706055
2019-07-22,25.59000015258789
2019-07-23,25.59000015258789
2019-07-24,25.59000015258789
2019-07-25,25.489999771118164
2019-07-26,25.549999237060547
2019-07-29,25.540000915527344
2019-07-30,25.59000015258789
2019-07-31,25.59000015258789
2019-08-01,25.579999923706055
2019-08-02,25.59000015258789
2019-08-05,25.459999084472656
2019-08-06,25.549999237060547
2019-08-07,25.489999771118164
2019-08-08,25.559999465942383
2019-08-09,25.65999984741211
2019-08-12,25.75
2019-08-13,25.75
2019-08-14,25.600000381469727
2019-08-15,25.6200008392334
2019-08-16,25.649999618530273
2019-08-19,25.649999618530273
2019-08-20,25.700000762939453
2019-08-21,25.690000534057617
2019-08-22,25.739999771118164
2019-08-23,26.040000915527344
2019-08-26,26.040000915527344
2019-08-27,26.100000381469727
2019-08-28,26.1299991607666
2019-08-29,26.229999542236328
2019-08-30,26.190000534057617
2019-09-03,26.06999969482422
2019-09-04,26.09000015258789
2019-09-05,26.110000610351562
