,CACG
2017-05-04,24.863000869750977
2017-05-05,24.950000762939453
2017-05-08,24.84000015258789
2017-05-09,24.899999618530273
2017-05-10,24.8799991607666
2017-05-11,24.850000381469727
2017-05-12,24.780000686645508
2017-05-15,24.920000076293945
2017-05-16,24.8700008392334
2017-05-17,24.40999984741211
2017-05-18,24.540000915527344
2017-05-19,24.75
2017-05-22,24.88599967956543
2017-05-23,24.8799991607666
2017-05-24,24.969999313354492
2017-05-25,25.020000457763672
2017-05-26,25.06999969482422
2017-05-30,25.040000915527344
2017-05-31,25.059999465942383
2017-06-01,25.290000915527344
2017-06-02,25.43600082397461
2017-06-05,25.43000030517578
2017-06-06,25.360000610351562
2017-06-07,25.309999465942383
2017-06-08,25.274999618530273
2017-06-09,25.1299991607666
2017-06-12,25.01300048828125
2017-06-13,25.270000457763672
2017-06-14,25.079999923706055
2017-06-15,25.0049991607666
2017-06-16,25.025999069213867
2017-06-19,25.329999923706055
2017-06-20,25.18000030517578
2017-06-21,25.31999969482422
2017-06-22,25.440000534057617
2017-06-23,25.510000228881836
2017-06-26,25.479999542236328
2017-06-27,25.200000762939453
2017-06-28,25.45800018310547
2017-06-29,25.18000030517578
2017-06-30,25.209999084472656
2017-07-03,25.200000762939453
2017-07-05,25.29599952697754
2017-07-06,25.025999069213867
2017-07-07,25.190000534057617
2017-07-10,25.329999923706055
2017-07-11,25.309999465942383
2017-07-12,25.5
2017-07-13,25.610000610351562
2017-07-14,25.610000610351562
2017-07-17,25.760000228881836
2017-07-18,25.739999771118164
2017-07-19,26.020000457763672
2017-07-20,26.06999969482422
2017-07-21,26.030000686645508
2017-07-24,26.049999237060547
2017-07-25,26.059999465942383
2017-07-26,26.040000915527344
2017-07-27,25.81999969482422
2017-07-28,25.799999237060547
2017-07-31,25.732999801635742
2017-08-01,25.770000457763672
2017-08-02,25.5310001373291
2017-08-03,25.6299991607666
2017-08-04,25.618999481201172
2017-08-07,25.68000030517578
2017-08-08,25.530000686645508
2017-08-09,25.45400047302246
2017-08-10,25.110000610351562
2017-08-11,25.200000762939453
2017-08-14,25.200000762939453
2017-08-15,25.344999313354492
2017-08-16,25.475000381469727
2017-08-17,25.1299991607666
2017-08-18,25.086000442504883
2017-08-21,25.086000442504883
2017-08-22,25.351999282836914
2017-08-23,25.290000915527344
2017-08-24,25.243000030517578
2017-08-25,25.309999465942383
2017-08-28,25.299999237060547
2017-08-29,25.350000381469727
2017-08-30,25.56999969482422
2017-08-31,25.788999557495117
2017-09-01,25.940000534057617
2017-09-05,25.799999237060547
2017-09-06,25.889999389648438
2017-09-07,25.836000442504883
2017-09-08,25.729999542236328
2017-09-11,25.90999984741211
2017-09-12,26.020000457763672
2017-09-13,26.06999969482422
2017-09-14,26.049999237060547
2017-09-15,26.01300048828125
2017-09-18,26.030000686645508
2017-09-19,26.030000686645508
2017-09-20,26.030000686645508
2017-09-21,25.950000762939453
2017-09-22,25.90999984741211
2017-09-25,25.850000381469727
2017-09-26,25.93000030517578
2017-09-27,26.059999465942383
2017-09-28,26.030000686645508
2017-09-29,26.155000686645508
2017-10-02,26.290000915527344
2017-10-03,26.31999969482422
2017-10-04,26.375999450683594
2017-10-05,26.56999969482422
2017-10-06,26.485000610351562
2017-10-09,26.479999542236328
2017-10-10,26.459999084472656
2017-10-11,26.454999923706055
2017-10-12,26.489999771118164
2017-10-13,26.566999435424805
2017-10-16,26.531999588012695
2017-10-17,26.709999084472656
2017-10-18,26.684999465942383
2017-10-19,26.68400001525879
2017-10-20,26.809999465942383
2017-10-23,26.65999984741211
2017-10-24,26.549999237060547
2017-10-25,26.409000396728516
2017-10-26,26.3700008392334
2017-10-27,26.639999389648438
2017-10-30,26.56999969482422
2017-10-31,26.600000381469727
2017-11-01,26.670000076293945
2017-11-02,26.520000457763672
2017-11-03,26.7549991607666
2017-11-06,26.834999084472656
2017-11-07,26.865999221801758
2017-11-08,26.924999237060547
2017-11-09,26.84000015258789
2017-11-10,26.840999603271484
2017-11-13,26.799999237060547
2017-11-14,26.68000030517578
2017-11-15,26.610000610351562
2017-11-16,26.854999542236328
2017-11-17,26.899999618530273
2017-11-20,26.860000610351562
2017-11-21,27.107999801635742
2017-11-22,27.1299991607666
2017-11-24,27.18000030517578
2017-11-27,27.1299991607666
2017-11-28,27.299999237060547
2017-11-29,27.125
2017-11-30,27.3799991607666
2017-12-01,27.28499984741211
2017-12-04,27.270000457763672
2017-12-05,27.110000610351562
2017-12-06,27.03499984741211
2017-12-07,27.187999725341797
2017-12-08,27.424999237060547
2017-12-11,27.5
2017-12-12,27.575000762939453
2017-12-13,27.59000015258789
2017-12-14,27.520000457763672
2017-12-15,27.780000686645508
2017-12-18,28.040000915527344
2017-12-19,28.020000457763672
2017-12-20,28.0
2017-12-21,28.09000015258789
2017-12-22,27.96500015258789
2017-12-26,27.92099952697754
2017-12-27,27.920000076293945
2017-12-28,27.94499969482422
2017-12-29,27.860000610351562
2018-01-02,28.121000289916992
2018-01-03,28.469999313354492
2018-01-04,28.579999923706055
2018-01-05,28.80299949645996
2018-01-08,28.809999465942383
2018-01-09,28.889999389648438
2018-01-10,28.850000381469727
2018-01-11,29.18000030517578
2018-01-12,29.420000076293945
2018-01-16,29.309999465942383
2018-01-17,29.530000686645508
2018-01-18,29.53499984741211
2018-01-19,29.635000228881836
2018-01-22,30.0
2018-01-23,30.065000534057617
2018-01-24,30.110000610351562
2018-01-25,30.183000564575195
2018-01-26,30.56999969482422
2018-01-29,30.30500030517578
2018-01-30,29.93000030517578
2018-01-31,29.929000854492188
2018-02-01,29.940000534057617
2018-02-02,29.190000534057617
2018-02-05,28.200000762939453
2018-02-06,28.600000381469727
2018-02-07,28.450000762939453
2018-02-08,27.520000457763672
2018-02-09,27.709999084472656
2018-02-12,28.149999618530273
2018-02-13,28.232999801635742
2018-02-14,28.670000076293945
2018-02-15,28.940000534057617
2018-02-16,28.940000534057617
2018-02-20,28.875
2018-02-21,28.850000381469727
2018-02-22,28.739999771118164
2018-02-23,29.25
2018-02-26,29.459999084472656
2018-02-27,29.194000244140625
2018-02-28,28.839000701904297
2018-03-01,28.5
2018-03-02,28.690000534057617
2018-03-05,29.0
2018-03-06,29.079999923706055
2018-03-07,29.235000610351562
2018-03-08,29.40999984741211
2018-03-09,29.7810001373291
2018-03-12,29.889999389648438
2018-03-13,29.65999984741211
2018-03-14,29.65999984741211
2018-03-15,29.57200050354004
2018-03-16,29.739999771118164
2018-03-19,29.249000549316406
2018-03-20,29.15999984741211
2018-03-21,29.299999237060547
2018-03-22,28.624000549316406
2018-03-23,27.90999984741211
2018-03-26,28.549999237060547
2018-03-27,27.90999984741211
2018-03-28,27.809999465942383
2018-03-29,28.299999237060547
2018-04-02,27.566999435424805
2018-04-03,27.690000534057617
2018-04-04,28.299999237060547
2018-04-05,28.465999603271484
2018-04-06,27.850000381469727
2018-04-09,28.264999389648438
2018-04-10,28.5
2018-04-11,28.350000381469727
2018-04-12,28.604999542236328
2018-04-13,28.450000762939453
