,CYTK
2004-04-30,97.55999755859375
2004-05-03,102.66000366210938
2004-05-04,101.0999984741211
2004-05-05,104.5199966430664
2004-05-06,103.13999938964844
2004-05-07,101.45999908447266
2004-05-10,97.5
2004-05-11,93.5999984741211
2004-05-12,92.0999984741211
2004-05-13,93.0
2004-05-14,95.4000015258789
2004-05-17,94.5
2004-05-18,94.80000305175781
2004-05-19,95.69999694824219
2004-05-20,93.5999984741211
2004-05-21,94.19999694824219
2004-05-24,91.5
2004-05-25,89.87999725341797
2004-05-26,93.0
2004-05-27,90.5999984741211
2004-05-28,98.4000015258789
2004-06-01,94.37999725341797
2004-06-02,90.83999633789062
2004-06-03,90.12000274658203
2004-06-04,92.0999984741211
2004-06-07,94.55999755859375
2004-06-08,96.83999633789062
2004-06-09,96.0
2004-06-10,95.5199966430664
2004-06-14,93.9000015258789
2004-06-15,92.04000091552734
2004-06-16,96.0
2004-06-17,94.86000061035156
2004-06-18,96.12000274658203
2004-06-21,94.19999694824219
2004-06-22,92.58000183105469
2004-06-23,92.45999908447266
2004-06-24,90.30000305175781
2004-06-25,88.62000274658203
2004-06-28,88.5
2004-06-29,88.19999694824219
2004-06-30,89.0999984741211
2004-07-01,89.04000091552734
2004-07-02,90.05999755859375
2004-07-06,87.23999786376953
2004-07-07,85.13999938964844
2004-07-08,83.16000366210938
2004-07-09,81.0
2004-07-12,77.4000015258789
2004-07-13,77.5199966430664
2004-07-14,78.0
2004-07-15,78.0
2004-07-16,77.63999938964844
2004-07-19,72.83999633789062
2004-07-20,70.80000305175781
2004-07-21,57.36000061035156
2004-07-22,56.34000015258789
2004-07-23,54.41999816894531
2004-07-26,53.63999938964844
2004-07-27,55.02000045776367
2004-07-28,50.880001068115234
2004-07-29,50.63999938964844
2004-07-30,49.68000030517578
2004-08-02,49.20000076293945
2004-08-03,46.86000061035156
2004-08-04,45.119998931884766
2004-08-05,45.599998474121094
2004-08-06,45.2400016784668
2004-08-09,47.63999938964844
2004-08-10,47.52000045776367
2004-08-11,50.400001525878906
2004-08-12,46.380001068115234
2004-08-13,46.68000030517578
2004-08-16,46.439998626708984
2004-08-17,46.619998931884766
2004-08-18,47.52000045776367
2004-08-19,45.41999816894531
2004-08-20,47.15999984741211
2004-08-23,48.119998931884766
2004-08-24,51.2400016784668
2004-08-25,54.0
2004-08-26,54.0
2004-08-27,58.2599983215332
2004-08-30,56.880001068115234
2004-08-31,58.13999938964844
2004-09-01,60.720001220703125
2004-09-02,63.599998474121094
2004-09-03,62.34000015258789
2004-09-07,61.7400016784668
2004-09-08,59.52000045776367
2004-09-09,57.47999954223633
2004-09-10,58.08000183105469
2004-09-13,59.15999984741211
2004-09-14,58.79999923706055
2004-09-15,59.70000076293945
2004-09-16,58.560001373291016
2004-09-17,60.0
2004-09-20,63.119998931884766
2004-09-21,69.0
2004-09-22,71.87999725341797
2004-09-23,71.94000244140625
2004-09-24,76.26000213623047
2004-09-27,75.12000274658203
2004-09-28,77.58000183105469
2004-09-29,78.0
2004-09-30,79.80000305175781
2004-10-01,79.44000244140625
2004-10-04,79.68000030517578
2004-10-05,81.18000030517578
2004-10-06,82.73999786376953
2004-10-07,78.5999984741211
2004-10-08,74.45999908447266
2004-10-11,72.95999908447266
2004-10-12,67.55999755859375
2004-10-13,68.69999694824219
2004-10-14,68.5199966430664
2004-10-15,65.22000122070312
2004-10-18,60.779998779296875
2004-10-19,59.880001068115234
2004-10-20,59.459999084472656
2004-10-21,56.220001220703125
2004-10-22,53.459999084472656
2004-10-25,50.70000076293945
2004-10-26,52.619998931884766
2004-10-27,50.939998626708984
2004-10-28,54.900001525878906
2004-10-29,54.0
2004-11-01,56.70000076293945
2004-11-02,54.2400016784668
2004-11-03,54.29999923706055
2004-11-04,54.18000030517578
2004-11-05,54.47999954223633
2004-11-08,55.2599983215332
2004-11-09,53.400001525878906
2004-11-10,54.060001373291016
2004-11-11,52.97999954223633
2004-11-12,51.18000030517578
2004-11-15,51.900001525878906
2004-11-16,52.20000076293945
2004-11-17,52.380001068115234
2004-11-18,53.040000915527344
2004-11-19,54.720001220703125
2004-11-22,52.2599983215332
2004-11-23,49.97999954223633
2004-11-24,51.599998474121094
2004-11-26,52.5
2004-11-29,55.68000030517578
2004-11-30,51.599998474121094
2004-12-01,51.84000015258789
2004-12-02,53.81999969482422
2004-12-03,53.459999084472656
2004-12-06,54.0
2004-12-07,52.97999954223633
2004-12-08,53.880001068115234
2004-12-09,53.34000015258789
2004-12-10,54.18000030517578
2004-12-13,54.900001525878906
2004-12-14,54.959999084472656
2004-12-15,53.70000076293945
2004-12-16,57.0
2004-12-17,55.02000045776367
2004-12-20,54.959999084472656
2004-12-21,54.29999923706055
2004-12-22,56.15999984741211
2004-12-23,56.099998474121094
2004-12-27,59.099998474121094
2004-12-28,59.15999984741211
2004-12-29,60.599998474121094
2004-12-30,63.779998779296875
2004-12-31,61.5
2005-01-03,58.86000061035156
2005-01-04,58.91999816894531
2005-01-05,56.220001220703125
2005-01-06,55.79999923706055
2005-01-07,57.0
2005-01-10,57.0
2005-01-11,55.08000183105469
2005-01-12,53.459999084472656
2005-01-13,52.5
2005-01-14,52.91999816894531
2005-01-18,53.220001220703125
2005-01-19,51.599998474121094
2005-01-20,50.220001220703125
2005-01-21,49.5
2005-01-24,50.939998626708984
2005-01-25,52.31999969482422
2005-01-26,60.0
2005-01-27,60.36000061035156
2005-01-28,55.5
2005-01-31,58.86000061035156
2005-02-01,57.900001525878906
2005-02-02,56.58000183105469
2005-02-03,55.5
2005-02-04,54.540000915527344
2005-02-07,57.18000030517578
2005-02-08,57.0
2005-02-09,55.31999969482422
2005-02-10,57.0
2005-02-11,57.41999816894531
2005-02-14,57.119998931884766
2005-02-15,55.2599983215332
2005-02-16,57.29999923706055
2005-02-17,56.52000045776367
2005-02-18,57.0
2005-02-22,56.220001220703125
2005-02-23,54.900001525878906
2005-02-24,55.619998931884766
2005-02-25,57.0
2005-02-28,58.20000076293945
2005-03-01,61.02000045776367
2005-03-02,59.040000915527344
2005-03-03,57.900001525878906
2005-03-04,57.0
2005-03-07,53.939998626708984
2005-03-08,52.91999816894531
2005-03-09,54.0
2005-03-10,53.459999084472656
2005-03-11,53.81999969482422
2005-03-14,52.08000183105469
2005-03-15,49.619998931884766
2005-03-16,45.41999816894531
2005-03-17,41.70000076293945
2005-03-18,42.900001525878906
2005-03-21,42.779998779296875
2005-03-22,42.060001373291016
2005-03-23,42.599998474121094
2005-03-24,42.84000015258789
2005-03-28,42.0
2005-03-29,36.959999084472656
2005-03-30,41.279998779296875
2005-03-31,39.36000061035156
2005-04-01,39.2400016784668
2005-04-04,40.5
2005-04-05,40.68000030517578
2005-04-06,38.099998474121094
2005-04-07,39.540000915527344
2005-04-08,40.13999938964844
2005-04-11,39.540000915527344
2005-04-12,39.119998931884766
2005-04-13,37.86000061035156
2005-04-14,37.560001373291016
2005-04-15,35.7599983215332
2005-04-18,31.739999771118164
2005-04-19,30.299999237060547
2005-04-20,29.760000228881836
2005-04-21,30.059999465942383
2005-04-22,30.239999771118164
2005-04-25,30.1200008392334
2005-04-26,30.899999618530273
2005-04-27,29.940000534057617
2005-04-28,29.760000228881836
2005-04-29,29.459999084472656
2005-05-02,30.0
2005-05-03,29.280000686645508
2005-05-04,33.84000015258789
2005-05-05,35.459999084472656
2005-05-06,36.41999816894531
2005-05-09,39.0
2005-05-10,38.7599983215332
2005-05-11,37.619998931884766
2005-05-12,37.08000183105469
2005-05-13,36.0
2005-05-16,35.939998626708984
2005-05-17,36.119998931884766
2005-05-18,36.41999816894531
2005-05-19,33.29999923706055
2005-05-20,33.65999984741211
2005-05-23,34.619998931884766
2005-05-24,35.220001220703125
2005-05-25,34.619998931884766
2005-05-26,33.29999923706055
2005-05-27,33.540000915527344
2005-05-31,32.63999938964844
2005-06-01,33.36000061035156
2005-06-02,34.439998626708984
2005-06-03,33.47999954223633
2005-06-06,32.63999938964844
2005-06-07,31.799999237060547
2005-06-08,31.559999465942383
2005-06-09,30.84000015258789
2005-06-10,31.31999969482422
2005-06-13,31.079999923706055
