,CNXC
2020-11-24,80.0
2020-11-25,80.0
2020-11-27,80.0
2020-11-30,80.0
2020-12-01,105.0
2020-12-02,99.94000244140625
2020-12-03,101.7300033569336
2020-12-04,101.20999908447266
2020-12-07,115.13999938964844
2020-12-08,104.37000274658203
2020-12-09,102.76000213623047
2020-12-10,100.73999786376953
2020-12-11,100.0999984741211
2020-12-14,94.25
2020-12-15,99.47000122070312
2020-12-16,99.41000366210938
2020-12-17,100.33999633789062
2020-12-18,98.66999816894531
2020-12-21,99.13999938964844
2020-12-22,97.69000244140625
2020-12-23,98.12999725341797
2020-12-24,99.87999725341797
2020-12-28,102.0
2020-12-29,101.19999694824219
2020-12-30,99.30000305175781
2020-12-31,98.69999694824219
2021-01-04,99.69000244140625
2021-01-05,100.16999816894531
2021-01-06,101.20999908447266
2021-01-07,102.86000061035156
2021-01-08,109.86000061035156
2021-01-11,111.80000305175781
2021-01-12,118.5
2021-01-13,119.69999694824219
2021-01-14,122.83000183105469
2021-01-15,120.2300033569336
2021-01-19,114.98999786376953
2021-01-20,119.72000122070312
2021-01-21,117.54000091552734
2021-01-22,118.63999938964844
2021-01-25,117.94000244140625
2021-01-26,118.68000030517578
2021-01-27,115.0199966430664
2021-01-28,116.3499984741211
2021-01-29,106.91999816894531
2021-02-01,110.72000122070312
2021-02-02,112.01000213623047
2021-02-03,109.41999816894531
2021-02-04,109.19999694824219
2021-02-05,110.18000030517578
2021-02-08,110.61000061035156
2021-02-09,110.33000183105469
2021-02-10,110.93000030517578
2021-02-11,110.30000305175781
2021-02-12,110.5
2021-02-16,110.76000213623047
2021-02-17,112.16000366210938
2021-02-18,113.25
2021-02-19,113.95999908447266
2021-02-22,111.91000366210938
2021-02-23,112.45999908447266
2021-02-24,114.01000213623047
2021-02-25,117.55000305175781
2021-02-26,123.51000213623047
2021-03-01,127.75
2021-03-02,125.16000366210938
2021-03-03,122.22000122070312
2021-03-04,122.87999725341797
2021-03-05,122.25
2021-03-08,132.0800018310547
2021-03-09,134.08999633789062
2021-03-10,135.74000549316406
2021-03-11,141.17999267578125
2021-03-12,139.1999969482422
2021-03-15,140.24000549316406
2021-03-16,142.4199981689453
2021-03-17,138.75
2021-03-18,134.69000244140625
2021-03-19,132.74000549316406
2021-03-22,132.64999389648438
2021-03-23,128.38999938964844
2021-03-24,128.64999389648438
2021-03-25,139.85000610351562
2021-03-26,146.83999633789062
2021-03-29,143.1699981689453
2021-03-30,145.5500030517578
2021-03-31,149.72000122070312
2021-04-01,148.82000732421875
2021-04-05,150.0
2021-04-06,151.16000366210938
2021-04-07,149.72999572753906
2021-04-08,153.0500030517578
2021-04-09,154.0
2021-04-12,155.27000427246094
2021-04-13,154.66000366210938
2021-04-14,154.3800048828125
2021-04-15,152.22000122070312
2021-04-16,154.5399932861328
2021-04-19,156.25999450683594
2021-04-20,153.9199981689453
2021-04-21,156.3000030517578
2021-04-22,157.49000549316406
2021-04-23,159.97999572753906
2021-04-26,159.24000549316406
2021-04-27,159.0
2021-04-28,158.27000427246094
2021-04-29,159.3699951171875
2021-04-30,155.3800048828125
2021-05-03,157.57000732421875
2021-05-04,157.75
2021-05-05,156.89999389648438
2021-05-06,155.02000427246094
2021-05-07,157.99000549316406
2021-05-10,154.8800048828125
2021-05-11,157.14999389648438
2021-05-12,148.74000549316406
2021-05-13,152.6999969482422
2021-05-14,155.41000366210938
