,DCBO
2020-12-03,50.0
2020-12-04,50.06999969482422
2020-12-07,47.11000061035156
2020-12-08,49.40999984741211
2020-12-09,48.79999923706055
2020-12-10,48.81999969482422
2020-12-11,48.2599983215332
2020-12-14,49.779998779296875
2020-12-15,49.650001525878906
2020-12-16,49.7599983215332
2020-12-17,50.58000183105469
2020-12-18,50.119998931884766
2020-12-21,51.79999923706055
2020-12-22,55.11000061035156
2020-12-23,54.720001220703125
2020-12-24,57.68000030517578
2020-12-28,58.779998779296875
2020-12-29,60.290000915527344
2020-12-30,64.30000305175781
2020-12-31,65.08999633789062
2021-01-04,61.81999969482422
2021-01-05,63.130001068115234
2021-01-06,59.470001220703125
2021-01-07,62.58000183105469
2021-01-08,61.599998474121094
2021-01-11,56.47999954223633
2021-01-12,57.869998931884766
2021-01-13,59.9900016784668
2021-01-14,58.31999969482422
2021-01-15,54.5
2021-01-19,55.33000183105469
2021-01-20,55.56999969482422
2021-01-21,49.66999816894531
2021-01-22,53.0099983215332
2021-01-25,53.31999969482422
2021-01-26,50.900001525878906
2021-01-27,48.63999938964844
2021-01-28,50.15999984741211
2021-01-29,49.36000061035156
2021-02-01,52.869998931884766
2021-02-02,52.310001373291016
2021-02-03,52.16999816894531
2021-02-04,54.349998474121094
2021-02-05,55.900001525878906
2021-02-08,55.31999969482422
2021-02-09,55.2599983215332
2021-02-10,54.25
2021-02-11,53.630001068115234
2021-02-12,55.34000015258789
2021-02-16,54.470001220703125
2021-02-17,52.09000015258789
2021-02-18,51.75
2021-02-19,52.77000045776367
2021-02-22,49.790000915527344
2021-02-23,46.790000915527344
2021-02-24,46.61000061035156
2021-02-25,43.61000061035156
2021-02-26,43.540000915527344
2021-03-01,46.880001068115234
2021-03-02,45.779998779296875
2021-03-03,42.400001525878906
2021-03-04,41.06999969482422
2021-03-05,40.41999816894531
2021-03-08,39.13999938964844
2021-03-09,41.41999816894531
2021-03-10,41.81999969482422
2021-03-11,46.029998779296875
2021-03-12,46.09000015258789
2021-03-15,43.709999084472656
2021-03-16,43.59000015258789
2021-03-17,42.75
2021-03-18,40.88999938964844
2021-03-19,40.619998931884766
2021-03-22,41.68000030517578
2021-03-23,41.630001068115234
2021-03-24,39.400001525878906
2021-03-25,39.0099983215332
2021-03-26,40.47999954223633
2021-03-29,41.88999938964844
2021-03-30,41.380001068115234
2021-03-31,42.88999938964844
2021-04-01,42.9900016784668
2021-04-05,43.119998931884766
2021-04-06,46.02000045776367
2021-04-07,45.43000030517578
2021-04-08,46.630001068115234
2021-04-09,47.70000076293945
2021-04-12,47.470001220703125
2021-04-13,48.459999084472656
2021-04-14,47.130001068115234
2021-04-15,48.220001220703125
2021-04-16,47.459999084472656
2021-04-19,45.22999954223633
2021-04-20,44.81999969482422
2021-04-21,46.970001220703125
2021-04-22,46.47999954223633
2021-04-23,48.68000030517578
2021-04-26,49.7599983215332
2021-04-27,48.5
2021-04-28,49.09000015258789
2021-04-29,50.40999984741211
2021-04-30,52.91999816894531
2021-05-03,53.90999984741211
2021-05-04,51.459999084472656
2021-05-05,49.90999984741211
2021-05-06,48.79999923706055
2021-05-07,49.400001525878906
2021-05-10,48.2599983215332
2021-05-11,50.630001068115234
2021-05-12,49.9900016784668
2021-05-13,47.0
2021-05-14,47.97999954223633
